
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹 各位親友 平安
[00:00:06.000 --> 00:00:09.000]  我不是很溫柔 不過想留下聲音
[00:00:09.000 --> 00:00:12.000]  因為剛才那一堂太激動了
[00:00:12.000 --> 00:00:15.000]  留下聲音 稍後國語堂還要講
[00:00:15.000 --> 00:00:18.000]  很高興和大家分享今天的訊息
[00:00:18.000 --> 00:00:21.000]  我們先做個祈禱
[00:00:21.000 --> 00:00:26.000]  天父我知道 人要明白不是容易
[00:00:26.000 --> 00:00:30.000]  所以求主你幫我們明白 我們想要聽的
[00:00:30.000 --> 00:00:35.000]  不單止明白 而且能夠明白之後有所回應
[00:00:35.000 --> 00:00:38.000]  大年夜的時間與我們眾人同在
[00:00:38.000 --> 00:00:44.000]  特別是與新來賓 我們所愛的親友同在
[00:00:44.000 --> 00:00:47.000]  聽我們祈禱 奉耶穌的名祈禱
[00:00:47.000 --> 00:00:52.000]  每個人生活都有不同的習慣
[00:00:52.000 --> 00:00:55.000]  我有我的習慣 有些習慣是好的 有些習慣是不好的
[00:00:55.000 --> 00:01:00.000]  比如吃飽了就會睡著 吃不飽就會埋怨
[00:01:00.000 --> 00:01:05.000]  這些是我的習慣 我和太太每晚睡前都有些習慣
[00:01:05.000 --> 00:01:09.000]  就是看明天的天氣報告 有沒有人有這樣的習慣
[00:01:09.000 --> 00:01:12.000]  看明天會不會下雨 會不會颳風
[00:01:12.000 --> 00:01:18.000]  如果明天颳風就穿上風衣 如果下雨就穿雨衣
[00:01:18.000 --> 00:01:23.000]  預備明天出門要穿什麼衣服 帶什麼
[00:01:23.000 --> 00:01:28.000]  天氣報告我們要看 以至能夠作出適當的回應和所需的準備
[00:01:28.000 --> 00:01:31.000]  今天題目叫做天國近了
[00:01:31.000 --> 00:01:35.000]  對於天國近了我們也要做一些相同的準備
[00:01:35.000 --> 00:01:38.000]  如果會回來的話我們要怎麼做呢
[00:01:38.000 --> 00:01:42.000]  如果天國會到的時候要做什麼準備呢
[00:01:42.000 --> 00:01:44.000]  有些事情我們知道會發生
[00:01:44.000 --> 00:01:48.000]  不單止知道 也要去準備將會發生的事
[00:01:48.000 --> 00:01:52.000]  比如在座讀過書的都會知道 我們都會考試
[00:01:52.000 --> 00:01:54.000]  我們考試也會準備
[00:01:54.000 --> 00:01:58.000]  所以有時候考試要來了我們就要讀書 要預備
[00:01:58.000 --> 00:02:01.000]  有一次我在圖書館讀書 我也很用功的
[00:02:01.000 --> 00:02:05.000]  讀到十點多 很厲害的 有些十點多才開始的
[00:02:05.000 --> 00:02:08.000]  幫我讀到十點多 讀著讀著突然有同學走過來
[00:02:08.000 --> 00:02:12.000]  他說準備成怎樣了 我說差不多了 差不多了
[00:02:12.000 --> 00:02:15.000]  他看我讀什麼書 他說明天不是考這科
[00:02:15.000 --> 00:02:19.000]  我那時候真的被他嚇死了 你知道嗎
[00:02:19.000 --> 00:02:22.000]  讀到十點半 明天不是考這科
[00:02:22.000 --> 00:02:25.000]  我們知道一件事會發生 不單止知道會發生
[00:02:25.000 --> 00:02:29.000]  我們要準備 不單止要準備 還要準備得對才是
[00:02:29.000 --> 00:02:33.000]  準備得對才是 以致我們能夠面對將要發生的事
[00:02:33.000 --> 00:02:37.000]  今天講的題目很簡單 叫天國近了
[00:02:37.000 --> 00:02:41.000]  天國近了怎麼準備呢 有兩節聖經 馬達福音第三章第二節
[00:02:41.000 --> 00:02:44.000]  馬達福音第三章第二節 我們一起讀好不好
[00:02:44.000 --> 00:02:50.000]  天國近了 你們應當悔改 第二節馬達福音第一章十五節
[00:02:50.000 --> 00:02:56.000]  一章十 一起讀 神的國近了 你們當悔改 順福音
[00:02:56.000 --> 00:03:03.000]  我首先今天和大家講三件事 第一天國 第二近了 第三當悔改 順福音
[00:03:03.000 --> 00:03:08.000]  講完了 第一件事講就是天國 什麼叫天國呢
[00:03:08.000 --> 00:03:12.000]  天國 天就不是地 地就不是天
[00:03:12.000 --> 00:03:15.000]  白人就不是黑人 黑人就是白人
[00:03:15.000 --> 00:03:18.000]  中國人就不是西人 華人就不是西人 西人就不是華人
[00:03:18.000 --> 00:03:20.000]  蝦餃就不是燒賣 燒賣就不是蝦餃
[00:03:20.000 --> 00:03:24.000]  天國就不是地國 天國就不是我們現在活在的世界當中
[00:03:24.000 --> 00:03:28.000]  所以當耶穌被審被賣的時候 比拉多審他
[00:03:28.000 --> 00:03:32.000]  如果你讀過聖經故事就會知道 審他就問他 你是不是猶太人的王
[00:03:32.000 --> 00:03:37.000]  耶穌怎麼回應呢 耶穌說我的國是不屬於這個世界
[00:03:37.000 --> 00:03:41.000]  我的國不屬於這個世界 天國和地上的國是兩回事
[00:03:41.000 --> 00:03:47.000]  一個是短暫 一個是永恆 是天地之別 是天淵之別
[00:03:47.000 --> 00:03:51.000]  教會當中 基督教裡面有一個土文是很重要的
[00:03:51.000 --> 00:03:54.000]  叫做主土文 基督徒都會背的
[00:03:54.000 --> 00:03:59.000]  有句話說就是願你的國降臨 願你的國降臨 什麼意思呢
[00:03:59.000 --> 00:04:04.000]  就是這個國還沒到 但我期待你的國降臨
[00:04:04.000 --> 00:04:08.000]  我等候你的國降臨 我期待你的國降臨
