
[00:00:00.000 --> 00:00:09.680]  好 大家好 我們再次回到路德記的經文
[00:00:09.680 --> 00:00:16.400]  今天我們所看的經文是從路德記的第十至十五節
[00:00:16.400 --> 00:00:23.840]  也是整個系列從第一至十五節的分段裡的最後一講
[00:00:23.840 --> 00:00:31.120]  今天所說的題目是可行而不行 與不必行卻金源行的美德互動
[00:00:31.120 --> 00:00:35.760]  我們一起透過聖經去明白上帝的心意
[00:00:35.760 --> 00:00:39.440]  我希望和大家一起先讀一次這段經文
[00:00:39.440 --> 00:00:43.600]  能夠去了解經文裡所記載的內容
[00:00:43.600 --> 00:00:46.880]  如果大家有經文或聖經的已經打開
[00:00:46.880 --> 00:00:48.880]  可以細心聽我去讀
[00:00:48.880 --> 00:00:50.880]  我會先讀和合本
[00:00:50.880 --> 00:00:54.880]  路德記的第三章第十至十五節
[00:00:55.440 --> 00:01:00.160]  波亞斯說:女兒啊!願你夢搖華似福
[00:01:00.160 --> 00:01:03.920]  你末後的因比先前更大
[00:01:03.920 --> 00:01:09.120]  因為少年人無論貧富你都沒有跟從
[00:01:09.120 --> 00:01:11.840]  女兒啊!現在不要懼怕
[00:01:11.840 --> 00:01:15.040]  凡你所說的我必照著行
[00:01:15.040 --> 00:01:19.760]  我本城的人都知道你是個賢德的女子
[00:01:19.760 --> 00:01:23.040]  我實在是你一個至近的親屬
[00:01:23.040 --> 00:01:26.400]  只是還有一個人比我更近
[00:01:26.400 --> 00:01:28.800]  你今夜在這裡住宿
[00:01:28.800 --> 00:01:34.960]  明早他若肯為你盡親屬的本份就由他吧
[00:01:34.960 --> 00:01:39.680]  倘若不肯我只著永生的耶和華起誓
[00:01:39.680 --> 00:01:42.000]  我必為你盡了本份
[00:01:42.000 --> 00:01:44.480]  你只管躺到天亮
[00:01:44.480 --> 00:01:48.640]  路德便在他腳下躺到天快亮
[00:01:48.640 --> 00:01:52.480]  人彼此不能辨認的時候就起來了
[00:01:52.480 --> 00:01:57.360]  波亞斯說:不可使人知道有女子到牆上來
[00:01:57.360 --> 00:02:01.120]  有對路德說:打開你所披的外衣
[00:02:01.120 --> 00:02:02.640]  他打開了
[00:02:02.640 --> 00:02:06.880]  波亞斯就揣了六顆肌大脈
[00:02:06.880 --> 00:02:09.120]  放他奉在肩上
[00:02:09.120 --> 00:02:12.480]  他便進城去了
[00:02:12.480 --> 00:02:17.280]  有一句成語叫做一語道破
[00:02:17.280 --> 00:02:19.040]  或者簡單來說
[00:02:19.040 --> 00:02:21.920]  或者叫做一針見血
[00:02:21.920 --> 00:02:23.920]  凡只是一個人
[00:02:23.920 --> 00:02:26.560]  他講話是很直接了當
[00:02:26.560 --> 00:02:28.800]  沒有轉彎抹角
[00:02:28.800 --> 00:02:32.960]  清楚將他所講的內容的主旨去陳述
[00:02:32.960 --> 00:02:38.080]  要那個聽的人能夠準確無誤地領略
[00:02:38.080 --> 00:02:40.880]  領略他所講的說話的主旨
[00:02:40.880 --> 00:02:43.360]  不知道你有沒有這樣的經驗呢
