
[00:00:00.000 --> 00:00:07.000]  呼提師妹 讓我們再次回來上主的說話之前
[00:00:07.000 --> 00:00:09.440]  一起以禱告 預備我們心思意念
[00:00:09.440 --> 00:00:11.440]  仰望主 我們的神當中
[00:00:11.440 --> 00:00:14.600]  求上帝的靈幫助我們明白當中的教導
[00:00:14.600 --> 00:00:16.600]  故神多謝你
[00:00:16.600 --> 00:00:19.720]  讓我們再次回來可以勾股頌讚
[00:00:19.720 --> 00:00:23.080]  讓我們可以回來打開你的說話
[00:00:23.080 --> 00:00:25.080]  明白主你的教導
[00:00:25.080 --> 00:00:27.080]  我們再次為此懇求
[00:00:27.080 --> 00:00:30.080]  賜予智慧的聖靈
[00:00:30.080 --> 00:00:34.080]  讓我們能夠在當中洞悉上主你的心思意念
[00:00:34.080 --> 00:00:38.080]  好使昔日你獨身而至
[00:00:38.080 --> 00:00:41.080]  耶穌在地上所作成的工作
[00:00:41.080 --> 00:00:44.080]  成為我們今天每個信徒
[00:00:44.080 --> 00:00:50.080]  知曉如何行這條屬靈的道路的根基和基礎
[00:00:50.080 --> 00:00:56.080]  要讓耶穌的啟示成為我們每一個信徒
[00:00:56.080 --> 00:01:07.080]  更加學會如何調整我們在罪惡世界所牽引的墮落
[00:01:07.080 --> 00:01:09.080]  重歸於上主你的面前
[00:01:09.080 --> 00:01:13.080]  為這件事懇求主你的大力
[00:01:13.080 --> 00:01:19.080]  無論聽的說的都在當中不住成長
[00:01:19.080 --> 00:01:21.080]  更像因主你
[00:01:21.080 --> 00:01:25.080]  好告奉靠主耶穌的德性的名字而求
[00:01:25.080 --> 00:01:26.080]  阿們
[00:01:26.080 --> 00:01:30.080]  我曾經認識一個家庭
[00:01:30.080 --> 00:01:34.080]  這個家庭裏面有兩兄弟
[00:01:34.080 --> 00:01:37.080]  這個家庭的兩兄弟
[00:01:37.080 --> 00:01:44.080]  後來他們漸漸在這個世界打滾生活
[00:01:44.080 --> 00:01:47.080]  就開始有自己的家室
[00:01:47.080 --> 00:01:49.080]  正所謂成家立室
[00:01:49.080 --> 00:01:55.080]  這兩兄弟的發展路向很不同
[00:01:55.080 --> 00:01:58.080]  其中我認識的一位
[00:01:58.080 --> 00:02:03.080]  他本來做了一份不錯的工作
[00:02:03.080 --> 00:02:07.080]  不過後來因為他的妻子早逝
[00:02:07.080 --> 00:02:08.080]  死了
[00:02:08.080 --> 00:02:10.080]  沒辦法
[00:02:10.080 --> 00:02:16.080]  他只好留在家裏和兩個兒子一起住
[00:02:16.080 --> 00:02:19.080]  不過這兩個兒子很不長進
[00:02:19.080 --> 00:02:22.080]  要麼就是沒有工作
[00:02:22.080 --> 00:02:25.080]  沒有工作有很多原因
[00:02:25.080 --> 00:02:27.080]  這不是討論焦點
[00:02:27.080 --> 00:02:29.080]  沒有工作是一件事
[00:02:29.080 --> 00:02:35.080]  但沒有工作之後就伸手向他爸爸要錢
[00:02:35.080 --> 00:02:38.080]  又說要做生意
