
[00:00:00.000 --> 00:00:02.000]  (字幕組: 陳家洛)
[00:00:02.960 --> 00:00:03.800]  各位聽眾早安
[00:00:03.800 --> 00:00:10.320]  我發現大家有一段時間沒有在一起講道
[00:00:10.320 --> 00:00:13.920]  相信大家都把我當成自己人
[00:00:13.920 --> 00:00:17.200]  我從今天的程序表看到大家把我當成自己人
[00:00:17.200 --> 00:00:19.120]  很多項目我都負責
[00:00:19.120 --> 00:00:22.760]  今天的時間比較緊湊 有很多項目
[00:00:22.760 --> 00:00:26.400]  所以我希望能夠精簡一點跟大家分享訊息
[00:00:26.400 --> 00:00:28.440]  我分享訊息的原因是
[00:00:29.240 --> 00:00:34.480]  我知道今年的主題是「離惡從義 歸主為聖」
[00:00:34.480 --> 00:00:37.960]  我覺得比較特別一點 很少有教會用這樣的題目
[00:00:37.960 --> 00:00:39.440]  「離惡從義」
[00:00:39.440 --> 00:00:43.200]  所以我今天就跟大家從約拿書裡看
[00:00:43.200 --> 00:00:47.240]  如何面對我們身處世界的惡
[00:00:47.240 --> 00:00:49.160]  如果你最近看新聞
[00:00:49.160 --> 00:00:52.400]  我相信我們不需要怎樣證實
[00:00:52.400 --> 00:00:57.400]  我們的確身處一個非常罪惡的世界
[00:00:58.720 --> 00:01:02.040]  我猜今天我們說世界將會滅亡
[00:01:02.040 --> 00:01:05.880]  比十年前、二十年前、一百年前
[00:01:05.880 --> 00:01:08.160]  我猜更多人會認同
[00:01:08.160 --> 00:01:14.080]  我們的確面對好像主耶穌在聖經裡所說的世界末日的情況
[00:01:14.080 --> 00:01:18.000]  民要攻打民 國要攻打國
[00:01:18.000 --> 00:01:21.120]  多處有饑荒地震
[00:01:21.120 --> 00:01:26.320]  更加明顯的是人會無親情不解怨
[00:01:26.480 --> 00:01:29.680]  彼此攻擊和背信棄義
[00:01:29.680 --> 00:01:38.000]  公開地在大眾傳播裡表達自己的私意
[00:01:38.000 --> 00:01:40.080]  不需要說誠信
[00:01:40.080 --> 00:01:43.600]  不是世界的事
[00:01:43.600 --> 00:01:45.160]  在香港的地方
[00:01:45.160 --> 00:01:47.680]  在我們接觸的社會
[00:01:47.680 --> 00:01:50.320]  甚至在我們自己的工作環境
[00:01:50.320 --> 00:01:55.280]  有時更加可怕的是家庭、教會
[00:01:55.760 --> 00:01:59.760]  這些惡是無處不在的
[00:01:59.760 --> 00:02:09.880]  基督徒如果要成為一個認真在信仰上落實的跟隨主的人
[00:02:09.880 --> 00:02:12.960]  你不能不證實這個惡
[00:02:12.960 --> 00:02:16.120]  你不能將自己關起來
[00:02:16.120 --> 00:02:19.040]  說我做一個很誠實很追求的基督徒
[00:02:19.040 --> 00:02:21.760]  基督徒就在上帝安排裡
[00:02:21.760 --> 00:02:24.480]  在這個惡的社會世界裡生活
[00:02:25.240 --> 00:02:26.640]  基督徒如何面對惡
[00:02:26.640 --> 00:02:30.360]  這是一個非常偉大和大的主題
[00:02:30.360 --> 00:02:34.800]  我今天只能限制在約拿書裡跟大家思想
[00:02:34.800 --> 00:02:36.120]  我從整卷約拿書
[00:02:36.120 --> 00:02:37.680]  雖然是整卷書四張
[00:02:37.680 --> 00:02:38.720]  但很短很短
[00:02:38.720 --> 00:02:42.280]  加起來可能在長的經文裡不夠一張
[00:02:42.280 --> 00:02:44.920]  而約拿書的故事大家很熟悉
[00:02:44.920 --> 00:02:45.400]  我再說
[00:02:45.400 --> 00:02:47.480]  今天時間我看到都很緊湊
[00:02:47.480 --> 00:02:50.040]  所以我要精簡一點跟大家說
[00:02:50.040 --> 00:02:53.960]  約拿書第一次出現這個惡字
[00:02:54.360 --> 00:02:57.000]  就是約拿書第一章一到二節
[00:02:57.000 --> 00:02:58.960]  我正在用的是和本版本
[00:02:58.960 --> 00:03:01.600]  我請大家再讀一次
[00:03:01.600 --> 00:03:06.320]  耶和華的話臨到亞米泰的兒子約拿
[00:03:06.320 --> 00:03:09.400]  起來到尼尼未成去
[00:03:09.400 --> 00:03:11.040]  向其中的居民
[00:03:11.040 --> 00:03:14.800]  因為他們的惡已達到我面前
[00:03:14.800 --> 00:03:17.600]  他們的惡已達到我面前
[00:03:17.600 --> 00:03:22.480]  我正在用的是後面寫了希伯來文的字
[00:03:22.880 --> 00:03:25.560]  現在轉成英文的寫法
[00:03:25.560 --> 00:03:27.160]  就是Ratat
[00:03:27.160 --> 00:03:29.840]  平時在主要崇拜我們很少提到原文的事
[00:03:29.840 --> 00:03:32.320]  因為好像不必要這樣做
[00:03:32.320 --> 00:03:35.960]  但這次我想將整個約拿書
[00:03:35.960 --> 00:03:38.520]  原本出現這個字Ratat
