
[00:00:00.000 --> 00:00:10.000]  彭氏兄弟 彭氏兄弟和我一樣 普通人來的
[00:00:10.000 --> 00:00:13.000]  他們沒有什麼特殊法力
[00:00:13.000 --> 00:00:19.000]  他們拍鬼片寫鬼戲是因為他們喜歡用鬼片這個想像的題材去做
[00:00:19.000 --> 00:00:25.000]  不要當他們拍鬼片的人是超能的能力可以和鬼交
[00:00:25.000 --> 00:00:29.000]  其實拍鬼片的人不等於有能力交鬼
[00:00:29.000 --> 00:00:34.000]  其實說實話我讀中學的年代也試過寫鬼故事的
[00:00:34.000 --> 00:00:38.000]  不過寫了幾個自己也不欣賞就算了
[00:00:38.000 --> 00:00:41.000]  知道自己沒有天份的了
[00:00:41.000 --> 00:00:44.000]  所以我也寫了個鬼故事
[00:00:44.000 --> 00:00:46.000]  他們只是普通人來的
[00:00:46.000 --> 00:00:49.000]  所以他們是一個虛構的故事
[00:00:49.000 --> 00:00:51.000]  鬼片就是一個虛構的故事
[00:00:51.000 --> 00:00:54.000]  和普通的虛構故事其實沒什麼分別
[00:00:54.000 --> 00:00:59.000]  如果說不能說鬼 有時候人們也會說聖經也說鬼
[00:00:59.000 --> 00:01:02.000]  難道你看到薩姆爾 大家記得那個故事嗎
[00:01:02.000 --> 00:01:08.000]  蘇羅害怕起來要找一個靈交靈的人
[00:01:08.000 --> 00:01:12.000]  叫薩姆爾鬼上來
[00:01:12.000 --> 00:01:18.000]  如果說有鬼就不能看 聖經也不能看
[00:01:18.000 --> 00:01:22.000]  被小孩看到那段就要蓋起來
[00:01:22.000 --> 00:01:28.000]  我再回到剛才所說的語言問題
[00:01:28.000 --> 00:01:33.000]  很多邪惡的力量往往化為光明天使
[00:01:33.000 --> 00:01:36.000]  這樣破壞歷史大
[00:01:36.000 --> 00:01:42.000]  正如我所說 如果有個像Snow White那麼可怕的婆婆
[00:01:42.000 --> 00:01:44.000]  走過來賣個蘋果給你
[00:01:44.000 --> 00:01:48.000]  誰敢買呢?就扔掉吧
[00:01:48.000 --> 00:01:52.000]  但很多時候邪惡的力量吸引就是它像光明天使
[00:01:52.000 --> 00:01:56.000]  好像車公廟 那些就多人去拜
[00:01:56.000 --> 00:02:01.000]  為什麼拜車公廟呢?轉完車公會轉好運和
[00:02:01.000 --> 00:02:06.000]  其實你想想 我是車公我就會很發脾氣
[00:02:06.000 --> 00:02:09.000]  你一年364天都不來找我
[00:02:09.000 --> 00:02:12.000]  每個人都只是 是不是年初三呢?
[00:02:12.000 --> 00:02:15.000]  每個人都只是年初三一起來煩我
[00:02:15.000 --> 00:02:18.000]  大哥 我哪有空你那麼多事
[00:02:18.000 --> 00:02:20.000]  轉到車公都破了
[00:02:20.000 --> 00:02:22.000]  不如你有空來關心我吧
[00:02:22.000 --> 00:02:24.000]  怎麼會叫我不行呢?
[00:02:24.000 --> 00:02:28.000]  這些說得好像很好的事
[00:02:28.000 --> 00:02:32.000]  你拜那件事或者做那件事就很好了
[00:02:32.000 --> 00:02:36.000]  這些才會吸引人離開耶穌
[00:02:36.000 --> 00:02:40.000]  很多人怕鬼 誰會怕了鬼
[00:02:40.000 --> 00:02:44.000]  我好想親近鬼 所以我不信耶穌
[00:02:44.000 --> 00:02:47.000]  應該這個世界上很少這樣的人
[00:02:47.000 --> 00:02:49.000]  拜撒旦是另一個案子
[00:02:49.000 --> 00:02:52.000]  這些應該是屬於很少的人才會有這樣的引誘
[00:02:52.000 --> 00:02:56.000]  多數的人離開主都不是因為他看完鬼片
[00:02:56.000 --> 00:02:59.000]  是因為他見到哪些東西很好吃
[00:02:59.000 --> 00:03:04.000]  A5很好吃 去教會沒空賺錢
[00:03:04.000 --> 00:03:08.000]  像羅校長說的 讀經濟學多學點投資
[00:03:08.000 --> 00:03:10.000]  學聖經都沒用了
[00:03:10.000 --> 00:03:14.000]  諸如此類 是那些表面上好的東西
[00:03:14.000 --> 00:03:16.000]  才會引誘我們離開耶穌
[00:03:16.000 --> 00:03:20.000]  你說看鬼片 因為看鬼片離開耶穌
[00:03:20.000 --> 00:03:22.000]  暫時我都沒遇過這樣的人
[00:03:22.000 --> 00:03:24.000]  當然我要強調一件事
[00:03:24.000 --> 00:03:28.000]  邪惡或者邪靈是真實的
[00:03:28.000 --> 00:03:29.000]  聖經說得很清楚
[00:03:29.000 --> 00:03:32.000]  一定有邪靈這件事
[00:03:32.000 --> 00:03:34.000]  不過你又要記住
[00:03:34.000 --> 00:03:38.000]  聖經嚴格來說就沒有鬼
[00:03:38.000 --> 00:03:41.000]  如果你明白鬼的傳統意思
[00:03:41.000 --> 00:03:43.000]  即是一個人死了之後
[00:03:43.000 --> 00:03:48.000]  他的靈魂回來干擾這個世界的人
[00:03:48.000 --> 00:03:50.000]  聖經基本上是沒有鬼的
[00:03:50.000 --> 00:03:52.000]  唯一的例外是撒布爾的案子
[00:03:52.000 --> 00:03:54.000]  怎樣去詮釋是很複雜的
[00:03:54.000 --> 00:03:57.000]  不過整體來說
[00:03:57.000 --> 00:04:00.000]  聖經是沒有說死了的人
[00:04:00.000 --> 00:04:04.000]  可以回來這個世界搞擾我們
[00:04:04.000 --> 00:04:05.000]  沒有這件事
[00:04:05.000 --> 00:04:08.000]  但聖經是有說有邪靈這件事
[00:04:08.000 --> 00:04:12.000]  正如有天使也有邪惡的靈界的Being
[00:04:12.000 --> 00:04:14.000]  即是靈界的東西 邪靈
[00:04:14.000 --> 00:04:18.000]  不過這些邪靈的危險性
[00:04:18.000 --> 00:04:21.000]  就不是在於說有這件事
[00:04:21.000 --> 00:04:24.000]  我現在告訴你這個世界有邪靈
[00:04:24.000 --> 00:04:25.000]  對你沒有威脅
[00:04:25.000 --> 00:04:26.000]  對我都沒有威脅
[00:04:26.000 --> 00:04:28.000]  說不是問題
[00:04:28.000 --> 00:04:30.000]  危險不在談論
[00:04:30.000 --> 00:04:32.000]  而是心靈投靠
[00:04:32.000 --> 00:04:35.000]  所以我繼續說是鬼片
[00:04:35.000 --> 00:04:38.000]  不過這些邪靈的東西
[00:04:38.000 --> 00:04:42.000]  Dicky仔有留意一些色相的東西
[00:04:42.000 --> 00:04:44.000]  是不可以參與的
[00:04:44.000 --> 00:04:50.000]  例如哥林多前書保羅說得很清楚
[00:04:50.000 --> 00:04:52.000]  哥林多前書保羅說到
[00:04:52.000 --> 00:04:54.000]  其實那裡的案子
[00:04:54.000 --> 00:04:56.000]  十一章那裡說的案子
[00:04:56.000 --> 00:05:02.000]  當時哥林多和一些神在廟裡一起吃東西
[00:05:02.000 --> 00:05:06.000]  類似我們香港人的觀音蛋
[00:05:06.000 --> 00:05:11.000]  你去吃觀音蛋的飯局的時候
[00:05:11.000 --> 00:05:18.000]  觀音是在飯局裡跟你一起吃飯
[00:05:18.000 --> 00:05:20.000]  其實保羅的年代
[00:05:20.000 --> 00:05:25.000]  哥林多或者羅馬帝國
[00:05:25.000 --> 00:05:28.000]  有一類類似中國的觀音蛋
[00:05:28.000 --> 00:05:32.000]  跟神明一起吃東西的一些筵席
[00:05:32.000 --> 00:05:34.000]  保羅說得很清楚
[00:05:34.000 --> 00:05:36.000]  那些筵席是不可以去的
[00:05:36.000 --> 00:05:38.000]  你在街市買一塊豬肉
[00:05:38.000 --> 00:05:39.000]  有沒有拜過神
[00:05:39.000 --> 00:05:42.000]  保羅說你不需要問他
[00:05:42.000 --> 00:05:44.000]  拜不拜過神對豬肉沒有影響
[00:05:44.000 --> 00:05:51.000]  不過如果說明是跟神明一起吃的筵席
[00:05:51.000 --> 00:05:53.000]  你就不可以去了
[00:05:53.000 --> 00:05:57.000]  因為這些邪靈的勢力是真實的
[00:05:57.000 --> 00:06:00.000]  所以保羅說你不可以跟基督
[00:06:00.000 --> 00:06:02.000]  基督的筵席就是聖餐
[00:06:02.000 --> 00:06:05.000]  你不可以聖餐去觀音蛋
[00:06:05.000 --> 00:06:07.000]  但是你不用擔心
[00:06:07.000 --> 00:06:12.000]  譬如他那塊石頭原來拜過觀音的
[00:06:12.000 --> 00:06:14.000]  放在地上你不小心踢到他
[00:06:14.000 --> 00:06:16.000]  這些你不用擔心
[00:06:16.000 --> 00:06:18.000]  因為他也是石頭一塊
[00:06:18.000 --> 00:06:21.000]  只要我們不是心靈投靠
[00:06:21.000 --> 00:06:23.000]  保羅強調的就是
[00:06:23.000 --> 00:06:27.000]  你沒有打開心靈給這些邪靈
[00:06:27.000 --> 00:06:29.000]  邪靈是干擾不了你的
[00:06:29.000 --> 00:06:31.000]  但是你開始去仰慕他
[00:06:31.000 --> 00:06:36.000]  你想藉著一些靈界的力量去改變你的命運
[00:06:36.000 --> 00:06:37.000]  讓你中馬標也好
