
[00:00:00.000 --> 00:00:05.000]  請我們再一次同心 同祈禱
[00:00:05.000 --> 00:00:08.000]  請我們再一次感謝你 給你寶貴話語
[00:00:08.000 --> 00:00:12.000]  去提醒我們 勸勉我們 教導我們 安慰我們 督責我們
[00:00:12.000 --> 00:00:15.000]  給我們有生命的指引
[00:00:15.000 --> 00:00:18.000]  祈禱好鳳爺 送命求 阿們
[00:00:18.000 --> 00:00:24.000]  在1998年 著名的電影導演
[00:00:24.000 --> 00:00:27.000]  Steven Spielberg 拍了一套
[00:00:27.000 --> 00:00:30.000]  是我自己覺得非常出色的電影
[00:00:30.000 --> 00:00:33.000]  這套電影的名字叫Saving Private Ryan
[00:00:33.000 --> 00:00:36.000]  中文譯為雷霆救兵
[00:00:36.000 --> 00:00:39.000]  我想問有多少人看過這套電影
[00:00:39.000 --> 00:00:43.000]  如果沒有看過 要看的話 這套電影非常好看
[00:00:43.000 --> 00:00:47.000]  表面上這套電影是講一些殘酷的戰爭
[00:00:47.000 --> 00:00:51.000]  其實是講人生的問題 人生的異議問題
[00:00:51.000 --> 00:00:53.000]  在第二次世界大戰的時候
[00:00:53.000 --> 00:00:55.000]  1944年6月6日
[00:00:55.000 --> 00:00:58.000]  盟軍 美軍 加拿大 英國軍
[00:00:58.000 --> 00:01:02.000]  登陸法國諾曼地
[00:01:02.000 --> 00:01:04.000]  大舉反攻
[00:01:04.000 --> 00:01:06.000]  當時美國的士兵John Miller
[00:01:06.000 --> 00:01:10.000]  Captain John Miller 帶著一隊小隊
[00:01:10.000 --> 00:01:15.000]  在奧馬哈海灘登陸
[00:01:15.000 --> 00:01:20.000]  當時他們想不到受到德軍強烈的抵抗
[00:01:20.000 --> 00:01:25.000]  所以Captain Miller 他的手下有一半人在登陸期間喪生
[00:01:25.000 --> 00:01:28.000]  這個所謂6月6日的D-Day
[00:01:28.000 --> 00:01:31.000]  即是反攻的D-Day
[00:01:31.000 --> 00:01:33.000]  D-Day過了之後
[00:01:33.000 --> 00:01:37.000]  Captain Miller 突然收到美軍總部的通知
[00:01:37.000 --> 00:01:40.000]  是吩咐他離開戰場
[00:01:40.000 --> 00:01:43.000]  帶著七個人前往前方
[00:01:43.000 --> 00:01:46.000]  找一個士兵 James Ryan
[00:01:46.000 --> 00:01:48.000]  這是一個美國的神兵
[00:01:48.000 --> 00:01:50.000]  在前方
[00:01:50.000 --> 00:01:53.000]  並且要將他帶離離開戰場
[00:01:53.000 --> 00:01:55.000]  回美國與他母親重聚
[00:01:55.000 --> 00:01:57.000]  為什麼要這樣做呢
[00:01:57.000 --> 00:02:00.000]  原來美國的主帥General Marshall
[00:02:00.000 --> 00:02:04.000]  得悉了James Ryan的母親是一個寡母
[00:02:04.000 --> 00:02:06.000]  她有四個兒子
[00:02:06.000 --> 00:02:09.000]  四個兒子都是在第二次世界大戰的時候當兵
[00:02:09.000 --> 00:02:13.000]  兩個兒子在諾曼地登陸的時候不幸喪生
[00:02:13.000 --> 00:02:18.000]  接著不久的第三個兒子在太平洋戰爭的時候被日本人打死
[00:02:18.000 --> 00:02:22.000]  General Marshall 是一個仁慈的將軍
[00:02:22.000 --> 00:02:25.000]  一個寡母
[00:02:25.000 --> 00:02:27.000]  養大四個兒子
[00:02:27.000 --> 00:02:29.000]  三個兒子為國家捐軀
[00:02:29.000 --> 00:02:31.000]  他覺得已經夠了
