
[00:00:00.000 --> 00:00:03.880]  各位衛生師兄弟姐妹
[00:00:03.880 --> 00:00:05.080]  各位朋友你們好
[00:00:05.080 --> 00:00:07.680]  歡迎大家參加我們三藩市報道會
[00:00:07.680 --> 00:00:09.560]  網上的午堂崇拜
[00:00:09.560 --> 00:00:14.240]  今天我們繼續思想論盡人生系列
[00:00:14.240 --> 00:00:16.520]  我們來到第34講
[00:00:16.520 --> 00:00:19.240]  題目叫做遊牧人生
[00:00:19.240 --> 00:00:22.640]  經文記載在《啓述錄》第21章
[00:00:22.640 --> 00:00:24.400]  一節至八節
[00:00:24.400 --> 00:00:27.200]  未開始思想這段聖經之前
[00:00:27.200 --> 00:00:29.480]  請我們同心一同討告
[00:00:29.480 --> 00:00:33.600]  慈悲人的尊父我們滿心感謝你
[00:00:33.600 --> 00:00:35.960]  因爲我們知道
[00:00:35.960 --> 00:00:39.000]  我們在世上活着
[00:00:39.000 --> 00:00:41.120]  流離飄蕩
[00:00:41.120 --> 00:00:44.400]  好像沒有了自己的家
[00:00:44.400 --> 00:00:47.080]  何處是家
[00:00:47.080 --> 00:00:49.920]  你告訴我們
[00:00:49.920 --> 00:00:52.160]  我們只不過在世上是寄居
[00:00:52.160 --> 00:00:53.640]  是嚇流
[00:00:53.640 --> 00:00:56.400]  我們感謝主耶穌
[00:00:56.400 --> 00:00:59.520]  你來到世間
[00:00:59.520 --> 00:01:01.600]  成就了舊因
[00:01:01.600 --> 00:01:04.080]  爲我們預備新天新地
[00:01:04.080 --> 00:01:06.720]  在那裏再沒有眼淚
[00:01:06.720 --> 00:01:08.800]  再沒有疼痛
[00:01:08.800 --> 00:01:10.400]  再沒有分離
[00:01:10.400 --> 00:01:12.600]  就算在今天
[00:01:12.600 --> 00:01:16.240]  我們用末世的眼光看我們現在的人生
[00:01:16.240 --> 00:01:19.280]  我們都可以充滿了盼望
[00:01:19.280 --> 00:01:22.360]  求你藉着你的話語去提醒
[00:01:22.360 --> 00:01:23.200]  安慰
[00:01:23.200 --> 00:01:24.080]  勸勉
[00:01:24.080 --> 00:01:27.960]  教導我們更加敬天道人
[00:01:27.960 --> 00:01:29.760]  我們這樣的祈禱
[00:01:29.760 --> 00:01:31.240]  是奉耶穌基督的命求
[00:01:31.240 --> 00:01:32.640]  阿們
[00:01:32.640 --> 00:01:38.040]  美國華裔導演趙婷的《遊牧人生》
[00:01:38.040 --> 00:01:39.840]  在2021年
[00:01:39.840 --> 00:01:42.160]  名獲奧斯卡最佳電影
[00:01:42.160 --> 00:01:46.800]  最佳導演和最佳女主角三項殊榮
[00:01:46.800 --> 00:01:51.760]  這部電影乃改編自Jessica Bruder的一本書
[00:01:51.760 --> 00:01:57.200]  《Nomadland Surviving America in the 21st Century》
[00:01:57.200 --> 00:01:59.760]  故事講到2011年
[00:01:59.760 --> 00:02:03.160]  在內華達州的一個小鎮叫做Empire
[00:02:03.160 --> 00:02:05.040]  因爲經濟不景
[00:02:05.040 --> 00:02:06.640]  工廠倒閉
[00:02:06.640 --> 00:02:11.000]  那些靠工廠維生的居民
[00:02:11.000 --> 00:02:12.680]  突然間失業
[00:02:12.680 --> 00:02:14.480]  要離開這個小鎮
[00:02:14.480 --> 00:02:18.760]  Empire頓時之間就變成了一個鬼城
[00:02:18.760 --> 00:02:22.120]  一個61歲的女士Fern
