
[00:00:00.000 --> 00:00:04.300]  兩位姐妹早安 希望大家睡得好一點
[00:00:04.300 --> 00:00:07.600]  應該是慢慢睡得更加好的
[00:00:07.600 --> 00:00:11.200]  有些少報告 後面還有四本書
[00:00:11.200 --> 00:00:13.200]  如果你想買的話快點買了它
[00:00:13.200 --> 00:00:16.000]  將來不用 三本了 這麼快
[00:00:16.000 --> 00:00:19.000]  將來不用搬回去 都很少書的
[00:00:19.000 --> 00:00:22.400]  不過特別那本領袖那本書
[00:00:22.400 --> 00:00:27.500]  現在在香港被人提名在湯清文藝獎
[00:00:27.500 --> 00:00:29.200]  我也不知道為什麼會有這件事
[00:00:29.200 --> 00:00:33.300]  不過看看是否可以得到 校園那本書
[00:00:33.300 --> 00:00:37.600]  我相信 其實本來應該和大紀元姐妹
[00:00:37.600 --> 00:00:40.400]  大家彼此分享一下 我們怎麼選一個領袖
[00:00:40.400 --> 00:00:42.400]  那些事情 但是沒有時間做這件事
[00:00:42.400 --> 00:00:45.900]  如果你想看看以西傑書裡面怎麼說
[00:00:45.900 --> 00:00:47.600]  做領袖這件事
[00:00:47.600 --> 00:00:49.700]  其實很少人看以西傑書的看法
[00:00:49.700 --> 00:00:51.800]  其實應該人的看法
[00:00:51.800 --> 00:00:57.300]  因為整個以西傑書都是以西傑面對長老
[00:00:57.300 --> 00:01:00.000]  講領袖的信息給他聽的
[00:01:00.000 --> 00:01:02.100]  所以整個以西傑書都是講給那幫人聽
[00:01:02.100 --> 00:01:04.500]  就是以西傑那幫長老
[00:01:04.500 --> 00:01:08.200]  所以我覺得大家應該從這個方面來思考
[00:01:08.200 --> 00:01:11.900]  另外一本就是《自知己》 剩下兩本 好像是
[00:01:11.900 --> 00:01:15.700]  請大家翻開你的聖經《馬太福音》28章
[00:01:15.700 --> 00:01:18.500]  《馬太福音》28章
[00:01:18.500 --> 00:01:22.900]  《馬太福音》28章從16節到20節
[00:01:22.900 --> 00:01:24.200]  16節到20節
[00:01:24.200 --> 00:01:28.400]  我相信很多人在教會都背得很熟
[00:01:28.400 --> 00:01:33.700]  十一個門徒往加里尼去到了耶穌約定的山上
[00:01:33.700 --> 00:01:39.300]  他們見了耶穌就拜祂現而還有人猶惑
[00:01:39.300 --> 00:01:41.500]  耶穌進前來對他們說
[00:01:41.500 --> 00:01:44.900]  天上地下所有的權柄都似給我了
[00:01:44.900 --> 00:01:47.500]  所以你們要去
[00:01:47.500 --> 00:01:49.600]  施萬民作我的門徒
[00:01:49.600 --> 00:01:53.300]  奉父子聖靈的名給他們施洗
[00:01:53.300 --> 00:01:57.200]  凡我所吩咐你們的都教運他們遵守
[00:01:57.200 --> 00:02:02.400]  我就常與你們同在直到世界的末了
[00:02:02.400 --> 00:02:05.900]  這個之所謂大使命
[00:02:05.900 --> 00:02:11.300]  甚至有機構的名叫大使命
[00:02:11.300 --> 00:02:15.700]  你看到我今天的講題就叫大使命
[00:02:15.700 --> 00:02:19.600]  不過有個問號
[00:02:19.600 --> 00:02:22.400]  為什麼有個問號呢?
[00:02:22.400 --> 00:02:27.100]  你發覺如果你做更多的查經
[00:02:27.100 --> 00:02:31.700]  教會常常聽到別人引用一些經文
[00:02:31.700 --> 00:02:34.700]  你發覺你越熟習的經文
[00:02:34.700 --> 00:02:38.300]  可能是你越不理解的經文
[00:02:38.300 --> 00:02:40.400]  當然我說這句很大膽
[00:02:40.400 --> 00:02:42.400]  但如果你看一看我的壞鬼識經
[00:02:42.400 --> 00:02:43.700]  很多人都買了
[00:02:43.700 --> 00:02:45.100]  香港都賣到斷版
[00:02:45.100 --> 00:02:46.300]  三個已經賣到斷版
[00:02:46.300 --> 00:02:48.600]  再要印第二冊
[00:02:48.600 --> 00:02:53.600]  我們將教會全部常用的經文重新解釋一次
[00:02:53.600 --> 00:02:58.700]  你發覺百分之百教會解釋的經文都是錯的
[00:02:58.700 --> 00:03:01.400]  問題不是經文本身是錯的
[00:03:01.400 --> 00:03:03.000]  而是當你引用的時候
[00:03:03.000 --> 00:03:06.300]  已經是一種詮釋過程
[00:03:06.300 --> 00:03:10.600]  所以我想和大家用短暫的時間分享多一次
[00:03:10.600 --> 00:03:12.600]  看看究竟大使命
[00:03:12.600 --> 00:03:16.300]  它本身真正的原意是什麼
[00:03:16.300 --> 00:03:19.100]  其實他要理解它本身真正的原意
[00:03:19.100 --> 00:03:23.600]  才要看這個大使命的來源在哪裡
[00:03:23.600 --> 00:03:24.500]  它的來源在哪裡?
[00:03:24.500 --> 00:03:29.500]  它的來源我應該將整個28章從頭讀起
[00:03:29.500 --> 00:03:31.500]  不過我沒有時間做這件事
[00:03:31.500 --> 00:03:34.700]  所以我們會慢慢從28章開始的地方
[00:03:34.700 --> 00:03:37.800]  先看看這個大使命的來源在哪裡
