
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹 主佑平安
[00:00:05.000 --> 00:00:10.000]  與神同行在《舊約聖經》中
[00:00:10.000 --> 00:00:15.000]  記載過四次
[00:00:15.000 --> 00:00:20.000]  頭三次都在同一卷書 《創世紀》
[00:00:20.000 --> 00:00:27.000]  兩次是記載以諾與神同行
[00:00:27.000 --> 00:00:29.000]  大家都記得吧?
[00:00:29.000 --> 00:00:31.000]  不過那段聖經很簡單
[00:00:31.000 --> 00:00:34.000]  是在《加譜》裏面
[00:00:34.000 --> 00:00:37.000]  所以我讀給你聽
[00:00:37.000 --> 00:00:43.000]  沒有解釋以諾是怎樣與神同行
[00:00:43.000 --> 00:00:46.000]  他只是說以諾活到六十五歲
[00:00:46.000 --> 00:00:48.000]  生了馬圖撒拉
[00:00:48.000 --> 00:00:54.000]  以諾生馬圖撒拉之後與神同行三百年
[00:00:54.000 --> 00:00:56.000]  並且生兒養女
[00:00:56.000 --> 00:01:01.000]  以諾一共活了六十五歲生馬圖撒拉
[00:01:01.000 --> 00:01:03.000]  再加三百歲與神同行
[00:01:03.000 --> 00:01:05.000]  你都加得到吧?
[00:01:05.000 --> 00:01:08.000]  以諾活了三百六十五歲
[00:01:08.000 --> 00:01:10.000]  然後聖經又再說
[00:01:10.000 --> 00:01:12.000]  以諾與神同行
[00:01:12.000 --> 00:01:15.000]  神將他取去
[00:01:15.000 --> 00:01:19.000]  他就不再逝了
[00:01:19.000 --> 00:01:22.000]  讀聖經的時候
[00:01:22.000 --> 00:01:28.000]  特別猶太的拉比不放過經文的細節
[00:01:28.000 --> 00:01:31.000]  儘管是這麼簡單的技術
[00:01:31.000 --> 00:01:33.000]  但是聖經一定有意思的
[00:01:33.000 --> 00:01:38.000]  例如以諾不是一出生就與神同行
[00:01:38.000 --> 00:01:40.000]  他是生兒養女
[00:01:40.000 --> 00:01:42.000]  馬圖撒拉很有名的
[00:01:42.000 --> 00:01:43.000]  不用介紹了
[00:01:43.000 --> 00:01:44.000]  九百六十九歲
[00:01:44.000 --> 00:01:46.000]  最長命的那個
[00:01:46.000 --> 00:01:48.000]  生完馬圖撒拉之後
[00:01:48.000 --> 00:01:52.000]  六十五歲開始與神同行三百年
[00:01:52.000 --> 00:01:55.000]  這個會不會是暗示
[00:01:55.000 --> 00:02:00.000]  以諾六十五歲悔改
[00:02:00.000 --> 00:02:04.000]  然後開始與神同行
[00:02:04.000 --> 00:02:09.000]  所以不是每個人都在主教學長大的
[00:02:09.000 --> 00:02:11.000]  鷹孩就洗禮的
[00:02:11.000 --> 00:02:13.000]  村道會沒有鷹孩洗禮的
[00:02:13.000 --> 00:02:15.000]  鷹孩奉獻的
[00:02:15.000 --> 00:02:17.000]  父母是敬田的
[00:02:17.000 --> 00:02:19.000]  後代不一定
[00:02:19.000 --> 00:02:25.000]  以諾與神同行是在他六十五歲開始
[00:02:25.000 --> 00:02:29.000]  聖經沒有說以諾六十五歲之前
[00:02:29.000 --> 00:02:31.000]  是否一個浪子
[00:02:31.000 --> 00:02:32.000]  沒有
[00:02:32.000 --> 00:02:36.000]  不過這個很細微的細節
[00:02:36.000 --> 00:02:39.000]  是否有這樣的暗示
[00:02:39.000 --> 00:02:41.000]  我們不知道
[00:02:41.000 --> 00:02:46.000]  正如另外有人讀這段聖經
