
[00:00:00.000 --> 00:00:03.600]  首先要多謝第六家
[00:00:03.600 --> 00:00:05.880]  上個禮拜我們20週年
[00:00:05.880 --> 00:00:08.960]  你們不單單借課堂給我們用
[00:00:08.960 --> 00:00:11.560]  又出人
[00:00:11.560 --> 00:00:16.840]  兩個師兒都是你們教會派出來
[00:00:16.840 --> 00:00:19.560]  而且是最頂尖最優秀
[00:00:19.560 --> 00:00:21.000]  感恩
[00:00:21.000 --> 00:00:24.440]  那晚一切都很順暢
[00:00:24.440 --> 00:00:26.640]  都是主的恩典
[00:00:26.640 --> 00:00:30.400]  不單單你們出人出教堂
[00:00:30.400 --> 00:00:33.920]  然後出食物
[00:00:33.920 --> 00:00:38.160]  禮拜六那天我們有一餐很豐富的
[00:00:38.160 --> 00:00:43.120]  姊妹應該在國語組
[00:00:43.120 --> 00:00:44.480]  好
[00:00:44.480 --> 00:00:47.040]  感恩主的恩典帶領我們
[00:00:47.040 --> 00:00:53.600]  道院長在禮拜四就已經飛回台灣
[00:00:53.600 --> 00:00:55.760]  古語有一句話
[00:00:55.760 --> 00:01:05.040]  石是金 金錢是人心
[00:01:05.040 --> 00:01:06.400]  另外一句就是
[00:01:06.400 --> 00:01:09.680]  觀人於林財
[00:01:09.680 --> 00:01:12.800]  見到錢有些人就開眼
[00:01:12.800 --> 00:01:16.000]  有些人見到錢就心花怒放
[00:01:16.000 --> 00:01:19.320]  你就看到他心裏到底在想什麼
[00:01:19.320 --> 00:01:22.560]  然後觀人於林蘭
[00:01:22.560 --> 00:01:23.760]  遇到困難
[00:01:23.760 --> 00:01:27.200]  你就知道這個人的本質
[00:01:27.200 --> 00:01:29.200]  觀人於林財
[00:01:29.200 --> 00:01:30.800]  觀人於林蘭
[00:01:30.800 --> 00:01:33.920]  然後觀人於酒後
[00:01:33.920 --> 00:01:36.560]  基督徒可能比較少
[00:01:36.560 --> 00:01:38.560]  我們可能都不喝酒
[00:01:38.560 --> 00:01:43.680]  但你見到一些人喝完酒就亂來
[00:01:43.680 --> 00:01:46.320]  什麼內幕都爆出來
[00:01:46.320 --> 00:01:48.000]  所以要小心
[00:01:48.000 --> 00:01:52.200]  金錢實在是對人有很大的誘惑
[00:01:52.200 --> 00:01:56.040]  而且帶來一個很大的試驗
[00:01:56.040 --> 00:01:59.800]  他試出我們的品格
[00:01:59.800 --> 00:02:04.040]  到底我們的想法是怎樣
[00:02:04.040 --> 00:02:06.920]  他又試出我們的價值觀
[00:02:06.920 --> 00:02:10.360]  我們人生的優先次序
[00:02:10.360 --> 00:02:15.240]  他甚至試出我們跟神之間的關係到底有多親密
[00:02:15.240 --> 00:02:19.240]  所以當一個人關心一件事的時候
[00:02:19.240 --> 00:02:23.560]  你就知道他的心就會在那件事上
[00:02:23.560 --> 00:02:25.560]  大家有沒有聽過一句說話
[00:02:25.560 --> 00:02:31.160]  他說一個人的心跟他的錢包距離很近
[00:02:31.160 --> 00:02:34.040]  真的 如果你的錢包放在這裏
[00:02:34.040 --> 00:02:36.920]  你的心和錢包都很近
