
[00:00:00.000 --> 00:00:05.000]  各位電視節目的各位朋友 你們好
[00:00:05.000 --> 00:00:07.520]  歡迎大家參加我們三藩市播道會
[00:00:07.520 --> 00:00:09.520]  網上的五堂崇拜
[00:00:09.520 --> 00:00:13.000]  我們今天繼續思想大衛生平的訊息
[00:00:13.000 --> 00:00:16.240]  我們去到《撒慕爾記下》第九章
[00:00:16.240 --> 00:00:18.800]  題目叫做「人情味」
[00:00:18.800 --> 00:00:20.800]  在未思想這段聖經之前
[00:00:20.800 --> 00:00:23.300]  請我們同心低頭 我們同禱告
[00:00:23.300 --> 00:00:26.600]  慈悲人一天乎 我們多謝你
[00:00:26.600 --> 00:00:28.100]  因為我們知道我們的神
[00:00:28.100 --> 00:00:32.000]  是一個滿有憐憫、恩惠、人情味的神
[00:00:32.000 --> 00:00:37.000]  求你教導我們成為一個有憐憫、有恩惠
[00:00:37.000 --> 00:00:39.640]  有慈愛的一個人
[00:00:39.640 --> 00:00:43.500]  求你對你的話語提醒、勸勉、教導、督責
[00:00:43.500 --> 00:00:47.500]  安慰我們 祈禱奉耶穌基督命求 阿們
[00:00:47.500 --> 00:00:50.300]  丁森說過一句非常有趣的話
[00:00:50.300 --> 00:00:56.000]  「為一粒沙女看世界 半塊花瓣說人情」
[00:00:56.000 --> 00:01:00.100]  人情這件事在中國人眼中實在是有點古怪
[00:01:00.100 --> 00:01:01.900]  也有些神秘感
[00:01:01.900 --> 00:01:06.800]  人家請客 我家送禮 我們叫做「做人情」
[00:01:06.800 --> 00:01:09.900]  難道做人情就等於送禮?
[00:01:09.900 --> 00:01:14.000]  我們教會有些成人團契
[00:01:14.000 --> 00:01:17.200]  弟兄姊妹的特色就是飲飲食食
[00:01:17.200 --> 00:01:21.500]  每逢聚會先後都是吃東西的
[00:01:21.500 --> 00:01:25.700]  茶樓相交 他們很有人情味
[00:01:25.700 --> 00:01:29.700]  很多時候都跟我說 牧師 一起去喝茶
[00:01:29.700 --> 00:01:33.100]  我心早已決定盡量少出家喝茶
[00:01:33.100 --> 00:01:37.100]  尤其是炒粉、炒麵、MSG、豬油這一類
[00:01:37.100 --> 00:01:41.600]  一衣勉勉 學學吃少一口 多睡一覺
[00:01:41.600 --> 00:01:45.600]  但我又知道對老人家來說
[00:01:45.600 --> 00:01:47.900]  他們盛衣豢豢
[00:01:47.900 --> 00:01:54.200]  很多時候牧師你年輕 多吃多喝
[00:01:54.200 --> 00:01:57.000]  他說我年輕 其他人都不年輕
