
[00:00:00.000 --> 00:00:06.220]  好,高興來到大家當中
[00:00:06.220 --> 00:00:10.960]  在你們馬鞍山堂應該是第一次來到大家當中
[00:00:10.960 --> 00:00:14.260]  雖然這個禮堂我就來過好幾次了
[00:00:14.260 --> 00:00:19.420]  因為和浸會神學院有些互動
[00:00:19.420 --> 00:00:24.060]  不過你們在培基中學那個叫什麼堂?
[00:00:24.060 --> 00:00:26.660]  沙田堂,沙田堂我應該去過
[00:00:26.660 --> 00:00:29.140]  所以都是有些親戚關係
[00:00:29.140 --> 00:00:32.460]  所以都高興能夠來到大家當中
[00:00:32.460 --> 00:00:36.040]  今天就和大家講一下講錢的題目
[00:00:36.040 --> 00:00:39.540]  這個題目可能教會不是那麼多講
[00:00:39.540 --> 00:00:41.700]  除了講十一奉獻之外
[00:00:41.700 --> 00:00:45.040]  我又不知道今天大唱歌的那位領事
[00:00:45.040 --> 00:00:47.580]  有沒有找過講錢的詩歌
[00:00:47.580 --> 00:00:50.460]  我想如果要找的話都應該挺難找的
[00:00:50.460 --> 00:00:52.980]  不過都是一個很重要的題目
[00:00:52.980 --> 00:00:57.260]  我們今天就思考一下這個錢財的問題
[00:00:57.260 --> 00:01:01.540]  開始的時候我們再做一個禱告 好嗎?
[00:01:01.540 --> 00:01:03.880]  主耶穌我們再次多謝你
[00:01:03.880 --> 00:01:06.020]  真的好像剛才詩歌所講
[00:01:06.020 --> 00:01:08.660]  你是日夜的看顧我們
[00:01:08.660 --> 00:01:10.460]  白日不會傷害我們
[00:01:10.460 --> 00:01:13.160]  夜間的戰也不會傷害我們
[00:01:13.160 --> 00:01:16.900]  我們想到這個世界有些基督徒
[00:01:16.900 --> 00:01:18.580]  並沒有我們那麼安全
[00:01:18.580 --> 00:01:21.580]  我們想到在埃及的基督徒
[00:01:21.580 --> 00:01:26.420]  我們想到在一些特別一些伊斯蘭國家裡面的基督徒
[00:01:26.420 --> 00:01:28.660]  他們面對的危險
[00:01:28.660 --> 00:01:33.220]  我們對於我們有的平安 我們獻上感恩
[00:01:33.220 --> 00:01:36.980]  大家都知道我們是面對另一種的危險
[00:01:36.980 --> 00:01:39.980]  我們是面對物質生活
[00:01:39.980 --> 00:01:45.580]  將我們帶來我們跟隨你的信心的危險
[00:01:45.580 --> 00:01:49.320]  保護我們 讓我們真的走在你的真理上面
[00:01:49.320 --> 00:01:51.380]  讓我們將我們的錢財
[00:01:51.380 --> 00:01:55.140]  將我們的時間一切都交在你的手裡面
[00:01:55.140 --> 00:01:57.900]  讓我們的生命成為別人的祝福
[00:01:57.900 --> 00:02:00.820]  今天聽到的時間 求你去祝福
[00:02:00.820 --> 00:02:03.460]  祈禱奉耶穌基督名
[00:02:03.460 --> 00:02:06.740]  好 我們去回第一節 經文 去回第一節
[00:02:06.740 --> 00:02:09.300]  這個故事都挺有趣的
[00:02:09.300 --> 00:02:11.900]  它講一個不義的管家
[00:02:11.900 --> 00:02:16.820]  路加福音本身也是一卷
[00:02:16.820 --> 00:02:18.860]  我以前是讀經濟學的
[00:02:18.860 --> 00:02:22.260]  所以對錢都挺有興趣的
[00:02:22.260 --> 00:02:26.060]  希望不是貪錢的人 是對錢有興趣
[00:02:26.060 --> 00:02:29.060]  路加福音講錢是講得特別多的
[00:02:29.060 --> 00:02:31.340]  四卷福音書是很明顯的
[00:02:31.340 --> 00:02:34.020]  路加福音是很喜歡講錢的
[00:02:34.020 --> 00:02:36.340]  包括今天的這個故事
[00:02:36.340 --> 00:02:37.900]  這個所謂不義的管家
