
[00:00:00.000 --> 00:00:12.000]  猶太人的五旬節也是教會的聖靈降臨節
[00:00:12.000 --> 00:00:20.000]  《使徒行傳》第二章記載的是耶穌復活升天之後
[00:00:20.000 --> 00:00:32.000]  五旬節到了 教會經歷聖靈降臨的這件事
[00:00:32.000 --> 00:00:35.000]  《使徒行傳》的作者是路加醫生
[00:00:35.000 --> 00:00:43.000]  醫生很有系統 否則看不到病
[00:00:43.000 --> 00:00:54.000]  所以他記載五旬節發生的事情層次分明 井井有條
[00:00:54.000 --> 00:01:02.000]  我們中文聖經也按照原本的段落分得很清楚給我們看
[00:01:02.000 --> 00:01:08.000]  《使徒行傳》第二章開頭是記載發生了什麼事
[00:01:08.000 --> 00:01:14.000]  第一節到第十二節 十三節
[00:01:14.000 --> 00:01:22.000]  中間的一段是彼得和十一個使徒站起來
[00:01:22.000 --> 00:01:31.000]  彼得講了一篇頗長的講道 從十四節到三十六節
[00:01:31.000 --> 00:01:41.000]  然後三十七節到第二章結束在四十七節第三部分
[00:01:41.000 --> 00:01:53.000]  就是五旬節當日發生的事情引起有什麼果效
[00:01:53.000 --> 00:01:57.000]  很多人信耶穌 所以三個部分很清楚
[00:01:57.000 --> 00:02:02.000]  考考你 哪一個部分最重要
[00:02:02.000 --> 00:02:05.000]  閉上眼睛也應該知道
[00:02:05.000 --> 00:02:13.000]  中間 前後敘述 發生什麼事
[00:02:13.000 --> 00:02:16.000]  後來又發生什麼事
[00:02:16.000 --> 00:02:22.000]  中間彼得和十一個使徒站起來高聲說
[00:02:22.000 --> 00:02:32.000]  就成為了這一天發生的事情的焦點 核心
[00:02:32.000 --> 00:02:36.000]  所以你讀完《使徒行傳》第二章
[00:02:36.000 --> 00:02:41.000]  你不應該只記得開頭三分一發生什麼事
[00:02:41.000 --> 00:02:45.000]  你也不應該只記得後面那三分一
[00:02:45.000 --> 00:02:50.000]  跟著教會很快的人數增加等等的事情
[00:02:50.000 --> 00:02:59.000]  你應該記得中間使徒站起來高聲說的內容
[00:02:59.000 --> 00:03:03.000]  最難記的就是那段
[00:03:03.000 --> 00:03:08.000]  其實也不是太難 因為你也很熟悉
[00:03:08.000 --> 00:03:15.000]  彼得大部分的篇幅其實是講述主耶穌
[00:03:15.000 --> 00:03:20.000]  從第二章的二十二節
[00:03:20.000 --> 00:03:24.000]  剛才我們讀聖經就停在二十一節
[00:03:24.000 --> 00:03:28.000]  以色列人啊 請聽我的話
[00:03:28.000 --> 00:03:33.000]  神藉著拿撒勒人耶穌
[00:03:33.000 --> 00:03:37.000]  馬上就講拿撒勒人耶穌
[00:03:37.000 --> 00:03:40.000]  三十六節總結
[00:03:40.000 --> 00:03:48.000]  這位耶穌 神已經立他為主為基督了
[00:03:48.000 --> 00:03:54.000]  首尾呼應 開頭是從拿撒勒人耶穌說起
[00:03:54.000 --> 00:04:02.000]  結束 這位耶穌 神立他為主為基督
[00:04:02.000 --> 00:04:05.000]  為什麼會說主耶穌的事蹟
[00:04:05.000 --> 00:04:08.000]  和五旬節聖靈降臨有沒有關係
[00:04:08.000 --> 00:04:10.000]  一定要報導
[00:04:10.000 --> 00:04:12.000]  昨晚你有沒有來
[00:04:12.000 --> 00:04:15.000]  你記不記得我們說五旬節 七七節
[00:04:15.000 --> 00:04:18.000]  獻初贖土產的時候
[00:04:18.000 --> 00:04:21.000]  每一個以色列人拿著那藍土產
[00:04:21.000 --> 00:04:24.000]  來到耶和華上帝的面前
[00:04:24.000 --> 00:04:28.000]  祭司說一句 祂要跟著說一句
[00:04:28.000 --> 00:04:29.000]  說什麼
[00:04:29.000 --> 00:04:30.000]  新明紀二十六章
[00:04:30.000 --> 00:04:33.000]  我祖原是一個張亡的阿蘭人
[00:04:33.000 --> 00:04:40.000]  落到埃及 說上帝拯救的歷史
[00:04:40.000 --> 00:04:43.000]  彼得現在在五旬節站起來
[00:04:43.000 --> 00:04:44.000]  高聲說
[00:04:44.000 --> 00:04:49.000]  他不是說舊約列祖阿伯拉罕以撒瓦國的歷史
[00:04:49.000 --> 00:04:54.000]  他說上帝拯救的歷史
[00:04:54.000 --> 00:04:57.000]  最新的一頁
[00:04:57.000 --> 00:05:01.000]  就是剛剛在耶路撒冷所發生
