
[00:00:00.000 --> 00:00:07.000]  早晨,今天是福音的主日
[00:00:07.000 --> 00:00:11.000]  福音的主日是想我有點短的時間
[00:00:11.000 --> 00:00:16.000]  和大家一起思想關於基督教信仰的意思是什麼
[00:00:16.000 --> 00:00:18.000]  我們時間不是很多
[00:00:18.000 --> 00:00:24.000]  我們只能夠盡力把握機會和大家一起思想基督教的信仰
[00:00:24.000 --> 00:00:27.000]  為什麼要思想宗教信仰呢
[00:00:27.000 --> 00:00:30.000]  可能今天你是第一次進來這個地方
[00:00:30.000 --> 00:00:33.000]  可能走過下面,這麼多人上來,才會上來
[00:00:33.000 --> 00:00:35.000]  這是你的緣份和神的關係
[00:00:35.000 --> 00:00:37.000]  待會我會告訴你
[00:00:37.000 --> 00:00:40.000]  或者你的親友很努力地邀請你來
[00:00:40.000 --> 00:00:43.000]  待會你還請你吃午飯,什麼都可以
[00:00:43.000 --> 00:00:47.000]  很想你去認識我們這位神
[00:00:47.000 --> 00:00:50.000]  或者你是已經來了教會一段日子
[00:00:50.000 --> 00:00:56.000]  但是你從來都沒有試過認真去面對這個信仰
[00:00:56.000 --> 00:00:58.000]  做出一個決定的話
[00:00:58.000 --> 00:01:00.000]  今天我相信都是你會在這裡
[00:01:00.000 --> 00:01:05.000]  是一個很好的機會和大家一起思想關於基督教的信仰
[00:01:05.000 --> 00:01:08.000]  為什麼我們要思想宗教信仰呢
[00:01:08.000 --> 00:01:13.000]  就好像剛才我們看見的記載的那件事
[00:01:13.000 --> 00:01:17.000]  有時候你和我在人生的路上沒有預備的
[00:01:17.000 --> 00:01:20.000]  突然間一些事情發生的時候
[00:01:20.000 --> 00:01:22.000]  你就面對一些很終極的問題
[00:01:22.000 --> 00:01:24.000]  什麼叫終極問題
[00:01:24.000 --> 00:01:28.000]  我們終極關懷,我們每天都有我們自己當前的關懷
[00:01:28.000 --> 00:01:30.000]  這個我們不能避免
[00:01:30.000 --> 00:01:32.000]  今天你坐在這裡的時候,都有你的關懷
[00:01:32.000 --> 00:01:36.000]  當前的關懷就是我們每天都會想這些問題
[00:01:36.000 --> 00:01:40.000]  譬如我們經濟上的富裕或貧窮
[00:01:40.000 --> 00:01:44.000]  事業上是成功還是失敗呢
[00:01:44.000 --> 00:01:47.000]  或者我們的情感上是得還是失
[00:01:47.000 --> 00:01:49.000]  我們的家庭是聚還是散
[00:01:49.000 --> 00:01:51.000]  這些都是我們每天都會想的問題
[00:01:51.000 --> 00:01:53.000]  這個都是很重要
[00:01:53.000 --> 00:01:57.000]  不過有時候我們有時候因為每天都在這些問題前繞之下
[00:01:57.000 --> 00:01:59.000]  我們沒有停下來
[00:01:59.000 --> 00:02:02.000]  去找時間去想一些終極的問題
[00:02:02.000 --> 00:02:04.000]  這樣我不想行不行呢?不行啊
[00:02:04.000 --> 00:02:06.000]  因為它不會等你的
[00:02:06.000 --> 00:02:09.000]  就好像剛才我們所看到的那件事這樣
[00:02:09.000 --> 00:02:10.000]  在很普通的日子
[00:02:10.000 --> 00:02:13.000]  那個女人究竟她在想什麼我們不知道
[00:02:13.000 --> 00:02:16.000]  不過她自己人生的夢想
[00:02:16.000 --> 00:02:19.000]  她做這個行業當然是很不風光
[00:02:19.000 --> 00:02:20.000]  但可能她是被迫的
[00:02:20.000 --> 00:02:23.000]  她經濟有問題,作為一個女人當時來說
[00:02:23.000 --> 00:02:26.000]  她都想著今天我賺多一點錢
[00:02:26.000 --> 00:02:28.000]  我能夠跟著我就不做了
[00:02:28.000 --> 00:02:30.000]  誰知道就在那個時間想都沒想過
[00:02:30.000 --> 00:02:33.000]  已經有一幫人在後面幫她部署
[00:02:33.000 --> 00:02:36.000]  拿她來做利,拿她來做工具
[00:02:36.000 --> 00:02:39.000]  去攻擊,要陷害耶穌
[00:02:39.000 --> 00:02:41.000]  她想都沒想過,捉姦在床
[00:02:41.000 --> 00:02:45.000]  突然間就被人拖到一個廣場的中間
[00:02:45.000 --> 00:02:49.000]  我相信到那時候她腦裏一片空白
[00:02:49.000 --> 00:02:51.000]  怎麼辦?
[00:02:51.000 --> 00:02:54.000]  那些所謂的夢想,所謂她自己的期望
[00:02:54.000 --> 00:02:56.000]  她每天的關注都不重要了
[00:02:56.000 --> 00:02:58.000]  她要死了現在
[00:02:58.000 --> 00:03:01.000]  她要死了,因為那些人要用石頭打死她
[00:03:01.000 --> 00:03:04.000]  這幫人要這樣去挑戰耶穌
[00:03:04.000 --> 00:03:05.000]  去陷害耶穌的時候
[00:03:05.000 --> 00:03:07.000]  我相信耶穌也沒有預料的
[00:03:07.000 --> 00:03:08.000]  在這裡說道而已
