
[00:00:00.000 --> 00:00:02.000]  (字幕:梁家鑫)
[00:00:03.000 --> 00:00:04.000]  各位姐妹早安
[00:00:04.000 --> 00:00:08.000]  今天是四十九週年的唐慶
[00:00:08.000 --> 00:00:10.000]  是一個非常感恩快樂的日子
[00:00:10.000 --> 00:00:15.000]  也感謝很多杜珍堂的姐妹堂會
[00:00:15.000 --> 00:00:17.000]  都派了代表來和我們一起
[00:00:17.000 --> 00:00:20.000]  願上帝得著榮耀
[00:00:20.000 --> 00:00:23.000]  我不知道今天有沒有很久沒有回來的
[00:00:23.000 --> 00:00:26.000]  家道、柔道的弟兄姐妹
[00:00:26.000 --> 00:00:28.000]  今天專程回來和我們崇拜
[00:00:28.000 --> 00:00:29.000]  不知道有沒有
[00:00:29.000 --> 00:00:35.000]  感謝主讓我們能夠在主日裡
[00:00:35.000 --> 00:00:38.000]  在今天一起聯合崇拜的時候
[00:00:38.000 --> 00:00:40.000]  看到這麼多弟兄姐妹
[00:00:40.000 --> 00:00:42.000]  又聽到這麼多的師班
[00:00:42.000 --> 00:00:44.000]  特別是小朋友的師班
[00:00:44.000 --> 00:00:48.000]  我進去準備訪集合的時候
[00:00:48.000 --> 00:00:51.000]  很感恩的就是
[00:00:51.000 --> 00:00:55.000]  看到以前是少年師班的那些
[00:00:55.000 --> 00:00:57.000]  現在是帶著少年師班
[00:00:57.000 --> 00:00:59.000]  正在幫助少年師班
[00:00:59.000 --> 00:01:02.000]  這是令我們在教會內或教會裡
[00:01:02.000 --> 00:01:05.000]  做領袖的非常感恩的事
[00:01:05.000 --> 00:01:07.000]  一代一代看到上帝
[00:01:07.000 --> 00:01:08.000]  讓我們能夠承傳下去
[00:01:08.000 --> 00:01:09.000]  感恩
[00:01:09.000 --> 00:01:14.000]  在猶太人的曆法裡
[00:01:14.000 --> 00:01:17.000]  七年是安息年
[00:01:17.000 --> 00:01:20.000]  第七個七年就是四十九年
[00:01:20.000 --> 00:01:22.000]  是一個非常大的
[00:01:22.000 --> 00:01:25.000]  整個國家的一個大的欺凌
[00:01:25.000 --> 00:01:26.000]  一個大欺凌
[00:01:26.000 --> 00:01:29.000]  今年也是我們四十九年的時間
[00:01:29.000 --> 00:01:31.000]  我們都希望在神的面前
[00:01:31.000 --> 00:01:33.000]  能夠把重贊榮耀歸給祂
[00:01:33.000 --> 00:01:35.000]  我知道今天程序很多
[00:01:35.000 --> 00:01:37.000]  所以我希望今天可以盡量精簡一點
[00:01:37.000 --> 00:01:39.000]  和大家分享一段聖經
[00:01:39.000 --> 00:01:41.000]  是大家都很熟悉的
[00:01:41.000 --> 00:01:42.000]  剛才主席和我們讀出來的
[00:01:42.000 --> 00:01:43.000]  請大家回到聖經
[00:01:43.000 --> 00:01:45.000]  穆加訪第十七章
[00:01:45.000 --> 00:01:50.000]  十一到十九節
[00:01:50.000 --> 00:01:55.000]  我叫它做蒙月立的感恩
