
[00:00:00.000 --> 00:00:05.500]  各位大英姐妹,各位朋友,你好!
[00:00:05.500 --> 00:00:10.700]  歡迎大家參加我們三藩市博導會的五堂網上崇拜
[00:00:10.700 --> 00:00:14.000]  我們繼續思想啟示錄的信息
[00:00:14.000 --> 00:00:19.000]  今天我們去到啟示錄第十三章,第一節至到第十節
[00:00:19.000 --> 00:00:22.500]  題目是「教會與政權」
[00:00:22.500 --> 00:00:26.000]  開始的時候,請我們同心低堂,同土告
[00:00:26.000 --> 00:00:29.000]  慈悲仁愛天父,我們滿心多謝你
[00:00:29.000 --> 00:00:34.000]  多謝你因為你是掌管宇宙萬物的真神
[00:00:34.000 --> 00:00:39.000]  你由愛我們,猜念耶穌基督來到世上為我們釘死十字架
[00:00:39.000 --> 00:00:42.000]  以致我們有永生的盼望
[00:00:42.000 --> 00:00:46.000]  求你祝福我們,特別在這個疫情肆虐的期間
[00:00:46.000 --> 00:00:53.000]  更加是提醒,安慰,勸勉,幫助我們
[00:00:53.000 --> 00:00:56.000]  也求主幫助這個疫情早日過去
[00:00:56.000 --> 00:01:01.000]  我們這樣祈禱奉耶穌基督命球,阿門
[00:01:01.000 --> 00:01:05.000]  一個年輕貌美受過高深教育的女孩
[00:01:05.000 --> 00:01:09.000]  有一天對她媽媽說,我喜歡了一個男孩
[00:01:09.000 --> 00:01:11.000]  我們打算結婚
[00:01:11.000 --> 00:01:14.000]  她媽媽是認識這個男孩的
[00:01:14.000 --> 00:01:16.000]  聽了之後極感不安
[00:01:16.000 --> 00:01:19.000]  然後就用嚴肅的口吻對她女孩說
[00:01:19.000 --> 00:01:21.000]  我絕對不贊成這場婚事
[00:01:21.000 --> 00:01:25.000]  因為我知道你們一定不會幸福
[00:01:25.000 --> 00:01:28.000]  所以我希望你們能夠重新考慮
[00:01:28.000 --> 00:01:30.000]  想清楚,想清楚
[00:01:30.000 --> 00:01:33.000]  我預感到你們的婚姻不會長久
[00:01:33.000 --> 00:01:36.000]  你們會坐牢
[00:01:36.000 --> 00:01:40.000]  你們的兒子或女兒會自殺
[00:01:40.000 --> 00:01:43.000]  所以我不贊成
[00:01:43.000 --> 00:01:47.000]  但這個女孩沒有聽到她媽媽的警告
[00:01:47.000 --> 00:01:51.000]  一意孤行,繼續和這個男孩來往
[00:01:51.000 --> 00:01:54.000]  最後更加是嫁給了她
[00:01:54.000 --> 00:01:56.000]  但你聽到這樣的故事
[00:01:56.000 --> 00:02:00.000]  你一定以為這個男孩是一個唯非作歹
[00:02:00.000 --> 00:02:02.000]  絕對不是一個好人
[00:02:02.000 --> 00:02:06.000]  如果你這樣想,你就大錯特錯
[00:02:06.000 --> 00:02:12.000]  原來這個男孩就是中國鼎鼎大名的翻譯家兼文學家楊健益
[00:02:12.000 --> 00:02:15.000]  而這個女孩就叫做戴乃蝶
[00:02:15.000 --> 00:02:17.000]  是一個英國人
[00:02:17.000 --> 00:02:20.000]  她英文名叫Gladys Margaret Taylor
[00:02:20.000 --> 00:02:22.000]  她的媽媽和她的爸爸
