
[00:00:00.000 --> 00:00:06.160]  感謝神可以再次回來這裡
[00:00:06.160 --> 00:00:10.080]  不過已經是很多年前的事了
[00:00:10.080 --> 00:00:13.600]  是李寧牧師時代的時候
[00:00:13.600 --> 00:00:15.360]  我來過你們的教會
[00:00:15.360 --> 00:00:17.080]  這次再次回來
[00:00:17.080 --> 00:00:19.480]  很感謝神見到你們
[00:00:19.480 --> 00:00:22.000]  人數多了
[00:00:22.000 --> 00:00:25.800]  我們要為你們獻上感恩
[00:00:25.800 --> 00:00:28.920]  其實講第六屆和第二十四屆
[00:00:28.920 --> 00:00:32.200]  不一定有份量的
[00:00:32.200 --> 00:00:35.680]  老了
[00:00:35.680 --> 00:00:37.960]  人到了這個年紀
[00:00:37.960 --> 00:00:40.600]  年紀慢慢大了
[00:00:40.600 --> 00:00:42.720]  自己也要承認
[00:00:42.720 --> 00:00:47.480]  近年來營養學的發達
[00:00:47.480 --> 00:00:51.520]  令我們很多人對食物都特別注意
[00:00:51.520 --> 00:00:54.640]  減肥和注意健康
[00:00:54.640 --> 00:01:01.240]  都是我們今天生活中常有的話題
[00:01:01.240 --> 00:01:09.440]  前幾年在台灣有一個暢銷書的排行榜
[00:01:09.440 --> 00:01:14.080]  第一名的暢銷書就是「如何吃得更健康」
[00:01:14.080 --> 00:01:18.480]  所以這個時代很多人都很想能夠
[00:01:18.480 --> 00:01:21.080]  吃東西比較注意一點
[00:01:21.080 --> 00:01:23.880]  然後身體也比較注意一點
[00:01:23.880 --> 00:01:26.280]  但很奇怪
[00:01:26.280 --> 00:01:30.680]  雖然人那麼注意食物和健康
[00:01:30.680 --> 00:01:36.480]  但有很多垃圾食物仍然大行其道
[00:01:36.480 --> 00:01:39.560]  大家知道什麼叫垃圾食物嗎?
[00:01:39.560 --> 00:01:41.800]  如果我告訴大家
[00:01:41.800 --> 00:01:45.840]  我想你將這些垃圾食物一個一個拿走
[00:01:45.840 --> 00:01:50.440]  剩下的可以吃的也不是很多
[00:01:50.440 --> 00:01:53.240]  最近在網上有一篇文章
[00:01:53.240 --> 00:01:56.720]  說到八大垃圾食物
[00:01:56.720 --> 00:01:58.120]  垃圾食物是什麼呢?
[00:01:58.120 --> 00:02:00.600]  就是沒有營養的食物
[00:02:00.600 --> 00:02:03.440]  它提供卡路里和燃料
[00:02:03.440 --> 00:02:10.840]  但是缺乏蛋白質、維他命和礦物質等營養元素
[00:02:10.840 --> 00:02:14.160]  第一是油炸的
[00:02:14.160 --> 00:02:16.760]  第二是醃製的
[00:02:16.760 --> 00:02:21.120]  第三是汽水和人造果汁
[00:02:21.120 --> 00:02:23.800]  第四是罐頭
[00:02:23.800 --> 00:02:26.880]  第五是加工的肉類
[00:02:26.880 --> 00:02:29.960]  例如香腸、火腿等
[00:02:29.960 --> 00:02:34.040]  第六是蛋糕和餅乾
[00:02:34.040 --> 00:02:37.600]  第七是即食的食物
[00:02:37.600 --> 00:02:42.040]  第八是…我不太相信這個垃圾食物
[00:02:42.040 --> 00:02:45.000]  雪糕
[00:02:45.000 --> 00:02:49.440]  你想想如果這八樣東西都從我們的食物中間拿走
[00:02:49.440 --> 00:02:53.120]  剩下的不是很多
[00:02:53.120 --> 00:02:55.520]  而且很奇怪的一件事
[00:02:55.520 --> 00:03:00.560]  垃圾食物很多都很好吃的
[00:03:00.560 --> 00:03:02.480]  吃了會上癮的
[00:03:02.480 --> 00:03:05.040]  不捨得放的
