
[00:00:00.000 --> 00:00:07.000]  不過我們當初不是要求什麼
[00:00:07.000 --> 00:00:09.000]  最重要是有一個概略之道
[00:00:09.000 --> 00:00:11.000]  在座各位有一個基礎
[00:00:11.000 --> 00:00:14.000]  最重要是引導全面的興趣
[00:00:14.000 --> 00:00:16.000]  這樣就夠了
[00:00:16.000 --> 00:00:18.000]  因為真的要研究
[00:00:18.000 --> 00:00:20.000]  就算操之大業
[00:00:20.000 --> 00:00:22.000]  起碼以年做單位
[00:00:22.000 --> 00:00:26.000]  人類的文明之一
[00:00:26.000 --> 00:00:28.000]  幾千年的積聚
[00:00:28.000 --> 00:00:34.000]  幾個小時就能夠盡我最大的努力
[00:00:34.000 --> 00:00:39.000]  就算大概完結了
[00:00:39.000 --> 00:00:40.000]  我用個大表
[00:00:40.000 --> 00:00:42.000]  時不時我們都溫溫的
[00:00:42.000 --> 00:00:44.000]  最後一定是說一點皮毛的佛
[00:00:44.000 --> 00:00:47.000]  中間就對不起道
[00:00:47.000 --> 00:00:50.000]  因為三個有併重的意思
[00:00:50.000 --> 00:00:52.000]  但是道家我們要明白
[00:00:52.000 --> 00:00:55.000]  是一種個人的哲理修為
[00:00:55.000 --> 00:00:57.000]  一種人生態度
[00:00:57.000 --> 00:00:59.000]  一種人事式的處世方法
[00:00:59.000 --> 00:01:01.000]  不是宗教
[00:01:01.000 --> 00:01:02.000]  第二
[00:01:02.000 --> 00:01:05.000]  要說的話不如多讀中國的詩詞
[00:01:05.000 --> 00:01:06.000]  多讀隱士的作品
[00:01:06.000 --> 00:01:07.000]  多看國畫
[00:01:07.000 --> 00:01:09.000]  就差不多能夠用到道理
[00:01:09.000 --> 00:01:12.000]  幾乎一說就變俗
[00:01:12.000 --> 00:01:13.000]  像佛家一樣
[00:01:13.000 --> 00:01:14.000]  至於道教
[00:01:14.000 --> 00:01:15.000]  道教非常龐雜
[00:01:15.000 --> 00:01:17.000]  但是很多是民間的信仰
[00:01:17.000 --> 00:01:20.000]  有很多是取集儒家的倫理
[00:01:20.000 --> 00:01:25.000]  和道和佛教的教義
[00:01:25.000 --> 00:01:27.000]  所以
[00:01:27.000 --> 00:01:29.000]  最重要的是
[00:01:29.000 --> 00:01:31.000]  我自己的一點意見
[00:01:31.000 --> 00:01:33.000]  那兩本後的書
[00:01:33.000 --> 00:01:34.000]  多謝班長的努力
[00:01:34.000 --> 00:01:35.000]  大家很多都已經有
[00:01:35.000 --> 00:01:36.000]  你再看看
[00:01:36.000 --> 00:01:38.000]  或者知道我的意見
[00:01:38.000 --> 00:01:40.000]  最重要是自己多看其他的書
[00:01:40.000 --> 00:01:43.000]  多用上帝給我們的腦
[00:01:43.000 --> 00:01:44.000]  我們很多時候誤會
[00:01:44.000 --> 00:01:47.000]  以為信仰是憑信心
[00:01:47.000 --> 00:01:50.000]  不是說所謂邏輯
[00:01:50.000 --> 00:01:52.000]  讀書越多的人
[00:01:52.000 --> 00:01:54.000]  注重知識的人
[00:01:54.000 --> 00:01:56.000]  越會信心動搖
