
[00:00:00.000 --> 00:00:10.000]  請大家在再次聆聽主的說話
[00:00:10.000 --> 00:00:13.000]  而先同心低頭禱告
[00:00:13.000 --> 00:00:16.000]  將我們身心靈交給我們主我們神
[00:00:16.000 --> 00:00:18.000]  慈悲的父神多謝你
[00:00:18.000 --> 00:00:22.000]  讓我們再次回來在你的啟示當中去學習
[00:00:22.000 --> 00:00:28.000]  並且從當中去認識上主你的性情
[00:00:28.000 --> 00:00:33.000]  並且看見上主你的救恩計劃
[00:00:33.000 --> 00:00:41.000]  怎樣從你創造以後一直到今天仍然在生效
[00:00:41.000 --> 00:00:47.000]  怎樣在我們每一個屬於你的真正神的兒女裏
[00:00:47.000 --> 00:00:50.000]  能夠生根建造
[00:00:50.000 --> 00:00:54.000]  好讓我們重歸於創造的原樣
[00:00:54.000 --> 00:00:56.000]  為此獻上感恩
[00:00:56.000 --> 00:01:02.000]  求你的帶領讓每一個無論是聽的說的
[00:01:02.000 --> 00:01:06.000]  都能夠在今天這個訊息當中
[00:01:06.000 --> 00:01:13.000]  讓我們重新明白到我們怎樣走面前的屬靈的道路
[00:01:13.000 --> 00:01:19.000]  禱告奉靠主耶穌基督得勝的名字而求
[00:01:19.000 --> 00:01:31.000]  今天在教會裏面其實很多人是處於一種不信主的狀態
[00:01:31.000 --> 00:01:34.000]  當他們在這種狀態之下
[00:01:34.000 --> 00:01:42.000]  比不信主的人的表現更加可怕和可憐
[00:01:42.000 --> 00:01:52.000]  我一直都認為所信的東西需要清楚從聖經作為基礎
[00:01:52.000 --> 00:01:56.000]  但是對於很多這些不信主的人
[00:01:56.000 --> 00:02:02.000]  錯了誤打誤撞以為自己信了主的人
[00:02:02.000 --> 00:02:04.000]  他有一些特色
[00:02:04.000 --> 00:02:08.000]  他認為他自己所信的東西全部都正確
[00:02:08.000 --> 00:02:13.000]  不會去檢查也不會去鑑察一下
[00:02:13.000 --> 00:02:17.000]  聖經和他自己信的東西有什麼分別
[00:02:17.000 --> 00:02:23.000]  他於是乎認為只需要我在教會裏面做到某些程度
[00:02:23.000 --> 00:02:25.000]  或者參與某些活動
[00:02:25.000 --> 00:02:29.000]  我們就已經信得很無比正確
[00:02:29.000 --> 00:02:37.000]  他以為他自己所認信的所謂基督教的教義是毫無瑕疵的
[00:02:37.000 --> 00:02:41.000]  錯的是其他人而不是他自己
[00:02:41.000 --> 00:02:49.000]  當如果連這樣信的人都可以說是真的信的話
[00:02:49.000 --> 00:02:53.000]  其實聖經就沒有需要存在
[00:02:53.000 --> 00:02:58.000]  只需要一群人說一些宗教的術語
[00:02:58.000 --> 00:03:09.000]  或者一些我們在神學上的理論神學的教義就已經足夠
[00:03:09.000 --> 00:03:14.000]  但是如果當我們是一個認真相信主的人
[00:03:14.000 --> 00:03:16.000]  屬神的子民
[00:03:16.000 --> 00:03:19.000]  其實我們為什麼要去讀聖經呢
[00:03:19.000 --> 00:03:23.000]  就是因為我們會希望用聖經裏面的啟示
[00:03:23.000 --> 00:03:30.000]  去糾正我們今天的信究竟有沒有什麼地方扭曲了
[00:03:30.000 --> 00:03:33.000]  而往往那些不信主的人
[00:03:33.000 --> 00:03:38.000]  最怕就是拿本聖經出來去量度一下自己的信
[00:03:38.000 --> 00:03:43.000]  因為他接受不到自己的信是錯誤
[00:03:43.000 --> 00:03:52.000]  他只是擁抱著一大串扭曲並且適合他自己口味的教義
