
[00:00:00.000 --> 00:00:04.540]  各位網友好 今天是星期五的星期五節目
[00:00:04.540 --> 00:00:09.460]  今天是星期五節目 今天是星期五節目的時間是9點半
[00:00:09.460 --> 00:00:15.200]  星期五節目的時間是9點半 星期五節目的時間是9點半
[00:00:15.200 --> 00:00:21.060]  星期五節目的時間是9點半 星期五節目的時間是9點半
[00:00:21.060 --> 00:00:28.200]  星期五節目的時間是9點半 星期五節目的時間是9點半
[00:00:28.200 --> 00:00:31.200]  在明年的1月就會在多倫多開始
[00:00:31.200 --> 00:00:35.720]  兄弟會在機構裡面做一個多份幹事
[00:00:35.720 --> 00:00:40.620]  很感謝神多年在主人堂裡面服侍
[00:00:40.620 --> 00:00:45.920]  並且最後能夠分享這幾堂我覺得很重要的信息
[00:00:45.920 --> 00:00:48.520]  四重福音是一個整全福音
[00:00:48.520 --> 00:00:52.200]  我們每一個都得著的 神賜給我們的
[00:00:52.200 --> 00:00:56.840]  問題是我們能不能抓緊它 並且活出來
[00:00:56.840 --> 00:01:00.240]  說到醫治這個問題的時候 其實是一個很難說
[00:01:00.240 --> 00:01:04.300]  又很敏感 但是又是一個很食切的題目
[00:01:04.300 --> 00:01:08.640]  因為健康我相信每一個人都很關切
[00:01:08.640 --> 00:01:13.120]  特別是如果是我們自己或者我們的親人裡面
[00:01:13.120 --> 00:01:20.180]  患有重病的話 我們對這個課題會特別關心
[00:01:20.180 --> 00:01:23.440]  但是每當我們說到這個醫治的問題的時候
[00:01:23.440 --> 00:01:27.500]  我想我們要首先避免走入極端
[00:01:27.500 --> 00:01:31.120]  比如說我們承認有神的醫治
[00:01:31.120 --> 00:01:34.500]  那我們就不需要看醫生 不需要吃藥
[00:01:34.500 --> 00:01:36.700]  就是單單等候神醫治
[00:01:36.700 --> 00:01:39.500]  或者反過來走去另一個極端的話
[00:01:39.500 --> 00:01:41.640]  就不會再有神的醫治了
[00:01:41.640 --> 00:01:45.980]  神的醫治只不過是一些魔鬼的伎倆
[00:01:45.980 --> 00:01:49.400]  引誘人走錯而已
[00:01:49.400 --> 00:01:52.840]  盼望我們不是走去這個極端當中
[00:01:52.840 --> 00:01:55.460]  因為我們的主是昨日、今日
[00:01:55.460 --> 00:01:58.480]  直到永遠都是我們的主
[00:01:58.480 --> 00:02:02.480]  祂以前在地上侍奉的時候 我們看回三年多
[00:02:02.480 --> 00:02:06.640]  祂除了傳道之外 也都是很多時候是醫病
[00:02:06.640 --> 00:02:11.660]  是救那些因為疾病而帶來瀕死的人 釋放他們
[00:02:11.660 --> 00:02:14.060]  我們的主今天同樣都可以
[00:02:14.060 --> 00:02:15.840]  並且祂是大能的主
[00:02:15.840 --> 00:02:18.500]  祂的醫治絕對不在我們的時間
[00:02:18.500 --> 00:02:21.120]  我們的方法和框框裡面
[00:02:21.120 --> 00:02:23.420]  祂要醫 祂就會醫
[00:02:23.420 --> 00:02:25.600]  祂要成就的 必定成就
[00:02:25.600 --> 00:02:27.300]  所以不是我們去框著祂
[00:02:27.300 --> 00:02:29.840]  祂一定要這樣才能成就
[00:02:29.840 --> 00:02:33.300]  其實一切都是因緣
[00:02:33.300 --> 00:02:37.400]  我看回我們得救是因緣
[00:02:37.400 --> 00:02:39.800]  我們成性是因緣
[00:02:39.800 --> 00:02:42.100]  醫治都是因緣
[00:02:42.100 --> 00:02:44.140]  我們今天要講的醫治的問題
[00:02:44.140 --> 00:02:46.720]  其實是從四重福音
[00:02:46.720 --> 00:02:48.720]  耶穌是醫治之主
[00:02:48.720 --> 00:02:50.980]  這個角度來去思想
[00:02:50.980 --> 00:02:52.880]  希望從這個角度去思想的時候
[00:02:52.880 --> 00:02:55.080]  我們能夠對醫治的問題
[00:02:55.080 --> 00:02:57.800]  有一些新的領受和啟發
[00:02:57.800 --> 00:03:00.880]  如果我們要去了解
[00:03:00.880 --> 00:03:03.220]  四重福音裡面耶穌是醫治之主
[00:03:03.220 --> 00:03:08.000]  我想最好的就是從
[00:03:08.000 --> 00:03:13.080]  孫迅博士他個人的經歷來去看
[00:03:13.080 --> 00:03:16.740]  究竟他為什麼會有這個形式
[00:03:16.740 --> 00:03:20.480]  去強調耶穌是醫治之主
[00:03:20.480 --> 00:03:24.680]  孫迅本身的成長是一個很保守
[00:03:24.680 --> 00:03:29.480]  信仰很嚴謹的長老會的家庭裡面長大的
[00:03:29.480 --> 00:03:32.080]  他爸爸媽媽都是一個非常愛主
[00:03:32.080 --> 00:03:36.760]  不單是投老相信有聖基督的知識
[00:03:36.760 --> 00:03:39.160]  甚至在生活上是切實的
[00:03:39.160 --> 00:03:41.500]  來活出一個基督徒的樣式
[00:03:41.500 --> 00:03:43.500]  一個這樣的夫婦
[00:03:43.500 --> 00:03:46.700]  孫迅就在這個家庭裡面成長
[00:03:46.700 --> 00:03:49.040]  他以前有聽聞過醫治的東西
[00:03:49.040 --> 00:03:51.040]  但是他完全不認識
[00:03:51.040 --> 00:03:54.580]  他直到後來在紐約十三街
[00:03:54.580 --> 00:03:57.360]  在這個長老會裡面服侍的時候
[00:03:57.360 --> 00:03:59.320]  然後才開始去接觸
[00:03:59.320 --> 00:04:03.440]  認識神的醫治這一方面的問題
[00:04:03.440 --> 00:04:08.240]  他自小的時候其實他是看藥多病
[00:04:08.240 --> 00:04:10.240]  在他自己的傳記裡面他講到
[00:04:10.240 --> 00:04:13.680]  他十四歲的時候是因為讀書過勞
