
[00:00:00.000 --> 00:00:05.280]  今年是休息、安息年
[00:00:05.280 --> 00:00:10.120]  我是聽到多 講到少
[00:00:10.120 --> 00:00:13.000]  整年我都是講了幾次
[00:00:13.000 --> 00:00:16.720]  但是不知道是我至今
[00:00:16.720 --> 00:00:22.000]  還是我是不甘寂寞
[00:00:22.000 --> 00:00:27.720]  如果你讓我選擇聽到還是講到
[00:00:27.720 --> 00:00:31.720]  其實我是喜歡講到的
[00:00:31.720 --> 00:00:36.600]  所以很感謝宋長老這次給我機會
[00:00:36.600 --> 00:00:42.080]  在當中證明一解我的寂寞
[00:00:42.080 --> 00:00:45.880]  原先的安排就是每個月一次
[00:00:45.880 --> 00:00:49.040]  直到年底一共有四次
[00:00:49.040 --> 00:00:52.560]  我想四次講什麼好呢?
[00:00:52.560 --> 00:00:55.920]  不如就講宣佈一個很重要的信息
[00:00:55.920 --> 00:00:57.920]  就是四重服膺
[00:00:57.920 --> 00:01:01.880]  因為今年五月的時候有機會去多倫多
[00:01:01.880 --> 00:01:05.920]  上這個宣佈會的歷史和思想的時候
[00:01:05.920 --> 00:01:09.000]  給我很多的反省和衝擊
[00:01:09.000 --> 00:01:13.720]  不過四次就是講這四個重要的信息
[00:01:13.720 --> 00:01:16.600]  但是剛剛上個星期才知道
[00:01:16.600 --> 00:01:18.600]  如果如無意外
[00:01:18.600 --> 00:01:22.160]  明年初我就會在多倫多的機構受訪
[00:01:22.160 --> 00:01:24.680]  雖然是明年初才開始
[00:01:24.680 --> 00:01:27.440]  但是接下來這幾個月有可能
[00:01:27.440 --> 00:01:31.120]  要在多倫多或者其它城市做一些預備
[00:01:31.120 --> 00:01:37.440]  和交接的一些工作
[00:01:37.440 --> 00:01:40.960]  所以之後還可不可以再繼續講呢?
[00:01:40.960 --> 00:01:44.480]  我都不知道 但是起碼今天先開始
[00:01:44.480 --> 00:01:46.760]  這是一個很重要的信息
[00:01:46.760 --> 00:01:49.000]  今天和大家分享的就是
[00:01:49.000 --> 00:01:53.320]  這個四重服膺裡面的耶穌是救主
[00:01:53.320 --> 00:01:57.440]  這個Paul Reader是宣佈會的第二任主席
[00:01:57.440 --> 00:02:00.560]  會長就是這個孫迅博士之後
[00:02:00.560 --> 00:02:06.360]  他在《非我為主》孫迅博士的生平裡面的一本書
[00:02:06.360 --> 00:02:08.360]  他講了一句這樣的說話
