
[00:00:00.000 --> 00:00:06.240]  這一堂已經是全道書第六堂了
[00:00:06.240 --> 00:00:08.320]  我不知道大家聽得如何
[00:00:08.320 --> 00:00:11.280]  希望不是越聽越虛空
[00:00:11.280 --> 00:00:14.240]  我盼望大家越聽越充實
[00:00:14.240 --> 00:00:17.280]  每一堂都有它的主題
[00:00:17.280 --> 00:00:18.560]  都有它的重點
[00:00:18.560 --> 00:00:22.960]  今天這一堂叫做人生的敬畏與欺壓
[00:00:22.960 --> 00:00:24.720]  希望大家有聖經
[00:00:24.720 --> 00:00:27.200]  你都可以打開全道書第五章
[00:00:27.200 --> 00:00:29.680]  第一節到第九節
[00:00:29.680 --> 00:00:32.000]  或者我們先讀一次
[00:00:32.000 --> 00:00:34.800]  大家看著經文我們先讀一次
[00:00:34.800 --> 00:00:37.120]  全道書第五章第一節
[00:00:37.120 --> 00:00:39.920]  你道臣的殿要謹慎腳步
[00:00:39.920 --> 00:00:44.400]  因為近前聽聖過愚昧人建制
[00:00:44.400 --> 00:00:47.920]  他們本不知所作的是惡
[00:00:47.920 --> 00:00:51.440]  你在臣面前不可冒失開口
[00:00:51.440 --> 00:00:53.600]  也不可心急發言
[00:00:53.600 --> 00:00:56.800]  因為臣在天上你在地下
[00:00:56.800 --> 00:01:00.000]  所以你的言語要寡小
[00:01:00.000 --> 00:01:02.560]  事無多就令人作夢
[00:01:02.560 --> 00:01:05.120]  言語多就顯出愚昧
[00:01:05.120 --> 00:01:08.560]  你向臣許願常還不可前移
[00:01:08.560 --> 00:01:10.880]  因他不起悅愚昧人
[00:01:10.880 --> 00:01:13.840]  所以你許的願應當常還
[00:01:13.840 --> 00:01:16.800]  你許的願不還不如不許
[00:01:16.800 --> 00:01:20.000]  不可任你的口使肉體犯罪
[00:01:20.000 --> 00:01:23.440]  也不可在祭司面前說是錯許了
[00:01:23.440 --> 00:01:25.920]  為何使臣因你的先知
[00:01:25.920 --> 00:01:27.840]  因你的先音法路
[00:01:27.840 --> 00:01:30.080]  敗壞你所作的呢?
[00:01:30.080 --> 00:01:33.360]  多夢和多言其中多有虛幻
[00:01:33.360 --> 00:01:35.920]  你只要敬畏實
[00:01:35.920 --> 00:01:39.200]  你若在一眨之中見窮人受欺壓
[00:01:39.200 --> 00:01:41.840]  並奪去公義公平的事
[00:01:41.840 --> 00:01:43.840]  不要因此詫異
[00:01:43.840 --> 00:01:47.280]  因有一位高過居高位的監察
[00:01:47.280 --> 00:01:50.400]  在他們耳上還有更高的
[00:01:50.400 --> 00:01:52.800]  放且地的益處歸眾人
[00:01:52.800 --> 00:01:56.640]  就是君王也受田地的供應
[00:01:56.640 --> 00:02:00.960]  今日題目叫人生的敬畏和欺壓
[00:02:00.960 --> 00:02:03.040]  如果剛才你有留心看經文
[00:02:03.040 --> 00:02:04.080]  有留心聽
[00:02:04.080 --> 00:02:07.280]  敬畏這個字出自第七節
[00:02:07.280 --> 00:02:09.520]  可以說是第一段經文
[00:02:09.520 --> 00:02:11.200]  一至七節最後的一句
[00:02:11.200 --> 00:02:14.640]  提到要敬只要敬畏實
[00:02:14.640 --> 00:02:20.000]  第二個主題欺壓出自第八節
[00:02:20.000 --> 00:02:21.760]  就是第二段經文的第一節
[00:02:21.760 --> 00:02:24.640]  講到不見窮人受欺壓
[00:02:24.640 --> 00:02:27.280]  不要因此詫異
[00:02:27.280 --> 00:02:32.000]  我分享這兩方面的信息
[00:02:32.000 --> 00:02:35.840]  我記得我自己初初在一間教會的幕會
[00:02:35.840 --> 00:02:39.040]  教會的主任牧師和師母
[00:02:39.040 --> 00:02:41.600]  都是我見到的人當中
[00:02:41.600 --> 00:02:46.800]  最溫柔和最有禮貌的傳道人和師母
[00:02:46.800 --> 00:02:48.960]  他們真的很斯文
[00:02:48.960 --> 00:02:50.880]  說話很溫柔
[00:02:50.880 --> 00:02:54.080]  我記得有一次我們家庭聚會
[00:02:54.080 --> 00:02:56.960]  我們在一個弟兄的家
[00:02:56.960 --> 00:02:58.880]  很多都是年輕的夫婦
[00:02:58.880 --> 00:03:00.160]  有很多小孩
[00:03:00.160 --> 00:03:03.040]  我記得聚會之前有人問師母
