
[00:00:00.000 --> 00:00:11.640]  今天和大家分享的經文是出自於加拉太書第六章第九節至第十節
[00:00:11.640 --> 00:00:18.560]  今天所講的講題就是堅持行善不容疑卻最終有效
[00:00:18.560 --> 00:00:23.760]  我會和大家一起去讀和合本的版本
[00:00:23.760 --> 00:00:29.760]  請大家也和我一起回到加拉太書第六章
[00:00:29.760 --> 00:00:33.160]  我們先看兩節經文第九和第十節
[00:00:33.160 --> 00:00:40.800]  我們行善不可喪志若不灰心到這時候就要修成
[00:00:40.800 --> 00:00:45.800]  所以有了機會就當向眾人行善
[00:00:45.800 --> 00:00:49.800]  向信徒一家的人更當這樣
[00:00:49.800 --> 00:00:54.800]  在這段聖經我們剛剛看到他談論到有關於行善
[00:00:54.800 --> 00:01:02.800]  這個行善的題目在今天這個以相對性去見機的世界裏面
[00:01:02.800 --> 00:01:07.800]  我相信不同的人有不同的定義
[00:01:07.800 --> 00:01:12.800]  但是在這段聖經裏面就告訴我們知道
[00:01:12.800 --> 00:01:17.800]  其實那個基礎是談論到基督徒的背景
[00:01:17.800 --> 00:01:21.800]  如果我們不是用基督徒的背景去看
[00:01:21.800 --> 00:01:28.800]  如果基於今天這個世界的個人觀念去定斷什麼叫做行善的話
[00:01:28.800 --> 00:01:34.800]  結局就變成了談論到好像說這個世界有很多元性
[00:01:34.800 --> 00:01:40.800]  任你們的看法去決定什麼叫做行善
[00:01:40.800 --> 00:01:42.800]  結局就造成了一個局面
[00:01:42.800 --> 00:01:47.800]  行善這個題目就變成了很多人的美化詞
[00:01:47.800 --> 00:01:53.800]  將自己的己慾包裝得很漂亮的在人的面前去顯示
[00:01:53.800 --> 00:01:56.800]  但是如果對於基督徒來算
[00:01:56.800 --> 00:02:03.800]  以他們持守聖經的原則其實行善就只有一個定義
[00:02:03.800 --> 00:02:08.800]  這個定義就是談論到一個人或者一個基督徒
[00:02:08.800 --> 00:02:14.800]  他能夠是有一份的能力去叫人按照真理
[00:02:14.800 --> 00:02:19.800]  在神的面前能夠站立得住
[00:02:19.800 --> 00:02:24.800]  而這個信徒也有這份的心智去不斷鼓勵其他的人
[00:02:24.800 --> 00:02:30.800]  能夠去到上帝的面前按照神的標準而活
[00:02:30.800 --> 00:02:32.800]  所以簡單點來說
[00:02:32.800 --> 00:02:38.800]  行善不只是我們今天很多人所以為的做這些好事
[00:02:38.800 --> 00:02:45.800]  譬如去派奶粉 派米 派很多的利益給其他人
[00:02:45.800 --> 00:02:47.800]  就等於一個行善
[00:02:47.800 --> 00:02:58.800]  因為這些行為有很多時候反而變成了很多假冒偽善的人的一種得罪神的機會
[00:02:58.800 --> 00:03:04.800]  而我們基督徒更加不能夠跌入了這種的解釋和演繹
[00:03:04.800 --> 00:03:09.800]  忽然的話我們其實就等同於同流合污
[00:03:09.800 --> 00:03:13.800]  以為做多些好事就等同於取悅於上帝
[00:03:13.800 --> 00:03:14.800]  其實不是的
[00:03:14.800 --> 00:03:17.800]  有時候我們很多時候用這些行為
[00:03:17.800 --> 00:03:21.800]  其實本來想將自己包裝給別人看
[00:03:21.800 --> 00:03:24.800]  我其實是一個好人的意思
[00:03:24.800 --> 00:03:26.800]  是一種自意的情況
[00:03:26.800 --> 00:03:34.800]  因此當我們如果按照聖經的原則去定義行善的話
[00:03:34.800 --> 00:03:40.800]  其實按照真理去行其實不是一件容易的事
[00:03:40.800 --> 00:03:45.800]  而且要堅持一直按照聖經所界定
[00:03:45.800 --> 00:03:50.800]  帶人去到神的面前能夠在神面前站立得住這個做法
[00:03:50.800 --> 00:03:55.800]  其實是一件可以說在這個世界不受歡迎的事情
[00:03:55.800 --> 00:03:59.800]  但是雖然在聖經裡面我們知道
[00:03:59.800 --> 00:04:04.800]  或者甚至在實際的生活上我們知道是不容易的事
[00:04:04.800 --> 00:04:07.800]  甚至可能是一件很困難的事
[00:04:07.800 --> 00:04:11.800]  但是聖經卻是很肯定地告訴我們
[00:04:11.800 --> 00:04:18.800]  最終如果我們能夠一直堅持按照真理去行善的話
[00:04:18.800 --> 00:04:24.800]  我們始終最後行善是有它的果效的
[00:04:24.800 --> 00:04:27.800]  究竟是什麼果效?
[00:04:27.800 --> 00:04:29.800]  有什麼成效出來呢?
[00:04:29.800 --> 00:04:34.800]  這就是今天我和大家一起去看這兩節經文所要談論的主旨
[00:04:34.800 --> 00:04:40.800]  也是《迦太書》第六章第九至第十節的主旨
[00:04:40.800 --> 00:04:49.800]  我們先看一下先前在第六章第九至第十節之前的經文說什麼
[00:04:49.800 --> 00:04:53.800]  如果我們回看上一堂主日崇拜的時候
[00:04:53.800 --> 00:04:59.800]  我們談論到第六章第六節至第十節其實是一個整個片段
