
[00:00:00.000 --> 00:00:08.000]  獨領人的閱讀觀 閱讀的闊度
[00:00:08.000 --> 00:00:10.000]  大家都會看到我一個大綱
[00:00:10.000 --> 00:00:12.000]  我會跟著這個大綱講下去
[00:00:12.000 --> 00:00:14.000]  這個大綱開始的時候很特別的
[00:00:14.000 --> 00:00:17.000]  就是自願閱讀與被迫閱讀
[00:00:17.000 --> 00:00:21.000]  這個我就想用一個這樣的翻譯來開始
[00:00:21.000 --> 00:00:23.000]  通常我們想到閱讀的時候
[00:00:23.000 --> 00:00:28.000]  我們都會想到我們看書 看《屬靈書籍》
[00:00:28.000 --> 00:00:34.000]  但是我今天想要擴闊一點這個閱讀的觀念
[00:00:34.000 --> 00:00:39.000]  其實閱讀不是單單我們用眼睛看一些文字
[00:00:39.000 --> 00:00:44.000]  就是白紙黑字一本一本的書籍
[00:00:44.000 --> 00:00:48.000]  其實閱讀我今天將它擴闊一點的角度去看
[00:00:48.000 --> 00:00:52.000]  其實一切你所接觸到給你有訊息的東西都是一種閱讀
[00:00:52.000 --> 00:00:55.000]  如果這樣看的時候
[00:00:55.000 --> 00:00:58.000]  你還可以想像其實你每人
[00:00:58.000 --> 00:01:01.000]  你自覺的不自覺的都是在閱讀
[00:01:01.000 --> 00:01:03.000]  當然我們有很多自覺的閱讀
[00:01:03.000 --> 00:01:05.000]  我們看報紙都是一種閱讀
[00:01:05.000 --> 00:01:07.000]  我們看《屬靈書籍》當然是閱讀
[00:01:07.000 --> 00:01:09.000]  我們看《聖經》是閱讀
[00:01:09.000 --> 00:01:11.000]  但是我們還有很多東西都是在閱讀
[00:01:11.000 --> 00:01:13.000]  你想一下我們早上起床的時候
[00:01:13.000 --> 00:01:17.000]  起床扭開電視機或者扭開衣服機
[00:01:17.000 --> 00:01:19.000]  看香港早晨已經是一種閱讀
[00:01:19.000 --> 00:01:21.000]  不斷有個訊息在給你
[00:01:21.000 --> 00:01:25.000]  然後你出街的時候走過一條街去到地鐵站
