
[00:00:00.000 --> 00:00:02.000]  (字幕: 王晰)
[00:00:02.960 --> 00:00:04.760]  領佔會平安
[00:00:04.760 --> 00:00:07.200]  在2019年開始的時候
[00:00:07.200 --> 00:00:10.600]  第一個月和大家一起思想神的說話
[00:00:10.600 --> 00:00:13.720]  我選了剛才我們所讀的十節聖經
[00:00:13.720 --> 00:00:16.200]  就是彼得前書的第三章
[00:00:16.200 --> 00:00:18.800]  大家讀的時候可能都不是很熟習
[00:00:18.800 --> 00:00:20.880]  這段聖經是什麼
[00:00:20.880 --> 00:00:25.000]  但是我就很想用這段聖經和大家一起思想
[00:00:25.000 --> 00:00:27.160]  去面對新的一年
[00:00:27.160 --> 00:00:30.080]  從神而來的說話有什麼提醒
[00:00:30.080 --> 00:00:32.320]  以及預備我們的心
[00:00:32.320 --> 00:00:36.200]  究竟2019年是怎樣的一年我們不知道
[00:00:36.200 --> 00:00:38.520]  沒有人能夠告訴你
[00:00:38.520 --> 00:00:41.640]  會碰見什麼事呢
[00:00:41.640 --> 00:00:43.600]  你不知道 我也不知道
[00:00:43.600 --> 00:00:48.720]  不過在大環境大趨勢來說似乎不多好
[00:00:48.720 --> 00:00:52.000]  成哥都說沒見過這麼多人
[00:00:52.000 --> 00:00:54.960]  這麼多國家都是經濟這麼差的
[00:00:54.960 --> 00:00:59.600]  還有很多2018年跡下的問題
[00:00:59.600 --> 00:01:02.120]  2019年才浮現出來
[00:01:02.120 --> 00:01:08.320]  在天氣方面好像很多人都告訴我們
[00:01:08.320 --> 00:01:12.720]  接下來2019年可能天氣會比去年更差
[00:01:12.720 --> 00:01:16.760]  因為海洋的氣溫
[00:01:16.760 --> 00:01:19.000]  大家最近都看到
[00:01:19.000 --> 00:01:20.320]  又再升高了
[00:01:20.320 --> 00:01:23.280]  2018年已經是自有紀錄以來
[00:01:23.280 --> 00:01:26.280]  海洋溫度升得最高的一年
[00:01:26.280 --> 00:01:29.120]  相信2019年會繼續破紀錄
[00:01:29.120 --> 00:01:31.280]  海洋的溫度升高一點
[00:01:31.280 --> 00:01:34.720]  不是說唯一的結果就是遲些可以有水
[00:01:34.720 --> 00:01:37.840]  而是海洋差一點點的溫度
[00:01:37.840 --> 00:01:46.560]  帶來全球性的空氣和天氣的平衡所產生的問題
[00:01:46.560 --> 00:01:52.400]  而且海洋的溫度直接影響很多海洋的生物的死亡
[00:01:52.400 --> 00:01:58.960]  科學家說以前我們聽見都不太明白
[00:01:58.960 --> 00:01:59.960]  但都很害怕的
[00:01:59.960 --> 00:02:02.560]  這個El Nino的效應
[00:02:02.560 --> 00:02:05.080]  2019年是會最強烈的
[00:02:05.080 --> 00:02:06.680]  那就是說究竟會怎樣呢
[00:02:06.680 --> 00:02:07.680]  我們不知道
[00:02:07.680 --> 00:02:10.800]  不過都不是特別好的消息
[00:02:10.800 --> 00:02:13.160]  由全球性的到香港的
[00:02:13.160 --> 00:02:17.120]  或者甚至這個世界變得很順利
[00:02:17.120 --> 00:02:19.000]  不過在你的人生裡面
[00:02:19.000 --> 00:02:23.040]  都不表示有可以避開
[00:02:23.040 --> 00:02:25.640]  會面對的人生的挑戰
[00:02:25.640 --> 00:02:28.200]  或者甚至有困難
[00:02:28.200 --> 00:02:29.200]  有受苦
[00:02:29.200 --> 00:02:31.320]  就是今天我們所說的課題
[00:02:31.320 --> 00:02:32.960]  可能有些大英姐妹心裡面
[00:02:32.960 --> 00:02:35.400]  聽到這裡就不是很高興
[00:02:35.400 --> 00:02:37.400]  一大吉利是
[00:02:37.400 --> 00:02:39.200]  找些什麼來講
[00:02:39.200 --> 00:02:41.480]  一生年流流
[00:02:41.480 --> 00:02:44.240]  但是我想和大家一起去面對
[00:02:44.240 --> 00:02:46.080]  因為我們真的不知道
[00:02:46.080 --> 00:02:48.280]  我們不如是想像
[00:02:48.280 --> 00:02:51.800]  相信人生要面對的挑戰的時候
[00:02:51.800 --> 00:02:53.440]  你不知道會是什麼事
[00:02:53.440 --> 00:02:54.720]  會發生在你身上
[00:02:54.720 --> 00:02:55.720]  在我身上
[00:02:55.720 --> 00:02:58.720]  不過就算無論有什麼事情
[00:02:58.720 --> 00:03:00.440]  我們有一種態度
[00:03:00.440 --> 00:03:01.880]  一種力量
[00:03:01.880 --> 00:03:03.240]  一種勇氣
[00:03:03.240 --> 00:03:05.600]  和從神而來的應許
[00:03:05.600 --> 00:03:06.840]  這個才是重要的
[00:03:06.840 --> 00:03:09.240]  什麼事都可以走得過去
[00:03:09.240 --> 00:03:12.920]  這個正就是比特前書要講的訊息
[00:03:12.920 --> 00:03:15.200]  比特前書要寫的時候
[00:03:15.200 --> 00:03:17.360]  他給的讀者其實
[00:03:17.360 --> 00:03:19.920]  所面對的困難比你和我都難
[00:03:19.920 --> 00:03:20.840]  都大
[00:03:20.840 --> 00:03:21.840]  因為比特前書
[00:03:21.840 --> 00:03:23.680]  魯比特寫這些信件
[00:03:23.680 --> 00:03:26.120]  寫這封信給當時的信徒的時候
