
[00:00:00.000 --> 00:00:03.000]  今晚我們未進入第十八章之前
[00:00:03.000 --> 00:00:06.000]  我想補充第十七章
[00:00:06.000 --> 00:00:09.000]  因為第十七章當中也說到巴比倫
[00:00:09.000 --> 00:00:12.000]  第十八章也說到巴比倫
[00:00:12.000 --> 00:00:16.000]  巴比倫這三個字雖然是一個城市的名字
[00:00:16.000 --> 00:00:19.000]  在舊約那裡出現了四百多次
[00:00:19.000 --> 00:00:22.000]  僅次於耶路撒冷
[00:00:22.000 --> 00:00:25.000]  但是啟示錄這裡所說的巴比倫
[00:00:25.000 --> 00:00:28.000]  未必是指那裡的巴比倫
[00:00:28.000 --> 00:00:31.000]  未必是指那裡的城市
[00:00:31.000 --> 00:00:35.000]  有一些解經家認為這裡所說的巴比倫
[00:00:35.000 --> 00:00:37.000]  將來在末世的時候
[00:00:37.000 --> 00:00:43.000]  真的在巴格達以南五十里的巴比倫發生
[00:00:43.000 --> 00:00:45.000]  但我們不知道是不是
[00:00:45.000 --> 00:00:50.000]  但這個巴比倫很明顯是代表了敵對神
[00:00:50.000 --> 00:00:53.000]  以人代替神的制度
[00:00:53.000 --> 00:00:56.000]  第十七章是說到宗教方面
[00:00:56.000 --> 00:00:58.000]  說到信仰方面
[00:00:58.000 --> 00:01:00.000]  是推動人的宗教
[00:01:00.000 --> 00:01:04.000]  上一次我說的是假的宗教的大合一
[00:01:04.000 --> 00:01:08.000]  在末世的時候我們會見到是宗教的大合一
[00:01:08.000 --> 00:01:11.000]  其實我們已經見得很清楚
[00:01:11.000 --> 00:01:15.000]  宗教大合一的運動已經開始了
[00:01:15.000 --> 00:01:18.000]  可以說有二、三十年了
[00:01:18.000 --> 00:01:22.000]  這個巴比倫上一次我們說
[00:01:22.000 --> 00:01:25.000]  我們要回到聖經創世紀那裡
[00:01:25.000 --> 00:01:27.000]  就是巴別塔
[00:01:27.000 --> 00:01:30.000]  巴比倫就是巴別塔的現身
[00:01:30.000 --> 00:01:35.000]  而巴別塔是代表了人要違背神的旨意
[00:01:35.000 --> 00:01:38.000]  人要自己成為神
[00:01:38.000 --> 00:01:41.000]  人要堅持自己的做法
[00:01:41.000 --> 00:01:44.000]  不理會神的旨意
[00:01:44.000 --> 00:01:48.000]  而且是讓人可以聖天代替了神
[00:01:48.000 --> 00:01:50.000]  這樣的一種思維
[00:01:50.000 --> 00:01:52.000]  這樣的一種制度
[00:01:52.000 --> 00:01:56.000]  在宗教方面就是不信神的
[00:01:56.000 --> 00:02:00.000]  宗教方面就是
[00:02:00.000 --> 00:02:01.000]  你信甚麼都可以
[00:02:01.000 --> 00:02:02.000]  不信都可以
[00:02:02.000 --> 00:02:07.000]  總之你虔誠的就可以是合一的
[00:02:07.000 --> 00:02:09.000]  上一次我也有說到
[00:02:09.000 --> 00:02:12.000]  特別是天主教在這方面
[00:02:12.000 --> 00:02:14.000]  做了很多很多的工作
[00:02:14.000 --> 00:02:18.000]  所以似乎第十七章的巴比倫
[00:02:18.000 --> 00:02:23.000]  如果你要為了第二個機構來代替
[00:02:23.000 --> 00:02:25.000]  有第二個團體來代替它
[00:02:25.000 --> 00:02:27.000]  暫時我還沒有見到
[00:02:27.000 --> 00:02:33.000]  有任何的團體是更加有資格過天主教
[00:02:33.000 --> 00:02:35.000]  在過去的幾十年
[00:02:35.000 --> 00:02:37.000]  給我們看到它所做的事
[00:02:37.000 --> 00:02:39.000]  如果給大家這次的補充資料
[00:02:39.000 --> 00:02:43.000]  後面有很資深的牧師
[00:02:43.000 --> 00:02:44.000]  吳主光牧師
[00:02:44.000 --> 00:02:47.000]  他在這方面做了很多很多的研究
[00:02:47.000 --> 00:02:51.000]  他在金燈台那裏的這篇文章
[00:02:51.000 --> 00:02:53.000]  結論是很清楚的
[00:02:53.000 --> 00:02:56.000]  他認為第十七章裏面的巴比倫
[00:02:56.000 --> 00:03:01.000]  那個淫婦就是現在的天主教
[00:03:01.000 --> 00:03:04.000]  其實我也贊成的
[00:03:04.000 --> 00:03:06.000]  我看來看去
[00:03:06.000 --> 00:03:09.000]  我看不到還有其他的可能性
[00:03:09.000 --> 00:03:15.000]  而且近年天主教在現在教宗的領導下
[00:03:15.000 --> 00:03:22.000]  更加促進宗教的大合一
[00:03:22.000 --> 00:03:26.000]  上一次我也有說第十七章那裏
[00:03:26.000 --> 00:03:31.000]  是看到巴比倫是迫害信徒的
[00:03:31.000 --> 00:03:33.000]  是迫害信徒
[00:03:33.000 --> 00:03:36.000]  天主教在歷史裏面有沒有迫害信徒呢?
[00:03:36.000 --> 00:03:40.000]  天主教就是最初耶穌之後
[00:03:40.000 --> 00:03:43.000]  由門徒成立的宗教
[00:03:43.000 --> 00:03:46.000]  他們說彼得是第一任的教皇
[00:03:46.000 --> 00:03:48.000]  但其實他們六百年的時候
[00:03:48.000 --> 00:03:51.000]  才開始有教皇這個制度
[00:03:51.000 --> 00:03:55.000]  所以彼得被推上去做教皇
[00:03:55.000 --> 00:03:57.000]  他自己也不知道
[00:03:57.000 --> 00:04:02.000]  但你說使徒時代建立的教會的延伸
[00:04:02.000 --> 00:04:04.000]  就是天主教了
[00:04:04.000 --> 00:04:09.000]  不過天主教在幾百年之後就開始變質
[00:04:09.000 --> 00:04:13.000]  直到現在天主教在教義上
[00:04:13.000 --> 00:04:17.000]  加了很多不是聖經裏面的東西
[00:04:17.000 --> 00:04:20.000]  我給大家補充資料的第二頁
[00:04:20.000 --> 00:04:24.000]  上一次我也有讀了一部分出來
[00:04:24.000 --> 00:04:26.000]  但沒有全部讀出來
[00:04:26.000 --> 00:04:30.000]  但你可以看到這些是天主教現在教義裏
[00:04:30.000 --> 00:04:33.000]  何時開始有這些教義
[00:04:33.000 --> 00:04:35.000]  這些教義裏面沒有一樣
[00:04:35.000 --> 00:04:38.000]  你可以在聖經裏面找到出來
[00:04:38.000 --> 00:04:41.000]  但我首先想回到第一頁那裏
[00:04:41.000 --> 00:04:47.000]  是說到約翰見到這個異象
[00:04:47.000 --> 00:04:56.000]  見到巴比倫見到淫婦迫害教會的時候
[00:04:56.000 --> 00:04:58.000]  他覺得很稀奇
[00:04:58.000 --> 00:05:00.000]  我上次有說為甚麼稀奇呢?
[00:05:00.000 --> 00:05:03.000]  原來吳主光牧師在他的文章裏面
[00:05:03.000 --> 00:05:05.000]  也有這個見解
[00:05:05.000 --> 00:05:07.000]  是我跟他一樣的
[00:05:07.000 --> 00:05:10.000]  他見到有甚麼稀奇
[00:05:10.000 --> 00:05:15.000]  比教會迫害自己的信徒呢?
