
[00:00:00.000 --> 00:00:09.000]  其實今天要跟大家講的這篇道理都頗應節的
[00:00:09.000 --> 00:00:12.000]  是要跟大家講一個國度
[00:00:12.000 --> 00:00:14.000]  這個國度不是美國
[00:00:14.000 --> 00:00:17.000]  這個國度是千年的國度
[00:00:17.000 --> 00:00:19.000]  是千禧年國
[00:00:19.000 --> 00:00:21.000]  上一次跟大家講了
[00:00:21.000 --> 00:00:23.000]  人死了之後
[00:00:23.000 --> 00:00:25.000]  全部的歷程會是怎樣
[00:00:25.000 --> 00:00:28.000]  我講到有個地方叫做陰間
[00:00:28.000 --> 00:00:31.000]  陰間就是地獄在人間
[00:00:31.000 --> 00:00:35.000]  今天要跟大家講另外一半
[00:00:35.000 --> 00:00:37.000]  就是千禧年國
[00:00:37.000 --> 00:00:40.000]  千禧年國是天堂在人間
[00:00:40.000 --> 00:00:41.000]  很有趣
[00:00:41.000 --> 00:00:44.000]  在毀滅舊天地之前
[00:00:44.000 --> 00:00:46.000]  去到新天新地
[00:00:46.000 --> 00:00:53.000]  神給人有機會在人間經歷天堂和地獄
[00:00:53.000 --> 00:00:55.000]  陰間就是地獄在人間
[00:00:55.000 --> 00:00:58.000]  千禧年國就是天堂在人間
[00:00:58.000 --> 00:01:02.000]  所以今天要跟大家講的就是千禧年的國度
[00:01:02.000 --> 00:01:04.000]  究竟是怎樣
[00:01:04.000 --> 00:01:07.000]  一首很熟悉我們的詩歌
[00:01:07.000 --> 00:01:10.000]  在聖誕我們時時都會唱
[00:01:10.000 --> 00:01:12.000]  就是普世歡騰
[00:01:12.000 --> 00:01:17.000]  其實普世歡騰這首歌不是給聖誕節的
[00:01:17.000 --> 00:01:21.000]  普世歡騰這首歌是給千禧年國
[00:01:21.000 --> 00:01:24.000]  描述千禧年國裏面的情形
[00:01:24.000 --> 00:01:26.000]  你說為甚麼
[00:01:26.000 --> 00:01:29.000]  我們一起來看看第一節的詩歌
[00:01:29.000 --> 00:01:32.000]  普世歡騰救主下降
[00:01:32.000 --> 00:01:34.000]  大地接他君王
[00:01:34.000 --> 00:01:36.000]  這一節的詩歌大家就說
[00:01:36.000 --> 00:01:41.000]  還不是講聖誕耶穌基督的降臨
[00:01:41.000 --> 00:01:46.000]  是 但也可以是講耶穌基督第二次的降臨
[00:01:46.000 --> 00:01:49.000]  大地接他君王
[00:01:49.000 --> 00:01:53.000]  你看第二節普世歡騰主治萬邦
[00:01:53.000 --> 00:01:55.000]  在耶穌基督第一次的來臨
[00:01:55.000 --> 00:01:57.000]  他有沒有主治萬邦
[00:01:57.000 --> 00:01:59.000]  他沒有
[00:01:59.000 --> 00:02:01.000]  再看第三節
[00:02:01.000 --> 00:02:03.000]  罪惡憂愁不容在場
[00:02:03.000 --> 00:02:07.000]  世徒荊棘消亡化祖為恩
[00:02:07.000 --> 00:02:11.000]  無怨乏特到處主宅留長
[00:02:11.000 --> 00:02:14.000]  第一次耶穌基督來臨的時候
[00:02:14.000 --> 00:02:16.000]  有沒有荊棘全部消滅
[00:02:16.000 --> 00:02:19.000]  有沒有所有的奏座都逆轉了
[00:02:19.000 --> 00:02:20.000]  沒有
[00:02:20.000 --> 00:02:23.000]  沒有 講的是千禧年過
[00:02:23.000 --> 00:02:28.000]  等一會我們就會講這一切都在千禧年過會發生
[00:02:28.000 --> 00:02:30.000]  還有第四節
[00:02:30.000 --> 00:02:33.000]  主席真理恩治萬邦
[00:02:33.000 --> 00:02:35.000]  要使萬邦證明
[00:02:35.000 --> 00:02:38.000]  我主公義無限光榮
[00:02:38.000 --> 00:02:43.000]  這個在耶穌基督降臨第一次來臨有沒有發生
[00:02:43.000 --> 00:02:47.000]  他有沒有用他的真理來恩治萬邦
[00:02:47.000 --> 00:02:51.000]  他的公義有沒有得到無限的光榮
[00:02:51.000 --> 00:02:53.000]  都沒有
[00:02:53.000 --> 00:02:57.000]  這一切都要在千禧年過才發生
[00:02:57.000 --> 00:03:00.000]  所以這首詩歌並不是給聖誕
[00:03:00.000 --> 00:03:03.000]  這首歌所描述的是千禧年過
[00:03:03.000 --> 00:03:09.000]  講到聖誕也有一節很熟悉的經文
[00:03:09.000 --> 00:03:12.000]  就是天使對瑪利亞所說
[00:03:12.000 --> 00:03:14.000]  在路加福音的一章
[00:03:14.000 --> 00:03:17.000]  31至33節
[00:03:17.000 --> 00:03:18.000]  經文說
[00:03:18.000 --> 00:03:20.000]  「你要懷孕生子
[00:03:20.000 --> 00:03:22.000]  可以給他起名叫耶穌
[00:03:22.000 --> 00:03:26.000]  他要為大稱為至高者的兒子
[00:03:26.000 --> 00:03:30.000]  主神要把他祖大位的位給他
[00:03:30.000 --> 00:03:34.000]  他要作亞國家的王直到永遠
[00:03:34.000 --> 00:03:37.000]  他的國也沒有窮盡」
[00:03:37.000 --> 00:03:39.000]  我們看到這裡所說的是
[00:03:39.000 --> 00:03:43.000]  耶穌基督要承繼大位的王位
[00:03:43.000 --> 00:03:46.000]  要成為亞國家的王
[00:03:46.000 --> 00:03:47.000]  這裡所說的
[00:03:47.000 --> 00:03:49.000]  就是真真正正實實在在
[00:03:49.000 --> 00:03:54.000]  在千禧年國有一個以色列人的國
[00:03:54.000 --> 00:03:57.000]  這就是千禧年國
[00:03:57.000 --> 00:04:02.000]  千禧年這個字原文的希臘文就是一千年
[00:04:02.000 --> 00:04:06.000]  我們知道我們英文的millennium這個字
[00:04:06.000 --> 00:04:09.000]  是由拉丁文變成的
[00:04:09.000 --> 00:04:12.000]  是由兩個部分形成
[00:04:12.000 --> 00:04:14.000]  一就是一千
[00:04:14.000 --> 00:04:16.000]  ennum就是年
[00:04:16.000 --> 00:04:20.000]  所以兩樣加在一起就是一千年
[00:04:20.000 --> 00:04:26.000]  我們看到這一千年的經文
[00:04:26.000 --> 00:04:30.000]  頻頻在啟示錄的第20章出現
[00:04:30.000 --> 00:04:35.000]  在啟示錄的20章二節第一次出現
[00:04:35.000 --> 00:04:38.000]  說撒旦會被捆綁一千年
[00:04:38.000 --> 00:04:42.000]  第三節說一千年後撒旦會被釋放
[00:04:42.000 --> 00:04:46.000]  第四節又說所有的基督徒
[00:04:46.000 --> 00:04:50.000]  所有的信徒都會和基督一同作王一千年
[00:04:50.000 --> 00:04:53.000]  然後第五節就說到
[00:04:53.000 --> 00:04:57.000]  異人和不異人復活是分開兩批
[00:04:57.000 --> 00:05:01.000]  一千年國就是間開兩個復活
[00:05:01.000 --> 00:05:05.000]  一千年之前的復活是給所有接受耶穌基督
[00:05:05.000 --> 00:05:07.000]  是接受神的人
[00:05:07.000 --> 00:05:11.000]  一千年之後是給所有不接受神的人
[00:05:11.000 --> 00:05:13.000]  所以是分開了
[00:05:13.000 --> 00:05:15.000]  第六節又一次說
[00:05:15.000 --> 00:05:19.000]  第一次復活的就是所有接受神的人
[00:05:19.000 --> 00:05:23.000]  都要和基督一同作王一千年
[00:05:23.000 --> 00:05:25.000]  如果你留意經文的話
[00:05:25.000 --> 00:05:31.000]  這一節的經文和第四節有一個結構
[00:05:31.000 --> 00:05:35.000]  我們看到兩個都是說到
[00:05:35.000 --> 00:05:39.000]  接受神的人會和耶穌基督一同掌權一千年
[00:05:39.000 --> 00:05:41.000]  然後第七節就說
[00:05:41.000 --> 00:05:47.000]  一千年完了撒旦必從監牢裡被釋放出來
[00:05:47.000 --> 00:05:51.000]  這一節的經文又和第三節有一個結構
[00:05:51.000 --> 00:05:54.000]  最重要的那一節經文是甚麼呢?
[00:05:54.000 --> 00:05:56.000]  說到兩次的復活
[00:05:56.000 --> 00:05:59.000]  就是異人和不異人復活
[00:05:59.000 --> 00:06:00.000]  就是第五節
[00:06:00.000 --> 00:06:06.000]  一千年隔開了屬神的人和不屬神的人的復活
[00:06:06.000 --> 00:06:08.000]  有人會說
[00:06:08.000 --> 00:06:12.000]  全部說到一千年的經文都是在啟示錄的二十章
[00:06:12.000 --> 00:06:16.000]  有沒有其他的經文是說到千禧年的國度?
[00:06:16.000 --> 00:06:18.000]  當然有
[00:06:18.000 --> 00:06:21.000]  聖經裡有很多很多的經文
[00:06:21.000 --> 00:06:22.000]  無論是舊約的
[00:06:22.000 --> 00:06:25.000]  無論是新約有關千禧年國
[00:06:25.000 --> 00:06:31.000]  千禧年國是在聖經裡最詳細的語言
[00:06:31.000 --> 00:06:33.000]  等下會和大家看這些經文
[00:06:33.000 --> 00:06:36.000]  但也有人會說
[00:06:36.000 --> 00:06:39.000]  實實在在說到一千年的
[00:06:39.000 --> 00:06:41.000]  只有啟示錄二十章
[00:06:41.000 --> 00:06:44.000]  如果真的這麼重要的話
[00:06:44.000 --> 00:06:47.000]  應該會重複出現在聖經裡
[00:06:47.000 --> 00:06:51.000]  為甚麼只是在啟示錄的二十章裡說?
[00:06:51.000 --> 00:06:55.000]  這段我以前也有和大家說過
[00:06:55.000 --> 00:07:01.000]  在彼得後書和啟示錄有很多相似的地方
[00:07:01.000 --> 00:07:05.000]  在彼得後書的三章四至七節
[00:07:05.000 --> 00:07:08.000]  是說到耶穌基督回來審判列國
[00:07:08.000 --> 00:07:11.000]  這就是啟示錄的第十九章
[00:07:11.000 --> 00:07:15.000]  耶穌基督騎著白馬回來戰勝列國
[00:07:15.000 --> 00:07:16.000]  一模一樣
[00:07:16.000 --> 00:07:20.000]  在彼得後書的三章十至十三節
[00:07:20.000 --> 00:07:23.000]  又說到舊天地的過去
[00:07:23.000 --> 00:07:25.000]  新天新地的創造
[00:07:25.000 --> 00:07:30.000]  這就是啟示錄的二十一章和二十二章
[00:07:30.000 --> 00:07:33.000]  深水清的弟兄姊妹一看就知道
[00:07:33.000 --> 00:07:35.000]  我是跳了兩節的經文
[00:07:35.000 --> 00:07:38.000]  就是彼得後書的三章八至九節
[00:07:38.000 --> 00:07:41.000]  和啟示錄的二十章
[00:07:41.000 --> 00:07:43.000]  剛才說過了
