
[00:00:00.000 --> 00:00:02.000]  今天我們來到最後的一講
[00:00:02.000 --> 00:00:04.500]  是加勒太書的第六章
[00:00:04.500 --> 00:00:07.000]  第十七至到第十八節
[00:00:07.000 --> 00:00:09.000]  今天的講題是
[00:00:09.000 --> 00:00:12.000]  誰明白目者的心
[00:00:12.000 --> 00:00:15.000]  今天我們會只看兩字的經文
[00:00:15.000 --> 00:00:18.000]  或者讓我們先回到這兩字的經文
[00:00:18.000 --> 00:00:19.000]  讀一次先
[00:00:19.000 --> 00:00:22.000]  看看這兩字的經文說什麼給我們知道
[00:00:22.000 --> 00:00:26.000]  我們會先一起去讀和合本的中文版本
[00:00:26.000 --> 00:00:28.000]  如果你是有中文的朋友
[00:00:28.000 --> 00:00:30.000]  如果你是有中文聖經的話
[00:00:30.000 --> 00:00:32.000]  也可以跟我一起去讀
[00:00:32.000 --> 00:00:36.000]  你可以以普通話或者廣東話一起讀
[00:00:36.000 --> 00:00:39.000]  加勒太書第六章十七十八節
[00:00:39.000 --> 00:00:44.000]  從今以後人都不要搞擾我
[00:00:44.000 --> 00:00:49.000]  因為我身上帶著耶穌的印記
[00:00:49.000 --> 00:00:53.000]  弟兄們願我主耶穌基督的恩
[00:00:53.000 --> 00:00:55.000]  常在你們心裡
[00:00:55.000 --> 00:00:56.000]  阿們
[00:00:56.000 --> 00:01:01.000]  雖然我目會的目會會靈不是很長
[00:01:01.000 --> 00:01:03.000]  但是作為一個目者
[00:01:03.000 --> 00:01:07.000]  在教會這二十多年的裡面
[00:01:07.000 --> 00:01:10.000]  我看見能夠真正明白到目者
[00:01:10.000 --> 00:01:12.000]  他那份深長的信徒
[00:01:12.000 --> 00:01:16.000]  其實不是很多信徒有這個了解
[00:01:16.000 --> 00:01:18.000]  話雖如此
[00:01:18.000 --> 00:01:21.000]  但我自己也是身為一個信徒
[00:01:21.000 --> 00:01:25.000]  曾經試過從一個信徒的角度
[00:01:25.000 --> 00:01:29.000]  去了解到我的目者他的深長
[00:01:29.000 --> 00:01:32.000]  我就發現了一個事實
[00:01:32.000 --> 00:01:34.000]  原來當我們能夠去明白
[00:01:34.000 --> 00:01:36.000]  一位的目者他的深長
[00:01:36.000 --> 00:01:40.000]  他怎樣真正能夠得到神的委託
[00:01:40.000 --> 00:01:42.000]  成為我們的目者之後
[00:01:42.000 --> 00:01:47.000]  原來最後靈性得到最大造就的
[00:01:47.000 --> 00:01:49.000]  竟然是我們自己
[00:01:49.000 --> 00:01:52.000]  最近我就認識到一位的目者
[00:01:52.000 --> 00:01:56.000]  甚至可以說是透過他的神學教導
[00:01:56.000 --> 00:02:00.000]  給了我很大的栽培
[00:02:00.000 --> 00:02:03.000]  他的名字叫Stanley Toussaint
[00:02:03.000 --> 00:02:08.000]  是一位在Dallas Theological Seminary
[00:02:08.000 --> 00:02:11.000]  即達拉斯神學院
[00:02:11.000 --> 00:02:14.000]  他在2017年的時候已經去世了
[00:02:14.000 --> 00:02:20.000]  但是透過他在網絡上流下來的教導
[00:02:20.000 --> 00:02:23.000]  以及他在作為一個目者的
[00:02:23.000 --> 00:02:26.000]  牧養過程的教導裡面
[00:02:26.000 --> 00:02:30.000]  對我真是有很大的比喻
[00:02:30.000 --> 00:02:33.000]  也都在這個學習的過程裡面
[00:02:33.000 --> 00:02:36.000]  透過我對他更深的了解
[00:02:36.000 --> 00:02:40.000]  對他在牧養教會上的關懷
[00:02:40.000 --> 00:02:42.000]  讓我去感受到
[00:02:42.000 --> 00:02:44.000]  原來我們的主耶穌基督
[00:02:44.000 --> 00:02:46.000]  甚至我們的父神
[00:02:46.000 --> 00:02:51.000]  其實是多麼關懷我們每一個屬於他的子民
[00:02:51.000 --> 00:02:53.000]  今天我們會來到
[00:02:53.000 --> 00:02:57.000]  加拉太書的主日講道的最後一課
[00:02:57.000 --> 00:02:58.000]  我們會一起去看看
[00:02:58.000 --> 00:03:03.000]  加拉太書第六章第17至18節當中
[00:03:03.000 --> 00:03:05.000]  透過這兩節的經文
[00:03:05.000 --> 00:03:07.000]  我們去嘗試了解
[00:03:07.000 --> 00:03:11.000]  保羅對教會那份的愛護的心腸
[00:03:11.000 --> 00:03:13.000]  從而鼓勵到我們
[00:03:13.000 --> 00:03:15.000]  如何更加去明白到
[00:03:15.000 --> 00:03:21.000]  上帝及耶穌基督那份對我們關懷的心
[00:03:21.000 --> 00:03:24.000]  我相信在這個理解過程裡面
[00:03:24.000 --> 00:03:26.000]  最後最大的得益者
[00:03:26.000 --> 00:03:29.000]  仍然是我們每一個屬主的子民
[00:03:29.000 --> 00:03:34.000]  願意去細心掌握神教導啟示的人
[00:03:34.000 --> 00:03:37.000]  讓我們回去看看這段經文講什麼
[00:03:37.000 --> 00:03:41.000]  我們先看第六章第17節
[00:03:41.000 --> 00:03:45.000]  第六章第17節只是說一個重要的題目
[00:03:45.000 --> 00:03:49.000]  就是牧養本來不是一件開玩笑的事情
[00:03:49.000 --> 00:03:51.000]  但在之前的講道裡面
[00:03:51.000 --> 00:03:53.000]  我曾經提過
[00:03:53.000 --> 00:03:58.000]  有不少的信徒曾經在教會裡面受過傷害
[00:03:58.000 --> 00:04:02.000]  其中一個最大的主要原因之一就是
[00:04:02.000 --> 00:04:05.000]  原來有很多玩玩的牧者
[00:04:05.000 --> 00:04:10.000]  在教會當中用很多的方式去玩弄信徒
[00:04:10.000 --> 00:04:13.000]  在我個人的認識裡面
[00:04:13.000 --> 00:04:17.000]  其實這樣的牧者人數也不少
[00:04:17.000 --> 00:04:20.000]  他們得以走進教會裡面
[00:04:20.000 --> 00:04:24.000]  所謂來參與侍奉
[00:04:24.000 --> 00:04:28.000]  其實部分可能是因為他們在這個世界裡
[00:04:28.000 --> 00:04:30.000]  真的做不來
[00:04:30.000 --> 00:04:34.000]  財能不能夠勝任他們想做的事情
[00:04:34.000 --> 00:04:39.000]  於是決定走回教會裡面
[00:04:39.000 --> 00:04:43.000]  希望在教會裡面混一些油水
[00:04:43.000 --> 00:04:51.000]  我曾經記得有一次去參加一個大型的教會宣教的聚會
[00:04:51.000 --> 00:04:56.000]  這個宣教聚會是包括了加拿大所有的教會裡面
[00:04:56.000 --> 00:05:00.000]  談論到怎麼去做宣教的事情
[00:05:00.000 --> 00:05:05.000]  在一次的大型的教會公開聚會裡面
[00:05:05.000 --> 00:05:12.000]  突然間在分享講完的過程中
[00:05:12.000 --> 00:05:15.000]  有一個牧者突然走出來
[00:05:15.000 --> 00:05:18.000]  當場拿了咪高峰
[00:05:18.000 --> 00:05:21.000]  然後在眾人面前發表了一輪
[00:05:21.000 --> 00:05:25.000]  很大他自己對宣教的偉論
[00:05:25.000 --> 00:05:27.000]  為什麼他要這樣做呢?
