
[00:00:00.000 --> 00:00:05.000]  (廣東話) 各位大兄姊妹,早晨!
[00:00:05.000 --> 00:00:12.000]  你看到我現在的狀態,都有很多問題。
[00:00:12.000 --> 00:00:20.000]  謝謝大兄姊妹關心,上星期雖然下雪,我們要繼續崇拜,
[00:00:20.000 --> 00:00:28.000]  不過在前一晚為了預備今天,即是預備星期天回去教會崇拜,
[00:00:28.000 --> 00:00:37.000]  車上沒有水,我爬上小角,車房在上面梯子斷了,掉下來。
[00:00:37.000 --> 00:00:46.000]  感謝主,那梯子是鐵的,整條鐵片沒有插進去,腳已經很殘了。
[00:00:46.000 --> 00:00:56.000]  右邊身受傷比較嚴重,大腿現在好多了,瘀傷很嚴重。
[00:00:56.000 --> 00:01:07.000]  感謝大兄姊妹關心,聲音變成這樣,因為昨晚半夜2點就呼吸不到,窒息。
[00:01:07.000 --> 00:01:13.000]  然後變成這樣,現在好一點了。
[00:01:13.000 --> 00:01:18.000]  我今早已經很努力了,早點起床,反正都睡不著,
[00:01:18.000 --> 00:01:27.000]  打算起一起這台車,下去走走track view,看看能不能起這台車。
[00:01:27.000 --> 00:01:36.000]  好像不是很能起,不過由聲音開始起,我唱不到歌,真的有點虧欠。
[00:01:36.000 --> 00:01:43.000]  不過不要緊,上帝知道我們是怎樣侍奉祂的,你們都怎樣追求主。
[00:01:43.000 --> 00:01:51.000]  祂有個星期,我很感恩這件事,好多大兄姊妹因為主一學,就來找我。
[00:01:51.000 --> 00:02:01.000]  在網上也有很多回應,有關於不按女牧師,不清女傳道。
[00:02:01.000 --> 00:02:10.000]  雖然大家意見可以不同,但希望你和上帝的說話沒有分離。
[00:02:10.000 --> 00:02:18.000]  到時上帝會處理答案,我只是將聖經內容說給大家聽,
[00:02:18.000 --> 00:02:24.000]  不過有很好的溝通,我覺得聖經任你問,
[00:02:24.000 --> 00:02:34.000]  這主一學課程是最好的,比我多年來寫的更好。
[00:02:34.000 --> 00:02:40.000]  讓我們在聆聽主的說話中一起同心抵抗禱告。
[00:02:40.000 --> 00:02:50.000]  父神多謝祢讓我們能夠再次回到祢的啟示當中學習,求祢的幫助。
[00:02:50.000 --> 00:02:56.000]  從今天我們會開始看你僕人保羅在新約聖經內,
[00:02:56.000 --> 00:03:07.000]  致信給哥羅西教會,讓我們在書信裡能夠更掌握一個成熟的生命,
[00:03:07.000 --> 00:03:10.000]  屬神的子民應是怎樣的。
[00:03:10.000 --> 00:03:16.000]  讓我們能夠體貼,侍奉的真正動機,
[00:03:16.000 --> 00:03:27.000]  而不是像今天的教會不少人侍奉,只是為滿足自己宗教的情慾,
