
[00:00:00.000 --> 00:00:12.000]  提出一些觀點、討論,跟上半可能有些不同的了
[00:00:12.000 --> 00:00:20.000]  我希望,我好像很沉迷地說完又說,但是我希望任何人
[00:00:20.000 --> 00:00:25.000]  我們基督徒明白,有其他宗教的朋友,我希望你明白
[00:00:25.000 --> 00:00:31.000]  基督徒更加知道,我對自己的信仰,我們對教會,對基督教的信仰
[00:00:31.000 --> 00:00:37.000]  都是很批判性的,所以我勉不了,當我說的時候
[00:00:37.000 --> 00:00:42.000]  我是要提出很多的疑問,很多質問,我只是告訴大家
[00:00:42.000 --> 00:00:47.000]  我每一個,我想大家聽的時候,heart to heart, mind to mind
[00:00:47.000 --> 00:00:55.000]  當我說一個信仰跟你是不同的,或者是挑戰你的信仰裡面某一件事的時候
[00:00:55.000 --> 00:01:00.000]  當然是不開心的,當然是會有即時的反應的
[00:01:00.000 --> 00:01:04.000]  但我希望大家,我不一定要說服你,但我希望大家用心來聽
[00:01:04.000 --> 00:01:10.000]  正如我也很想你聽,我相信我自己,我曾經用過靈修的方式
[00:01:10.000 --> 00:01:15.000]  一直看《望門經》,靈修的方式,一路逐句逐句來看《古蘭經》
[00:01:15.000 --> 00:01:19.000]  我也相信我有這樣的能力和空襟去欣賞別人
[00:01:19.000 --> 00:01:24.000]  我記得好幾年前,我自己看《佛經》的時候,看到《宣無教聖經》
[00:01:24.000 --> 00:01:31.000]  大家可能比較多聽的就是《唯摩經》,裡面說到文殊問疾
[00:01:31.000 --> 00:01:38.000]  唯摩居士說病了,佛祖派這個文殊菩薩去探望他,問他為什麼會病
[00:01:38.000 --> 00:01:47.000]  唯摩說,有情既病,我即除病,有情既癒,我亦除癒
[00:01:47.000 --> 00:01:53.000]  就是說世間的人,他們浮沉,他們痛苦,他們病,我就會病
[00:01:53.000 --> 00:01:58.000]  當世間的人的病好了,我就會康復,所以我病了
[00:01:58.000 --> 00:02:01.000]  我看了這段的時候,我記得流出我的眼淚,我也很感動
[00:02:01.000 --> 00:02:04.000]  這個和我信仰完全不同,坦白說
[00:02:04.000 --> 00:02:12.000]  但我覺得我可以欣賞,我希望今晚可以用一個欣賞,但我亦可以用相當尖銳的角度去看
[00:02:12.000 --> 00:02:14.000]  接著我們要討論的問題
[00:02:14.000 --> 00:02:17.000]  好,我們開始了
[00:02:17.000 --> 00:02:22.000]  首先我們從深度這一點來看,好嗎?深度
[00:02:22.000 --> 00:02:25.000]  深度我列了兩樣東西,剛才說
[00:02:25.000 --> 00:02:29.000]  第一,它有多少個深度,這本書
[00:02:29.000 --> 00:02:36.000]  第二,它這個深度如果是來自神的話,對人性有一種無窮的指引
[00:02:36.000 --> 00:02:41.000]  意思就是說,你越體會它,越讀下去,越有深刻的理解
[00:02:41.000 --> 00:02:47.000]  越來越共鳴,它對人性有很深的指引
[00:02:47.000 --> 00:02:49.000]  這種我們說來是深度
[00:02:49.000 --> 00:02:53.000]  當我將這三個經典來比對的時候
[00:02:53.000 --> 00:02:59.000]  我不說太多基督教那方面,基督教的深度
[00:02:59.000 --> 00:03:04.000]  我是指你在看聖經的時候,你不同年紀,我相信耶穌三十年
[00:03:04.000 --> 00:03:10.000]  看聖經的時候,你越看,我不是故意要讀下去,大家很多人都聽我說道
[00:03:10.000 --> 00:03:12.000]  是聖經裏面的東西,但精彩的
[00:03:12.000 --> 00:03:15.000]  聖經裏面說到愛仇敵,饒恕這些
[00:03:15.000 --> 00:03:19.000]  每過一年,每過一段日子,每多一個經驗人生的體會
[00:03:19.000 --> 00:03:23.000]  就更加明白它裏面的東西越來越深刻的
[00:03:23.000 --> 00:03:26.000]  是和我十幾二十年前看又不同的
[00:03:26.000 --> 00:03:30.000]  所以我可以告訴大家,我講了超過五千篇道
[00:03:30.000 --> 00:03:33.000]  最後大部分都是從聖經的發現而來的
[00:03:33.000 --> 00:03:36.000]  這個就是我認為聖經的深度在這裏
[00:03:36.000 --> 00:03:41.000]  好像聖經裏面的若白記對於苦難的理解
[00:03:41.000 --> 00:03:46.000]  我太太過世之後,十年之後我才敢公開講我講座
[00:03:46.000 --> 00:03:48.000]  講若白記人生的際遇,苦難
[00:03:48.000 --> 00:03:53.000]  我在那十年裏面體會了很多人生的痛楚和掙扎
[00:03:53.000 --> 00:03:56.000]  然後再看若白記發現精彩,越來越精彩
[00:03:56.000 --> 00:04:00.000]  就是有一種無窮探索的力量,這個經典就不簡單
[00:04:00.000 --> 00:04:03.000]  如果你表面膚淺,看了一次之後
[00:04:03.000 --> 00:04:07.000]  那五年之後人生豐富了再看,原來這麼簡單
[00:04:07.000 --> 00:04:10.000]  沒這麼簡單的做人,你就不是一個好的經典
[00:04:10.000 --> 00:04:17.000]  大家明白嗎?這個我所謂的對經典的深刻要求了解
[00:04:17.000 --> 00:04:24.000]  那我就,好了,開始了,講其他宗教了
[00:04:24.000 --> 00:04:31.000]  我先講古蘭經,古蘭經我一直看的時候
[00:04:31.000 --> 00:04:35.000]  我講我自己靈修的體會,我一直看的時候
[00:04:35.000 --> 00:04:40.000]  我感覺到古蘭經有相當深刻的人生的底線
[00:04:40.000 --> 00:04:46.000]  這個無可否認,我自己看完之後
[00:04:46.000 --> 00:04:51.000]  起碼對毛海默德這位人士有一個相當的敬佩
[00:04:51.000 --> 00:04:55.000]  我不想其他人好像有些基督徒這樣說
[00:04:55.000 --> 00:04:58.000]  毛海默德有很多個老婆那些東西
[00:04:58.000 --> 00:05:01.000]  如果你看回他當時的文化背景
[00:05:01.000 --> 00:05:07.000]  他對婚姻的尊重和操守已經高過當時的文化
[00:05:07.000 --> 00:05:11.000]  對於當時的文化是一個改革,這個無可否認
[00:05:11.000 --> 00:05:14.000]  還有裏面有很多很深刻的體會
[00:05:14.000 --> 00:05:18.000]  譬如說醉酒和賭錢
[00:05:18.000 --> 00:05:22.000]  醉酒和賭錢在二章二一219節所說
