
[00:00:00.000 --> 00:00:06.760]  各位早晨 很高興又來到崇基的禮拜堂
[00:00:06.760 --> 00:00:10.340]  和大家一起度過一個主日
[00:00:10.340 --> 00:00:12.740]  其實我不知道你來到這裡的時候
[00:00:12.740 --> 00:00:15.000]  你的感覺是怎樣的呢?
[00:00:15.000 --> 00:00:17.880]  我就都挺喜歡這個禮拜堂
[00:00:17.880 --> 00:00:22.020]  因為在香港已經不多的禮拜堂
[00:00:22.020 --> 00:00:26.980]  是有這麼高的樓底 真是有風琴
[00:00:26.980 --> 00:00:32.160]  我特別喜歡的是開始的時候拉開那個幕
[00:00:32.160 --> 00:00:36.400]  隨隨的看到一個十字架
[00:00:36.400 --> 00:00:41.040]  掛在藍色的天空的前面 很有氣氛
[00:00:41.040 --> 00:00:43.040]  今天打開了那個簾之後
[00:00:43.040 --> 00:00:45.740]  還看到有一間醫院在建造
[00:00:45.740 --> 00:00:48.740]  就更加有氣氛
[00:00:48.740 --> 00:00:52.240]  有些人說禮拜堂這裡很悶的
[00:00:52.240 --> 00:00:57.240]  唱一些聖公會100年前的詩
[00:00:57.240 --> 00:00:59.240]  你都知道剛才我們唱的那些歌
[00:00:59.240 --> 00:01:02.240]  一定比你和我加上一些重要的老
[00:01:02.240 --> 00:01:04.740]  那些詩歌是百多年前的
[00:01:04.740 --> 00:01:09.240]  但我都喜歡這種很寧靜
[00:01:09.240 --> 00:01:14.240]  好像將我們的靈魂洗乾淨的詩歌
[00:01:14.240 --> 00:01:18.240]  如果你有機會去到英國一些大學的教堂
[00:01:18.240 --> 00:01:20.240]  特別是建築的教堂
[00:01:20.240 --> 00:01:22.240]  特別是劍橋、牛津
[00:01:22.240 --> 00:01:24.240]  你會發覺那些禮拜堂
[00:01:24.240 --> 00:01:29.240]  當然裡面的裝飾比這裡更加的輝煌
[00:01:29.240 --> 00:01:31.240]  但是它更加吸引我的地方就是
[00:01:31.240 --> 00:01:36.240]  有一班好像天使那樣的小朋友
[00:01:36.240 --> 00:01:42.240]  用很溫柔的聲音唱出剛才那些的詩歌
[00:01:42.240 --> 00:01:46.240]  給你一種心靈潔淨的感覺
[00:01:46.240 --> 00:01:51.240]  我相信這裡都可以有這樣的共鳴
[00:01:51.240 --> 00:01:58.240]  其實在我2010年任校長之後
[00:01:58.240 --> 00:02:00.240]  伍牧師就和我說
[00:02:00.240 --> 00:02:04.240]  他說根據中文大學的傳統
[00:02:04.240 --> 00:02:09.240]  校長是每年都會來崇基的崇拜講道
[00:02:09.240 --> 00:02:11.240]  那時候我又真的相信他
[00:02:11.240 --> 00:02:16.240]  其實原來是沒有這樣的事的
[00:02:16.240 --> 00:02:18.240]  但是由那時候開始
[00:02:18.240 --> 00:02:21.240]  我真的每一年的開學的一個月
[00:02:21.240 --> 00:02:24.240]  都會來崇基去講一次
[00:02:24.240 --> 00:02:26.240]  但是今天是特別開心
[00:02:26.240 --> 00:02:29.240]  因為我做完了校長了
[00:02:29.240 --> 00:02:32.240]  我在一月開始卸任之後
[00:02:32.240 --> 00:02:34.240]  今天是第一天來到
[00:02:34.240 --> 00:02:38.240]  我在這裡是很希望用幾段的聖經
[00:02:38.240 --> 00:02:41.240]  來和大家分享一下
[00:02:41.240 --> 00:02:45.240]  在過去的七年半至八年
[00:02:45.240 --> 00:02:48.240]  我的心路歷程和上帝
[00:02:48.240 --> 00:02:52.240]  怎樣帶領我經過這一段日子
[00:02:52.240 --> 00:02:55.240]  你都可能會猜到我想講什麼的了
[00:02:55.240 --> 00:02:59.240]  你選了約書亞記說要剛強壯膽
[00:02:59.240 --> 00:03:02.240]  那就是做校長是很可怕的
[00:03:02.240 --> 00:03:05.240]  所以你要剛強壯膽
[00:03:05.240 --> 00:03:08.240]  其實用不著害怕
[00:03:08.240 --> 00:03:11.240]  有什麼恐怖有什麼困難呢
[00:03:11.240 --> 00:03:15.240]  只不過是一間學校的校長
[00:03:15.240 --> 00:03:17.240]  我想告訴你
[00:03:17.240 --> 00:03:20.240]  其實我一開始都以為
[00:03:20.240 --> 00:03:22.240]  很多事我都不怕的
[00:03:22.240 --> 00:03:25.240]  譬如我見到血淋淋的東西我不怕的
[00:03:25.240 --> 00:03:27.240]  我做一些胃鏡插了一支鏡子
[00:03:27.240 --> 00:03:30.240]  去別人的胃那裡噴血
[00:03:30.240 --> 00:03:33.240]  好像噴泉那樣
[00:03:33.240 --> 00:03:35.240]  我都不怕的
[00:03:35.240 --> 00:03:38.240]  我見過撞車撞到散了
[00:03:38.240 --> 00:03:41.240]  進來急症室我們幫他急救
[00:03:41.240 --> 00:03:43.240]  我都不怕的
[00:03:43.240 --> 00:03:46.240]  2003年SARS來到香港
[00:03:46.240 --> 00:03:48.240]  很多人都病
[00:03:48.240 --> 00:03:50.240]  自己都不知道自己有沒有事
[00:03:50.240 --> 00:03:52.240]  我都不覺得很怕的
[00:03:52.240 --> 00:03:55.240]  不過那些的不怕
[00:03:55.240 --> 00:03:59.240]  和面對一間大學
[00:03:59.240 --> 00:04:04.240]  面對一個在轉變之中的社會
[00:04:04.240 --> 00:04:08.240]  特別是一個有少許動盪之中的香港社會
[00:04:08.240 --> 00:04:11.240]  那種挑戰是完全不同的
[00:04:11.240 --> 00:04:15.240]  所以我今天會用三段約書亞記的聖經
[00:04:15.240 --> 00:04:20.240]  和大家講一下我三個階段的體會和我的心情
[00:04:20.240 --> 00:04:24.240]  第一段當然就是約書亞記第一章
[00:04:24.240 --> 00:04:27.240]  剛才都有提到的那一段聖經
[00:04:27.240 --> 00:04:31.240]  或者我用中文讀一點給大家聽
[00:04:31.240 --> 00:04:36.240]  但我更加想用Eugene Peterson的英文譯本
[00:04:36.240 --> 00:04:40.240]  The Message裡面的譯本讀給大家聽
[00:04:40.240 --> 00:04:42.240]  因為裡面有幾個字眼
[00:04:42.240 --> 00:04:47.240]  是很能夠捕捉到我今天想講的信息
[00:04:47.240 --> 00:04:49.240]  約書亞記第一章是這樣說
[00:04:49.240 --> 00:04:53.240]  他說耶和華的僕人摩西死了之後
[00:04:53.240 --> 00:04:59.240]  耶和華曉遇摩西的幫手亂記兒子約書亞對他這樣說
[00:04:59.240 --> 00:05:04.240]  我的僕人摩西死了
[00:05:04.240 --> 00:05:09.240]  我將他應許他的話都告訴你
[00:05:09.240 --> 00:05:14.240]  現在你要起來和眾百姓經過這個約旦河
[00:05:14.240 --> 00:05:18.240]  住我所要賜給以色列人的地
[00:05:18.240 --> 00:05:21.240]  凡你腳掌所踏之地
[00:05:21.240 --> 00:05:27.240]  我都照著我被摩西的應許來賜給你
