
[00:00:00.000 --> 00:00:06.840]  這幾次我們都在查《但義理書》
[00:00:06.840 --> 00:00:10.080]  《但義理書》是聖經裡面一本很特別的書
[00:00:10.080 --> 00:00:13.600]  我們不單止是看但義理這個人
[00:00:13.600 --> 00:00:16.120]  有些什麼東西是值得我們學習的
[00:00:16.120 --> 00:00:20.000]  但義理書也是一本充滿了預言的書
[00:00:20.000 --> 00:00:24.480]  預言就是神將來未發生的事情
[00:00:24.480 --> 00:00:28.560]  是透過他的僕人寫下來告訴我們
[00:00:28.560 --> 00:00:31.720]  世界將會前面有什麼事情發生
[00:00:31.720 --> 00:00:37.720]  所以但義理書的預言是一直講到世界的終結
[00:00:37.720 --> 00:00:42.000]  但義理書的時間是什麼時候呢?
[00:00:42.000 --> 00:00:45.280]  是主耶穌來之前大概六百年
[00:00:45.280 --> 00:00:49.760]  即是距離現在已經是兩千六百多年了
[00:00:49.760 --> 00:00:51.760]  地點在哪裡呢?
[00:00:51.760 --> 00:00:54.480]  但義理書一開始的時候是記載
[00:00:54.480 --> 00:00:59.120]  但義理是在以色列的猶大國
[00:00:59.120 --> 00:01:00.720]  即是南國
[00:01:00.720 --> 00:01:02.720]  當然在今天以色列的地方
[00:01:02.720 --> 00:01:04.120]  在迦南地
[00:01:04.120 --> 00:01:08.800]  但是很快地地點就轉了去他的東邊
[00:01:08.800 --> 00:01:13.400]  今天以色列大概五百多六百里左右
[00:01:13.400 --> 00:01:17.600]  差不多是這裡下去羅省的車程
[00:01:17.600 --> 00:01:18.840]  五百多里
[00:01:18.840 --> 00:01:22.160]  是去到今天伊拉克的地方
[00:01:22.160 --> 00:01:26.120]  但義理為什麼會由猶大國在以色列
[00:01:26.120 --> 00:01:28.480]  去到伊拉克的地方呢?
[00:01:28.480 --> 00:01:30.080]  不是他自願的
[00:01:30.080 --> 00:01:36.040]  是當時南國被外族入侵
[00:01:36.040 --> 00:01:37.640]  被巴比倫入侵
[00:01:37.640 --> 00:01:40.080]  分三次入侵
[00:01:40.080 --> 00:01:42.080]  擄掠了那裡的人
[00:01:42.080 --> 00:01:44.080]  所以他是作為一個亡國奴
[00:01:44.080 --> 00:01:45.840]  作為一個俘虜的身份
[00:01:45.840 --> 00:01:48.480]  是被帶到巴比倫那裡
[00:01:48.480 --> 00:01:51.680]  不是像我們今天來美國讀書是自願的
[00:01:51.680 --> 00:01:53.360]  是自願的
[00:01:53.360 --> 00:01:55.520]  他是一個亡國奴的身份
[00:01:55.520 --> 00:01:58.320]  被帶到異國的地方
[00:01:58.320 --> 00:02:02.640]  那個地方的風俗是完全和猶大地不同
[00:02:02.640 --> 00:02:04.160]  他們是拜假神
[00:02:04.160 --> 00:02:05.840]  他們是外邦人
[00:02:05.840 --> 00:02:07.360]  言語又不同
[00:02:07.360 --> 00:02:08.640]  信仰又不同
[00:02:08.640 --> 00:02:10.640]  生活習慣都不同
[00:02:10.640 --> 00:02:11.840]  人物是什麼呢?
[00:02:11.840 --> 00:02:12.480]  但義理
[00:02:12.480 --> 00:02:14.320]  當然是但義理
[00:02:14.320 --> 00:02:17.400]  但義理在但義理書出現的時候
[00:02:17.400 --> 00:02:19.000]  只是十幾歲
[00:02:19.120 --> 00:02:22.760]  即是他被逼去到巴比倫異地的時候
[00:02:22.760 --> 00:02:23.560]  他只有十幾歲
[00:02:23.560 --> 00:02:26.520]  比我們當中年輕人還要年輕
[00:02:26.520 --> 00:02:33.160]  他開始的時候是很坎坷的開始
[00:02:33.160 --> 00:02:35.160]  去到異地
[00:02:35.160 --> 00:02:38.640]  然後他們用一些同化的手段
