
[00:00:00.000 --> 00:00:02.800]  各位大英姐妹平安
[00:00:02.800 --> 00:00:06.600]  今天的題目不知道大家有什麼感覺
[00:00:06.600 --> 00:00:10.520]  你們也要走嗎?
[00:00:10.520 --> 00:00:13.920]  你們是不是也要走呢?
[00:00:13.920 --> 00:00:22.400]  這句話是耶穌自己和他親自選擇的12個門徒所說的
[00:00:22.400 --> 00:00:26.680]  為什麼一個這麼眷顧人的耶穌
[00:00:26.680 --> 00:00:30.360]  為什麼行過神跡的耶穌
[00:00:30.360 --> 00:00:37.120]  竟然到最後幾乎全部人都離開了
[00:00:37.120 --> 00:00:40.200]  今天的道理可能比較沉重
[00:00:40.200 --> 00:00:44.520]  沉重的原因是我們要嘗試了解
[00:00:44.520 --> 00:00:48.280]  為什麼有人會離開上帝
[00:00:48.280 --> 00:00:51.640]  為什麼有人會離開耶穌
[00:00:51.640 --> 00:00:54.280]  因為我們以前一直分享的
[00:00:54.280 --> 00:00:59.640]  就是想盡辦法如何吸引人來到耶穌那裡
[00:00:59.640 --> 00:01:04.800]  但今天你想不想到一些人曾經認識上帝
[00:01:04.800 --> 00:01:08.480]  但最後離開了上帝
[00:01:08.480 --> 00:01:15.720]  我想帶大家回到當天耶穌說這句話的時候的情景
[00:01:15.720 --> 00:01:18.960]  當天耶穌行完一個很大的神跡
[00:01:18.960 --> 00:01:21.800]  有幾千人蓄勇著耶穌
[00:01:21.800 --> 00:01:26.600]  因為吃過耶穌的五餅、二魚的餅和魚
[00:01:26.600 --> 00:01:28.840]  他們體驗過這個神跡
[00:01:28.840 --> 00:01:30.160]  然後完了
[00:01:30.160 --> 00:01:34.880]  耶穌吩咐門徒把稅收起來
[00:01:34.880 --> 00:01:36.240]  就在這個時候
[00:01:36.240 --> 00:01:38.120]  所有人都不捨得耶穌
[00:01:38.120 --> 00:01:42.160]  就算耶穌渡船去到另一個湖的另一邊
[00:01:42.160 --> 00:01:43.720]  人們都要跟著去
[00:01:43.720 --> 00:01:47.040]  跟到第二天去請教耶穌
[00:01:47.040 --> 00:01:50.160]  很想聽多一些有關於耶穌的信息
