
[00:00:00.000 --> 00:00:05.300]  代表教會再次歡迎各位來賓
[00:00:05.300 --> 00:00:08.420]  很多弟兄姊妹可能都是我們整個月沒見了
[00:00:08.420 --> 00:00:11.160]  我剛剛從美加回到香港
[00:00:11.160 --> 00:00:14.520]  我好期盼著等這一天的來到
[00:00:14.520 --> 00:00:15.520]  都好感謝神
[00:00:15.520 --> 00:00:18.380]  今天我們見到有這麼多位弟兄姊妹
[00:00:18.380 --> 00:00:20.120]  帶了親友來參加
[00:00:20.120 --> 00:00:22.040]  實在你能夠出席
[00:00:22.040 --> 00:00:25.000]  對我們特別對帶你回來的子女
[00:00:25.000 --> 00:00:27.260]  有好大好大的鼓勵
[00:00:27.260 --> 00:00:31.680]  今天我第一次和大家一起聽到黃先生的見證
[00:00:31.680 --> 00:00:35.280]  我真的覺得上帝好厲害
[00:00:35.280 --> 00:00:39.880]  一個一直有教鬼經驗的
[00:00:39.880 --> 00:00:43.880]  我不知道當中有沒有人有這樣的經驗
[00:00:43.880 --> 00:00:48.280]  就是一直有拜開這些偶像
[00:00:48.280 --> 00:00:50.660]  也都有靈界的經歷
[00:00:50.660 --> 00:00:52.360]  甚至真實的經歷
[00:00:52.360 --> 00:00:55.100]  但忽然之間好像鬼片那樣
[00:00:55.100 --> 00:00:57.420]  從窗口飛了出來那樣
[00:00:57.420 --> 00:00:58.940]  我覺得神好厲害
[00:00:58.940 --> 00:01:01.300]  但神最厲害的地方就是
[00:01:01.300 --> 00:01:06.300]  竟然將兩父子這麼難的關係
[00:01:06.300 --> 00:01:07.820]  可以修復和好
[00:01:07.820 --> 00:01:11.420]  厲不厲害啊?
[00:01:11.420 --> 00:01:15.420]  你猜可不可以發生在你身上呢?
[00:01:15.420 --> 00:01:19.820]  你猜可不可以發生在你的家庭身上呢?
[00:01:19.820 --> 00:01:23.180]  今天我應黃先生的要求
[00:01:23.180 --> 00:01:26.380]  我們定一個題目叫做「父親的形象」
[00:01:26.380 --> 00:01:27.780]  可能你看到
[00:01:27.780 --> 00:01:32.980]  他從一個本來對父親形象很差的家庭長大
[00:01:32.980 --> 00:01:38.380]  到後來他成為另外其他人的父親
[00:01:38.380 --> 00:01:40.980]  在聖經裏面都有一個父親的形象
[00:01:40.980 --> 00:01:42.380]  這個父親的形象
[00:01:42.380 --> 00:01:45.780]  就差不多在聖經裏面最為人所知的
[00:01:45.780 --> 00:01:48.780]  耶穌曾經說過的故事的一個比喻
[00:01:48.780 --> 00:01:49.980]  這個故事的出名度
[00:01:49.980 --> 00:01:52.580]  我相信不單止是教會裏面的人知道
[00:01:52.580 --> 00:01:54.380]  教會外面的人都聽過
[00:01:54.380 --> 00:01:57.180]  這個故事叫做「浪子」的比喻
[00:01:57.180 --> 00:01:59.180]  耶穌有一天對著一群人說
[00:01:59.180 --> 00:02:01.380]  他說有一個人很有錢的
[00:02:01.380 --> 00:02:03.780]  不過家庭裏面不是很開心
[00:02:03.780 --> 00:02:07.980]  這個家裏有兩個兒子
[00:02:07.980 --> 00:02:10.580]  這兩個兒子大的很勤力工作
[00:02:10.580 --> 00:02:13.380]  小的就很敗家
[00:02:13.380 --> 00:02:15.780]  有一天這個小兒子敗家到一個地步
[00:02:15.780 --> 00:02:16.980]  就跟他爸爸說
[00:02:16.980 --> 00:02:20.580]  請你將我應得的家產分給我
[00:02:20.580 --> 00:02:21.780]  請你留意
[00:02:21.780 --> 00:02:22.980]  爸爸還沒死
[00:02:22.980 --> 00:02:27.180]  請你將你應該給我的遺產給我
[00:02:27.180 --> 00:02:27.980]  反正都死了
[00:02:27.980 --> 00:02:29.180]  都是那邊近的
[00:02:29.180 --> 00:02:29.980]  還給我吧
[00:02:29.980 --> 00:02:33.980]  一個非常不孝的兒子
[00:02:33.980 --> 00:02:38.380]  奇怪的是他爸爸竟然答應他
[00:02:38.380 --> 00:02:40.580]  然後這個兒子拿了錢之後
[00:02:40.580 --> 00:02:41.580]  又有這麼遠走這麼遠
[00:02:41.580 --> 00:02:42.780]  不要讓他爸爸看到
[00:02:42.780 --> 00:02:44.380]  越遠越好
