
[00:00:00.000 --> 00:00:05.480]  好 第四步讓我們在聆聽主導意聲
[00:00:05.480 --> 00:00:08.480]  我們一起吾心低頭 禱告若望主愛神
[00:00:08.480 --> 00:00:10.200]  父神多謝祢
[00:00:10.200 --> 00:00:12.800]  願祢的靈帶領我們
[00:00:12.800 --> 00:00:15.280]  讓我們可以體貼
[00:00:15.280 --> 00:00:22.480]  昔日耶穌祢的獨生兒子在地上所作的事情本身的意思
[00:00:22.480 --> 00:00:31.480]  也從當中讓我們學習如何領受主理所的差派和使命
[00:00:31.480 --> 00:00:36.480]  作今天合神心意的侍奉
[00:00:36.480 --> 00:00:40.480]  我們再次將這段聆聽主導的時間交上
[00:00:40.480 --> 00:00:47.480]  不是讓我們只聽到 而是讓我們生命得到更新並且變化
[00:00:47.480 --> 00:00:51.480]  測驗到上帝祢純全可喜於的旨意
[00:00:51.480 --> 00:00:55.480]  禱告奉靠主耶穌的德性的名字求 阿們
[00:00:55.480 --> 00:01:00.480]  我相信大家都明白一件事叫做好人難做
[00:01:00.480 --> 00:01:05.480]  不過實質上當我們去做屬神的指紋的時候其實是更加難
[00:01:05.480 --> 00:01:09.480]  這是一個我們必須要有的預備
[00:01:09.480 --> 00:01:14.480]  但這個說法和一般很多人去相信耶穌的時候
[00:01:14.480 --> 00:01:18.480]  個人願望可能有些不同
[00:01:18.480 --> 00:01:23.480]  很多人認為相信耶穌可以解脫我所有的問題
[00:01:23.480 --> 00:01:26.480]  我人生就更容易過
[00:01:26.480 --> 00:01:29.480]  但當我們去看聖經的時候
[00:01:29.480 --> 00:01:36.480]  無論是耶穌的遭遇還是門徒的遭遇
[00:01:36.480 --> 00:01:44.480]  作為神的指紋 當我們看今天活在罪惡的世界的時候
[00:01:44.480 --> 00:01:52.480]  他的生命生活會遭遇到很多的挑戰和不適
[00:01:52.480 --> 00:01:57.480]  因為在這個世界上很多人會針對基督徒
[00:01:57.480 --> 00:02:02.480]  如果按照聖經所行的時候去進行很多的攻擊
[00:02:02.480 --> 00:02:05.480]  為什麼人會有這樣的現象呢?
[00:02:05.480 --> 00:02:13.480]  在這個世界上最主要的就是因為人不是每個人都去領受上帝的拯救的苦心
[00:02:13.480 --> 00:02:16.480]  我曾經遇過一個信徒
[00:02:16.480 --> 00:02:20.480]  他曾經有這樣的事情需要我去幫忙
[00:02:20.480 --> 00:02:23.480]  特別是當牧師的情況
[00:02:23.480 --> 00:02:26.480]  很多信徒都會來找牧師幫忙
[00:02:26.480 --> 00:02:29.480]  什麼事都找他幫忙
[00:02:29.480 --> 00:02:33.480]  我最希望他找我幫忙是因為屬命的問題
