
[00:00:00.000 --> 00:00:08.000]  大家好,如果你未找到位,先找位慢慢坐,我們有排講的
[00:00:08.000 --> 00:00:14.000]  希望我們準時,大約1點,9點到10點就講完的了
[00:00:14.000 --> 00:00:16.000]  我知道可能你上班的地方都走很遠
[00:00:16.000 --> 00:00:22.000]  很歡迎你,這是第一講,就是我負責,要講好一點,下次沒人來
[00:00:22.000 --> 00:00:26.000]  如果我覺得不好,記得下次來,下次越講越好
[00:00:26.000 --> 00:00:30.000]  這個題目名叫做「締造友情空間」
[00:00:30.000 --> 00:00:35.000]  不如我將題目用下半句來講好一點
[00:00:35.000 --> 00:00:39.000]  下半句就是怎樣找到真友誼,真的朋友
[00:00:39.000 --> 00:00:46.000]  如果你今天坐在這跟台吃飯,是你結交了幾年以上的好朋友
[00:00:46.000 --> 00:00:51.000]  這個都是你的成功,是不是你請吃飯他們來的
[00:00:51.000 --> 00:00:56.000]  但如果你覺得很值得跟一台的人在一起
[00:00:56.000 --> 00:01:00.000]  這個都是你今天開始一個好的發現
[00:01:00.000 --> 00:01:07.000]  不如我講下由聖經,由人的心理,幾樣權威的講法
[00:01:07.000 --> 00:01:14.000]  譬如你問我,人有四個時期需要朋友的
[00:01:14.000 --> 00:01:17.000]  全部都是18歲之前的
[00:01:17.000 --> 00:01:21.000]  所以為什麼人結婚在18歲後,就是這個原因
[00:01:21.000 --> 00:01:25.000]  人第一個時間需要朋友就是5歲
[00:01:25.000 --> 00:01:29.000]  5歲為什麼需要朋友呢,就是因為好奇心
[00:01:29.000 --> 00:01:33.000]  見到隔壁一個像自己那麼爽,很有興趣
[00:01:33.000 --> 00:01:38.000]  那時是5歲,5歲你回家洗澡,跟媽媽聊天
[00:01:38.000 --> 00:01:42.000]  就會不停講你有多少個朋友,名字
[00:01:42.000 --> 00:01:47.000]  3、4歲就不算,因為3、4歲是不知道很詳細別人的事
[00:01:47.000 --> 00:01:49.000]  但5歲就會很詳細
[00:01:49.000 --> 00:01:54.000]  但那個時期的人物,現在我相信你都不記得了
[00:01:54.000 --> 00:01:56.000]  你記得都是騙你自己
[00:01:56.000 --> 00:02:02.000]  但第二個時期是7歲,7歲就是遊戲的時候的朋友
[00:02:02.000 --> 00:02:06.000]  即是你很需要有一個隊伍
[00:02:06.000 --> 00:02:10.000]  你經常告訴你媽媽,我今天跟誰一隊
[00:02:10.000 --> 00:02:13.000]  就鬥另一邊跟誰一隊
[00:02:13.000 --> 00:02:18.000]  所以那個時候開始,你對於跟人結盟很有興趣
[00:02:18.000 --> 00:02:23.000]  譬如說我是跟他一邊的,跟哪些人不是一邊的
[00:02:23.000 --> 00:02:28.000]  所以那個時候有少少友情,也有少少仇恨
