
[00:00:00.000 --> 00:00:08.640]  各位網友 今天跟大家分享的題目是一個時代的誕生
[00:00:08.640 --> 00:00:12.600]  接下來我會跟大家思想舊約的人物
[00:00:12.600 --> 00:00:19.680]  大家熟悉的 摩西 約書亞 大衛 爾賽亞等等
[00:00:19.680 --> 00:00:26.360]  今天我會跟大家講摩西 我用的經文很多
[00:00:26.360 --> 00:00:30.680]  主要跟大家重溫 不過不需要讀
[00:00:30.680 --> 00:00:39.640]  我想在這麼多經文裡思想經文背後所展示給我們熟悉的意義
[00:00:39.640 --> 00:00:47.720]  摩西對以色列人來說是一個新的時代
[00:00:47.720 --> 00:00:51.520]  摩西的生平大家都很熟悉
[00:00:51.520 --> 00:01:00.760]  我會用四方面來說 摩西的出生 身份 他的被召
[00:01:00.760 --> 00:01:11.960]  然後他對以色列人的釋放 上帝帶領他們如何離開埃及
[00:01:11.960 --> 00:01:18.720]  第一段經文是初一及二章一到四節
[00:01:18.720 --> 00:01:24.320]  講到一個利美人生了一個兒子
[00:01:24.320 --> 00:01:31.440]  當時埃及有一個命令不准男子留下來
[00:01:31.440 --> 00:01:38.960]  結果這個十元仔要放在河水裡
[00:01:38.960 --> 00:01:45.520]  後來被埃及的公主救了 我們都很熟悉的 不需要詳細說
[00:01:45.520 --> 00:01:58.080]  奇妙的地方是這個埃及的公主竟然找十元仔的母親來養他
[00:01:58.080 --> 00:02:03.600]  這個十元仔是希伯來人 在他的成長過程裡
[00:02:03.600 --> 00:02:12.560]  是母親親自養和教導 所以他繼承了自己血統的文化
[00:02:12.560 --> 00:02:29.120]  我們看回埃及的第二章 你會發現身邊的人名都是隱藏的
[00:02:29.120 --> 00:02:34.720]  沒有說他的名字 摩西的出生是在幾個女人
[00:02:34.720 --> 00:02:44.400]  母親是阿瑪拉 他的姊妹是法洛的女兒 有名的父親是阿姆蘭
[00:02:44.400 --> 00:02:52.480]  母親是約基別 哥哥是阿倫 姐姐是米尼恩
[00:02:52.480 --> 00:02:56.560]  我們要留意的是他母親的名字
[00:02:56.560 --> 00:03:02.960]  以色列人離開了加南的地方已經有幾百年了
[00:03:02.960 --> 00:03:10.800]  但他母親的名字仍然保留著猶太人的上帝名字
[00:03:10.800 --> 00:03:20.080]  就是亞維 亞維就是以色列人所尊敬的上帝
[00:03:20.080 --> 00:03:29.600]  因為他母親的名字 約基別 約其實就是上帝的名字
[00:03:29.600 --> 00:03:33.920]  亞維的意思就是上帝的榮耀
[00:03:33.920 --> 00:03:37.520]  可想而知他母親的家庭 雖然已經有幾百年了
[00:03:37.520 --> 00:03:44.960]  在埃及族裏面竟然可以保留著上帝的信仰
[00:03:44.960 --> 00:03:49.680]  而摩西就在他母親的餘養下
[00:03:49.680 --> 00:03:53.120]  這一點我們要放在心裏面
[00:03:53.120 --> 00:04:00.240]  摩西的出生就是上帝的新時代
[00:04:00.240 --> 00:04:06.240]  法羅下令埃及人要將藍鷹扔入尼羅河
[00:04:06.240 --> 00:04:12.080]  這個命令應該針對著以色列人有全面性
[00:04:12.080 --> 00:04:14.560]  但這個命令有多長呢?
[00:04:14.560 --> 00:04:17.840]  很多學者都相信其實不是很長
[00:04:17.840 --> 00:04:23.120]  最少摩西的哥哥沒有死
[00:04:23.120 --> 00:04:27.840]  還有摩西出埃及的時候有六十萬的藍鷹
[00:04:27.840 --> 00:04:31.840]  或者六萬的藍鷹也好
[00:04:31.840 --> 00:04:37.040]  可見如果真的將藍鷹扔入河裏
[00:04:37.040 --> 00:04:39.120]  就應該全死了
[00:04:39.120 --> 00:04:44.880]  不過仍然有這麼多的藍鷹和摩西一起離開
[00:04:44.880 --> 00:04:48.000]  所以法羅的正令是不得人心
[00:04:48.000 --> 00:04:55.760]  另外法羅的女兒為何要公然違反父皇的命令去拯救摩西
[00:04:55.760 --> 00:05:01.040]  因為她發現摩西其實是希伯來人
[00:05:01.040 --> 00:05:05.120]  可想而知她是公然違反
[00:05:05.120 --> 00:05:08.400]  所以我們就問如果這個公主
[00:05:08.400 --> 00:05:15.040]  我們學者所認為她就是哈雪蘇
[00:05:15.040 --> 00:05:18.320]  她是法羅的獨女
[00:05:18.320 --> 00:05:21.200]  她沒有孩子
[00:05:21.200 --> 00:05:24.080]  名義上由她的丈夫去統治
[00:05:24.080 --> 00:05:26.880]  而她的作為是很大的
[00:05:26.880 --> 00:05:29.200]  有神廟紀念她
[00:05:29.680 --> 00:05:36.080]  不過就被繼承者道德摩西推翻之後
[00:05:36.080 --> 00:05:37.840]  就毀滅了所有的東西
[00:05:37.840 --> 00:05:40.160]  如果有摩西的記載
[00:05:40.160 --> 00:05:46.640]  亦都在這場災難裏面全部掃除
[00:05:46.640 --> 00:05:48.080]  就在埃及裏面
[00:05:48.080 --> 00:05:51.200]  摩西的名字就淹沒無聞
[00:05:51.200 --> 00:05:58.240]  這個女兒動了真情
