
[00:00:00.000 --> 00:00:04.000]  (主持人:謝謝 平安)
[00:00:04.000 --> 00:00:11.000]  很高興有機會來到千象基督教會和你們分享神的話語
[00:00:11.000 --> 00:00:14.000]  這次好像是我今年第一次來
[00:00:14.000 --> 00:00:16.000]  今天是父親節
[00:00:16.000 --> 00:00:21.000]  很高興要和在座各位的父親講一句父親節快樂
[00:00:21.000 --> 00:00:26.000]  我今天的題目是地上的父如同在天上的父
[00:00:26.000 --> 00:00:30.000]  其實我們叫神做天父
[00:00:30.000 --> 00:00:34.000]  很多時候我們以為是因為我們地上的父親
[00:00:34.000 --> 00:00:36.000]  所以我們叫天上的父是天父
[00:00:36.000 --> 00:00:38.000]  其實是反過來的
[00:00:38.000 --> 00:00:46.000]  在宇宙創造之先已經是三位一體的神父子聖靈已經存在
[00:00:46.000 --> 00:00:48.000]  所以父子的關係已經存在
[00:00:48.000 --> 00:00:53.000]  其實我們地上的父親是反映出我們天上的父親
[00:00:53.000 --> 00:00:58.000]  在此我們對天上的父親很多時候都有誤會
[00:00:58.000 --> 00:01:00.000]  我們的印象是怎樣
[00:01:00.000 --> 00:01:03.000]  很多人的印象是有兩個極端的
[00:01:03.000 --> 00:01:08.000]  一個極端就是我們這位天父惡到不得了
[00:01:08.000 --> 00:01:10.000]  不喜歡人家喜樂的
[00:01:10.000 --> 00:01:15.000]  見到人犯罪就躲在後面看誰犯罪我就懲罰你
[00:01:15.000 --> 00:01:18.000]  這是其中一個看法
[00:01:18.000 --> 00:01:27.000]  但另一個極端就是我們會覺得我們的天父非常慈愛
[00:01:27.000 --> 00:01:31.000]  好像一個非常慈祥的老人一樣
[00:01:31.000 --> 00:01:33.000]  永遠不審判人
[00:01:33.000 --> 00:01:36.000]  就是等待世人悔改
[00:01:36.000 --> 00:01:39.000]  這就是兩個不同的極端
[00:01:39.000 --> 00:01:40.000]  一個惡到不得了
[00:01:40.000 --> 00:01:42.000]  一個慈祥到不得了
[00:01:42.000 --> 00:01:48.000]  因為我們對天父的印象有錯誤的觀點
[00:01:48.000 --> 00:01:54.000]  所以我們地上的父母其實都有對我們子女有兩個極端
[00:01:54.000 --> 00:01:57.000]  一個極端又是惡到不得了
[00:01:57.000 --> 00:02:00.000]  你犯錯我就罰你們
[00:02:00.000 --> 00:02:02.000]  惡到什麼地步
[00:02:02.000 --> 00:02:07.000]  但另一個極端就是把子女種到不得了
[00:02:07.000 --> 00:02:09.000]  好像如珠如寶一樣
[00:02:09.000 --> 00:02:13.000]  其實我們做父母應該像天父一樣
[00:02:13.000 --> 00:02:15.000]  不要有兩個極端
[00:02:15.000 --> 00:02:18.000]  我今天要和大家說
[00:02:18.000 --> 00:02:22.000]  我們應該怎樣像天父一樣來愛我們的子女
[00:02:22.000 --> 00:02:24.000]  一共有五點
[00:02:24.000 --> 00:02:28.000]  第一點就是我們要像天父一樣來愛我們的子女
[00:02:28.000 --> 00:02:34.000]  第二點我們要像天父一樣來施予給我們的子女
[00:02:34.000 --> 00:02:38.000]  第三點我們要明白到我們子女的軟弱
[00:02:38.000 --> 00:02:40.000]  就是我們剛才讀的經文
[00:02:40.000 --> 00:02:43.000]  神是認識我們的本體
[00:02:43.000 --> 00:02:45.000]  知道我們只不過是塵土
[00:02:45.000 --> 00:02:47.000]  我們的子女一樣有軟弱
[00:02:47.000 --> 00:02:52.000]  第四點就是當我們子女反叛的時候
[00:02:52.000 --> 00:02:54.000]  我們應該要管教
[00:02:54.000 --> 00:02:56.000]  這個是負面的
[00:02:56.000 --> 00:02:59.000]  他們做錯事我們要管教
[00:02:59.000 --> 00:03:03.000]  但正面他們做得對我們應該怎樣
[00:03:03.000 --> 00:03:05.000]  應該肯定他們
[00:03:05.000 --> 00:03:07.000]  所以這個是第五點
[00:03:07.000 --> 00:03:10.000]  首先我們來看第一點
[00:03:10.000 --> 00:03:13.000]  我們要像天父一樣來愛我們的子女
[00:03:13.000 --> 00:03:16.000]  我們怎樣知道天父愛我們?
[00:03:16.000 --> 00:03:19.000]  一節很熟悉的經文
[00:03:19.000 --> 00:03:21.000]  我相信大家都會唸
[00:03:21.000 --> 00:03:23.000]  約翰福音三章十六節
[00:03:23.000 --> 00:03:27.000]  神愛世人甚至將他的獨生子賜給我們
[00:03:27.000 --> 00:03:30.000]  叫一切信他的人不致滅亡
[00:03:30.000 --> 00:03:32.000]  反不永生
[00:03:32.000 --> 00:03:34.000]  神賜什麼給我們?
[00:03:34.000 --> 00:03:37.000]  他的獨生子是他唯一的獨生子
[00:03:37.000 --> 00:03:39.000]  有沒有看到神多愛我們?
[00:03:39.000 --> 00:03:41.000]  他很愛他的獨生子
[00:03:41.000 --> 00:03:43.000]  但將他賜給我們
