
[00:00:00.000 --> 00:00:09.280]  各位節目 早安 《啟事錄》去到尾聲19號10時
[00:00:09.280 --> 00:00:14.160]  21章就完了 上一次就有少許更正了
[00:00:14.160 --> 00:00:17.320]  上次我講完之後 很多大型節目跟我講
[00:00:17.320 --> 00:00:21.180]  就是講到美國的崇拜人數少於零
[00:00:21.180 --> 00:00:26.700]  是6千萬人就不是600萬人了 沒那麼恐怖 這麼少人
[00:00:26.700 --> 00:00:29.840]  第二個就是要加對上次我講的時候
[00:00:29.840 --> 00:00:31.980]  講到西三一大學
[00:00:31.980 --> 00:00:35.380]  大家都知道這間大學其實是報道會的大學
[00:00:35.380 --> 00:00:39.180]  那個法律學院呢 上星期五
[00:00:39.180 --> 00:00:44.420]  BC省的高等法院就判了
[00:00:44.420 --> 00:00:47.180]  它就沒有一個終極的判決
[00:00:47.180 --> 00:00:52.180]  它只是說尊重BC省的法律學院
[00:00:52.180 --> 00:00:59.100]  就是說不給畢業的學生認證
[00:00:59.100 --> 00:01:04.100]  不過呢 三一大學是可以繼續上訴
[00:01:04.100 --> 00:01:06.680]  那這種上訴其實是很折磨人的
[00:01:06.680 --> 00:01:09.420]  也都要用很多的錢
[00:01:09.420 --> 00:01:14.180]  所以其實西三一大學現在面對一個相當大的困難
[00:01:14.180 --> 00:01:18.440]  困難就是當我們覺得
[00:01:18.440 --> 00:01:20.900]  一男一女家庭最好的時候呢
[00:01:20.900 --> 00:01:26.280]  都會被歧視 認為我們不尊重人
[00:01:26.280 --> 00:01:29.720]  認為我們違憲 會有這樣的
[00:01:29.720 --> 00:01:31.620]  所以這樣的時候呢
[00:01:31.620 --> 00:01:35.340]  實際上對西三一大學來說是相當困難
[00:01:35.340 --> 00:01:38.500]  所以都繼續紀念這間基督教
[00:01:38.500 --> 00:01:43.300]  特別是報道會辦的大學 它前面走的路
[00:01:43.300 --> 00:01:45.860]  今天就和大家講
[00:01:45.860 --> 00:01:51.180]  到了19章的尾聲就是一個得勝的日子
[00:01:51.180 --> 00:01:53.420]  但是我們看啟示錄呢
[00:01:53.420 --> 00:01:57.380]  你會發現就算是去到得勝
[00:01:57.380 --> 00:02:00.940]  原來都還有東西還沒完的
[00:02:00.940 --> 00:02:03.460]  為什麼呢?
[00:02:03.460 --> 00:02:06.020]  約翰看來是得勝
[00:02:06.020 --> 00:02:08.420]  因為他看到最後是得勝
[00:02:08.420 --> 00:02:11.540]  但當有人在看地上的時候呢
[00:02:11.540 --> 00:02:14.980]  原來地上還有很多敵對上的的人
[00:02:14.980 --> 00:02:17.540]  所以你會看到到最後一章
[00:02:17.540 --> 00:02:18.860]  已經新天新地了
[00:02:18.860 --> 00:02:21.860]  已經進入到天上的榮美
[00:02:21.860 --> 00:02:25.540]  但仍然城外還有很多反對上帝的人
[00:02:25.540 --> 00:02:27.780]  這個就是我們叫做時空穿梭
[00:02:27.780 --> 00:02:30.900]  就是說約翰他已經去到看到最遠
[00:02:30.900 --> 00:02:36.780]  但實際上在約翰他看回自己的時間和空間
[00:02:36.780 --> 00:02:39.420]  這件事情是還沒完的
[00:02:39.420 --> 00:02:42.660]  所以我們看這個啟示錄
[00:02:42.660 --> 00:02:46.460]  雖然看到最後我們是很開心
[00:02:46.460 --> 00:02:50.220]  不過原來在我現在這個時候
[00:02:50.220 --> 00:02:54.700]  仍然是面對很多的挑戰
[00:02:54.700 --> 00:02:58.220]  但淫複上次我們講過就是巴比倫大城
[00:02:58.220 --> 00:03:00.780]  到最後將來呢
[00:03:00.780 --> 00:03:04.060]  就是完全的毀滅
[00:03:04.060 --> 00:03:06.580]  就是說七碗的災已經完結了
[00:03:06.580 --> 00:03:12.660]  敵對上帝的人的文化已經解體
[00:03:12.660 --> 00:03:16.540]  這幅圖畫其實是這樣的
[00:03:16.540 --> 00:03:21.860]  其實在今天我們所謂基督教國家歐洲崩離
[00:03:21.860 --> 00:03:25.460]  是不斷容許其他的異教
[00:03:25.460 --> 00:03:29.180]  其他的世俗化去佔據他們
[00:03:29.180 --> 00:03:33.580]  我們知道最近很多難民湧去歐洲
[00:03:33.580 --> 00:03:36.060]  很多人擔心歐洲會變成伊斯蘭教
[00:03:36.060 --> 00:03:39.700]  因為80萬、40萬、80萬都是伊斯蘭教人
[00:03:39.700 --> 00:03:43.740]  不過其實在幾年前已經有人做了統計
[00:03:43.740 --> 00:03:47.700]  就按照歐洲的伊斯蘭教徒
[00:03:47.700 --> 00:03:49.940]  每個家庭生8個
[00:03:49.940 --> 00:03:55.700]  而歐洲人每個家庭是生不夠1個
[00:03:55.700 --> 00:03:58.140]  2035年後
[00:03:58.140 --> 00:04:02.660]  德國已經大部分的人是伊斯蘭教
[00:04:02.660 --> 00:04:08.900]  英國和主要的幾個國家
[00:04:08.900 --> 00:04:10.980]  英國是更加快
[00:04:10.980 --> 00:04:16.500]  這個問題事實上是對於很多的基督教國家
[00:04:16.500 --> 00:04:19.260]  基督教國家一方面離棄上帝
[00:04:19.260 --> 00:04:23.620]  另一方面在文化上拱手相讓
[00:04:23.620 --> 00:04:29.140]  在啟示錄看到在將來的日子
[00:04:29.140 --> 00:04:34.980]  在十七章中所謂的十王、壽
[00:04:34.980 --> 00:04:40.380]  曾經掀起一個哈米吉多頓的戰爭
[00:04:40.380 --> 00:04:43.220]  然後約翰看到最後
[00:04:43.220 --> 00:04:45.220]  耶穌基督是得勝的
[00:04:45.220 --> 00:04:46.180]  所以一舉千年
[00:04:46.180 --> 00:04:49.100]  這個就是要建立千禧連國
[00:04:49.100 --> 00:04:53.100]  剛才我們讀也讀到千禧連國
[00:04:53.100 --> 00:04:56.020]  在十九章開始的時候就提到讚美
[00:04:56.020 --> 00:04:59.940]  在得勝的時候天上地下
[00:04:59.940 --> 00:05:03.700]  特別用到Hallelujah
[00:05:03.700 --> 00:05:05.860]  這個字我們很熟悉
[00:05:05.860 --> 00:05:09.300]  Hallelujah就是讚美耶和華
[00:05:09.300 --> 00:05:14.300]  第一個是有關救恩、榮耀、權能
[00:05:14.300 --> 00:05:16.260]  屬於我們的上帝
[00:05:16.260 --> 00:05:20.140]  就是神整個救贖計劃已經完全成就
[00:05:20.140 --> 00:05:22.180]  所以約翰所看的東西是比我們快的
