
[00:00:00.000 --> 00:00:04.320]  再次來到雅庚堂
[00:00:04.320 --> 00:00:07.800]  同樣感受一個很平靜的氣氛
[00:00:07.800 --> 00:00:11.840]  亦為了短短的七年間
[00:00:11.840 --> 00:00:13.200]  有這麼好的發展
[00:00:13.200 --> 00:00:16.120]  獻上衷心的感恩
[00:00:16.120 --> 00:00:18.080]  我代表博路神學院
[00:00:18.080 --> 00:00:19.600]  將文安尼奧帶給大家
[00:00:19.600 --> 00:00:22.360]  去年來的時間
[00:00:22.360 --> 00:00:24.240]  應該差不多是堂慶的時候
[00:00:24.240 --> 00:00:25.960]  轉轉差不多一年的時間
[00:00:25.960 --> 00:00:27.520]  多謝主給我機會
[00:00:27.520 --> 00:00:29.080]  再一次和大家分享神的話
[00:00:29.080 --> 00:00:30.800]  今天我想帶給大家一個訊息
[00:00:30.800 --> 00:00:32.720]  就是很想大家
[00:00:32.720 --> 00:00:34.160]  我們每一個基督徒
[00:00:34.160 --> 00:00:36.360]  成為一個禱告的人
[00:00:36.360 --> 00:00:38.600]  我希望如果你的家庭裏
[00:00:38.600 --> 00:00:41.000]  都有其他成員信了主
[00:00:41.000 --> 00:00:43.760]  你的家庭都可以成為禱告的家庭
[00:00:43.760 --> 00:00:48.200]  或者教會成為一間禱告的教會
[00:00:48.200 --> 00:00:49.680]  我選用一段經文
[00:00:49.680 --> 00:00:53.680]  就是在《馬福音》11章12-16節
[00:00:53.680 --> 00:00:57.000]  記載耶穌就灼無花果樹
[00:00:57.000 --> 00:00:59.320]  和潔淨聖殿的事跡
[00:00:59.320 --> 00:01:00.640]  所以我叫它題目就是
[00:01:00.640 --> 00:01:03.480]  無花果樹與聖殿應拜
[00:01:03.480 --> 00:01:06.480]  大家看到這張投影片中間的照片
[00:01:06.480 --> 00:01:09.360]  就是博路神學院這兩年搬到美孚之後
[00:01:09.360 --> 00:01:12.200]  在花園中種的一棵無花果樹
[00:01:12.200 --> 00:01:13.360]  是真的無花果樹
[00:01:13.360 --> 00:01:14.680]  香港比較少
[00:01:14.680 --> 00:01:16.400]  歡迎你有機會
[00:01:16.400 --> 00:01:17.280]  來美孚
[00:01:17.280 --> 00:01:19.640]  來美孚的時候來參觀一下這棵
[00:01:19.640 --> 00:01:22.040]  現在都長得不錯
[00:01:22.040 --> 00:01:22.680]  香港很難種
[00:01:22.680 --> 00:01:24.440]  我們試過種了一棵就死了
[00:01:24.440 --> 00:01:27.200]  希望這棵能夠長命一些
[00:01:27.200 --> 00:01:29.760]  這段聖經
[00:01:29.760 --> 00:01:31.800]  如果你翻開聖經看的時候
[00:01:31.800 --> 00:01:33.120]  很自然地
[00:01:33.120 --> 00:01:34.960]  這段經文毫無疑問
[00:01:34.960 --> 00:01:37.080]  分開三個段落
[00:01:37.080 --> 00:01:41.000]  第一個段落就是第12-14節
[00:01:41.000 --> 00:01:44.280]  《馬福音》11章12-14節
[00:01:44.280 --> 00:01:47.480]  就是耶穌就灼一棵無花果樹
[00:01:47.480 --> 00:01:51.600]  第二個段落就是15-19節
[00:01:51.600 --> 00:01:53.360]  耶穌潔淨聖殿
[00:01:53.360 --> 00:01:56.520]  這次潔淨聖殿大概在聖經記載裡
[00:01:56.520 --> 00:01:58.640]  是第二次潔淨聖殿
[00:01:58.640 --> 00:02:00.720]  第一次是耶穌剛剛出來傳道
[00:02:00.720 --> 00:02:02.960]  記載在約翰福音第二章
[00:02:02.960 --> 00:02:05.120]  大概是耶穌第一次潔淨聖殿
[00:02:05.120 --> 00:02:05.880]  這個是第二次
[00:02:05.880 --> 00:02:07.080]  換言之就是說
[00:02:07.080 --> 00:02:11.840]  三年過去聖殿的污煙瘴氣問題
[00:02:11.840 --> 00:02:13.200]  其實沒有解決
[00:02:13.200 --> 00:02:15.600]  所以第二次潔淨聖殿
[00:02:15.600 --> 00:02:20.000]  第三個段落就是20-26節
[00:02:20.000 --> 00:02:23.960]  就是耶穌解釋為什麼要就灼無花果樹
[00:02:23.960 --> 00:02:25.960]  有三個段落
[00:02:25.960 --> 00:02:28.480]  這三個段落我們叫做
[00:02:28.480 --> 00:02:31.560]  三文治式的結構
[00:02:31.560 --> 00:02:32.640]  一個這樣的寫法
[00:02:32.640 --> 00:02:35.040]  一個文學的寫作方法
[00:02:35.040 --> 00:02:40.240]  第一段是就灼不潔果子的無花果樹
[00:02:40.240 --> 00:02:45.080]  第二個段落就是潔淨好像賊鵝一般的聖殿
[00:02:45.080 --> 00:02:49.560]  第三個就是解讀被就灼的無花果樹的行動
[00:02:49.560 --> 00:02:53.600]  然後帶出信心祈禱的果效
[00:02:53.600 --> 00:02:57.280]  你看到第一個段落和第三個段落
[00:02:57.280 --> 00:02:59.000]  都是和無花果樹有關係的
[00:02:59.000 --> 00:02:59.960]  第一是行動
[00:02:59.960 --> 00:03:02.080]  第三是解釋這個行動
[00:03:02.080 --> 00:03:03.040]  換言之
[00:03:03.040 --> 00:03:07.160]  一、三都是無花果樹這個主題下寫的
[00:03:07.160 --> 00:03:11.840]  中間就放了一個好像很不同的事蹟
[00:03:11.840 --> 00:03:13.160]  就是潔淨聖殿
[00:03:13.160 --> 00:03:16.120]  這樣的結構我們叫做三文治
[00:03:16.120 --> 00:03:17.600]  因為一、三是相同的
[00:03:17.600 --> 00:03:20.360]  第二是不相同的
[00:03:20.360 --> 00:03:22.760]  大家一定吃過三文治
[00:03:22.760 --> 00:03:26.760]  最重要的哪一部分呢?
[00:03:26.760 --> 00:03:27.560]  剛剛好
[00:03:27.560 --> 00:03:30.080]  我想大家不會說最重要的是頭尾那些
[00:03:30.080 --> 00:03:32.040]  如果是頭尾那些不如吃個白包
[00:03:32.040 --> 00:03:34.440]  最重要的是中間的餡
[00:03:34.440 --> 00:03:36.440]  但原來在文學記載手法裏
[00:03:36.440 --> 00:03:40.400]  要凸顯了中間的部分是最重要的
[00:03:40.400 --> 00:03:43.760]  一會兒我會解釋一下這件事情
[00:03:43.760 --> 00:03:44.560]  還有
[00:03:44.560 --> 00:03:46.880]  如果是這樣分析的話
[00:03:46.880 --> 00:03:49.120]  三文治的記載
[00:03:49.120 --> 00:03:52.560]  是帶出一個信息
[00:03:52.560 --> 00:03:55.360]  三文治不是說三個不同的事蹟
[00:03:55.360 --> 00:03:57.280]  三個獨立的事件
[00:03:57.280 --> 00:03:59.080]  三個不同的教訓
[00:03:59.080 --> 00:04:03.440]  是說這三個分段裏面
[00:04:03.440 --> 00:04:06.600]  最終帶出一個中心思想
[00:04:06.600 --> 00:04:10.560]  我想和大家今天一起分享這個中心思想
[00:04:10.560 --> 00:04:12.280]  我們先看看經文的內容
[00:04:12.280 --> 00:04:17.400]  就是《馬可福音》十二到十四節
[00:04:17.400 --> 00:04:21.800]  我們先請我們讀一次經文
[00:04:21.800 --> 00:04:25.160]  第二天,他們從伯大尼出來
