
[00:00:00.000 --> 00:00:10.000]  各位觀眾 今天能夠跟大家思想神的話
[00:00:10.000 --> 00:00:12.000]  是神給我們很大的恩典
[00:00:12.000 --> 00:00:15.000]  按照教會所定的題目
[00:00:15.000 --> 00:00:19.000]  今天就講驕傲的攻略
[00:00:19.000 --> 00:00:22.000]  上帝阻擋驕傲
[00:00:22.000 --> 00:00:31.000]  驕傲可以說是眾多罪中最嚴重的
[00:00:31.000 --> 00:00:34.000]  或者是重罪的根源
[00:00:34.000 --> 00:00:39.000]  有兩段聖經
[00:00:39.000 --> 00:00:42.000]  這麼快 我們要讀
[00:00:42.000 --> 00:00:49.000]  第一段在《針研書》十六章十八節
[00:00:49.000 --> 00:00:53.000]  我們讀一次
[00:00:53.000 --> 00:00:58.000]  驕傲在敗壞已先 狂心在跌倒之前
[00:00:58.000 --> 00:01:02.000]  還有一節在《雅各書》
[00:01:02.000 --> 00:01:03.000]  我們一起讀
[00:01:03.000 --> 00:01:05.000]  但他似更多的恩典
[00:01:05.000 --> 00:01:09.000]  所以經常說神阻擋驕傲的人
[00:01:09.000 --> 00:01:12.000]  似恩給謙卑的人
[00:01:12.000 --> 00:01:14.000]  上帝阻擋驕傲
[00:01:14.000 --> 00:01:18.000]  《針研》說驕傲在敗壞已先
[00:01:18.000 --> 00:01:22.000]  意思是一個敗壞是有跡可循
[00:01:22.000 --> 00:01:26.000]  找到原因的就是驕傲
[00:01:26.000 --> 00:01:30.000]  第二就是狂心在跌倒之前
[00:01:30.000 --> 00:01:33.000]  跌倒也是有跡可循的
[00:01:33.000 --> 00:01:35.000]  不會無緣無故的
[00:01:35.000 --> 00:01:37.000]  狂心就是驕傲
[00:01:37.000 --> 00:01:42.000]  狂心是一個妄自尊大
[00:01:42.000 --> 00:01:46.000]  目中無人的態度
[00:01:46.000 --> 00:01:52.000]  驕傲是內在情緒
[00:01:52.000 --> 00:01:58.000]  是一個人自我膨脹和炎耀
[00:01:58.000 --> 00:02:05.000]  驕傲在聖經裡特別提到是很嚴重的罪
[00:02:05.000 --> 00:02:12.000]  早期教會提到有七宗罪
[00:02:12.000 --> 00:02:13.000]  七宗罪大家聽過了
[00:02:13.000 --> 00:02:15.000]  由色慾開始
[00:02:15.000 --> 00:02:17.000]  七宗罪有一個對應
[00:02:17.000 --> 00:02:18.000]  色慾就是貞潔
[00:02:18.000 --> 00:02:20.000]  色慾就是暴色和節制
[00:02:20.000 --> 00:02:22.000]  貪婪就是慷慨
[00:02:22.000 --> 00:02:24.000]  懶惰就是勤勉
[00:02:24.000 --> 00:02:26.000]  暴怒就是內心
[00:02:26.000 --> 00:02:28.000]  嫉妒就是寬容
[00:02:28.000 --> 00:02:31.000]  最後就是最嚴重的
[00:02:31.000 --> 00:02:34.000]  就是傲慢或者驕傲
[00:02:34.000 --> 00:02:35.000]  就是謙虛
[00:02:35.000 --> 00:02:36.000]  為甚麼呢?
[00:02:36.000 --> 00:02:41.000]  其實聖經裡提到驕傲是講到世界的罪的來源
[00:02:41.000 --> 00:02:43.000]  還有兩節聖經
[00:02:43.000 --> 00:02:45.000]  還有關撒旦
[00:02:45.000 --> 00:02:47.000]  為甚麼會有撒旦
[00:02:47.000 --> 00:02:48.000]  為甚麼會有魔鬼
[00:02:48.000 --> 00:02:51.000]  下面一章請你打出來
[00:02:51.000 --> 00:02:54.000]  有兩節經文比較隱晦的
[00:02:54.000 --> 00:02:57.000]  第一段經文是講到天使的墮落
[00:02:57.000 --> 00:03:00.000]  在二賽夏書第四章十二節
[00:03:00.000 --> 00:03:02.000]  明亮之子 早晨之子
[00:03:02.000 --> 00:03:04.000]  你何竟從天墜落
[00:03:04.000 --> 00:03:08.000]  他沒有說為甚麼從天墜落
[00:03:08.000 --> 00:03:12.000]  而是攻敗列國的何竟被撞倒在地上
[00:03:12.000 --> 00:03:14.000]  二賽就提到這個
[00:03:14.000 --> 00:03:16.000]  原因他沒有提
[00:03:16.000 --> 00:03:19.000]  不過在二世結書就比較詳細的提
[00:03:19.000 --> 00:03:21.000]  猶太的拉比相信
[00:03:21.000 --> 00:03:24.000]  甚至啟示在二世結書裡
[00:03:24.000 --> 00:03:26.000]  就比較多的說
[00:03:26.000 --> 00:03:27.000]  說到甚麼呢?
[00:03:27.000 --> 00:03:30.000]  在二世結書二十八章
[00:03:30.000 --> 00:03:32.000]  十一到十九節
[00:03:32.000 --> 00:03:38.000]  你是那受高掩遮掩的約瑰的基路柏
[00:03:38.000 --> 00:03:40.000]  這個基路柏就是天使
[00:03:40.000 --> 00:03:45.000]  你從受造之日所行的都完全
[00:03:45.000 --> 00:03:47.000]  後來在你中間又擦出不義
[00:03:47.000 --> 00:03:48.000]  那是甚麼不義呢?
[00:03:48.000 --> 00:03:50.000]  找到甚麼不義呢?
[00:03:50.000 --> 00:03:51.000]  十七節說
