
[00:00:00.000 --> 00:00:07.000]  各位午安,今天我做Cat Affair
[00:00:07.000 --> 00:00:10.000]  本來是蔡英文醫生說到的
[00:00:10.000 --> 00:00:12.000]  但她有急事要趕回香港
[00:00:12.000 --> 00:00:14.000]  就趕一點鐘的飛機
[00:00:14.000 --> 00:00:19.000]  希望她趕到不會誤班
[00:00:19.000 --> 00:00:23.000]  所以我就代了她講五堂
[00:00:23.000 --> 00:00:31.000]  這個星期主題是跨代同行
[00:00:31.000 --> 00:00:35.000]  所以我就順應這個題目
[00:00:35.000 --> 00:00:37.000]  跟大家講一家兩制
[00:00:37.000 --> 00:00:39.000]  其實還有下面那句
[00:00:39.000 --> 00:00:42.000]  一家兩制,你制我不制
[00:00:42.000 --> 00:00:45.000]  我們再一次同心,同一同祈禱
[00:00:45.000 --> 00:00:46.000]  天父我們再一次感謝你
[00:00:46.000 --> 00:00:47.000]  給你寶貴的華語
[00:00:47.000 --> 00:00:49.000]  作為我們生命的指引
[00:00:49.000 --> 00:00:50.000]  多謝主
[00:00:50.000 --> 00:00:53.000]  求你讓蔡醫生趕到飛機
[00:00:53.000 --> 00:00:55.000]  及時回到香港
[00:00:55.000 --> 00:00:57.000]  做完她要做的事
[00:00:57.000 --> 00:00:59.000]  求你祝福帶領
[00:00:59.000 --> 00:01:02.000]  祈禱時我特別紀念謝牧師謝師母
[00:01:02.000 --> 00:01:05.000]  謝牧師在來流之際
[00:01:05.000 --> 00:01:07.000]  她都非常辛苦
[00:01:07.000 --> 00:01:09.000]  求你幫助醫生的聰明智慧
[00:01:09.000 --> 00:01:11.000]  讓她有安恕
[00:01:11.000 --> 00:01:13.000]  幫助師母
[00:01:13.000 --> 00:01:15.000]  也叫她能夠減除她的痛楚
[00:01:15.000 --> 00:01:17.000]  祝福帶領他們一家
[00:01:17.000 --> 00:01:20.000]  在面臨這麼困難的時間
[00:01:20.000 --> 00:01:23.000]  特別是私人憐憫幫助他們
[00:01:23.000 --> 00:01:26.000]  也求你帶領我們今天一同敬拜你的時間
[00:01:26.000 --> 00:01:28.000]  奉耶穌基督命求,阿們
[00:01:28.000 --> 00:01:32.000]  上帝做動物有兩類
[00:01:32.000 --> 00:01:34.000]  一類是吃草的
[00:01:34.000 --> 00:01:36.000]  一類是吃肉的
[00:01:36.000 --> 00:01:40.000]  如果大家有機會看過Jurassic Park這齣戲
[00:01:40.000 --> 00:01:41.000]  你也有印象
[00:01:41.000 --> 00:01:44.000]  奉是吃草的就比較仁慈
[00:01:44.000 --> 00:01:45.000]  比較溫柔
[00:01:45.000 --> 00:01:48.000]  吃肉的就兇惡殘忍
[00:01:48.000 --> 00:01:50.000]  我們中國人
[00:01:50.000 --> 00:01:53.000]  就覺得自己是前者
[00:01:53.000 --> 00:01:55.000]  我們是吃素的
[00:01:55.000 --> 00:01:57.000]  吃菜的那一類
[00:01:57.000 --> 00:01:59.000]  我們不是吃肉的那一類
[00:01:59.000 --> 00:02:01.000]  那你說何以見得
[00:02:01.000 --> 00:02:03.000]  我們很多時候都吃雞吃牛吃羊
[00:02:03.000 --> 00:02:05.000]  你不知道嗎
[00:02:05.000 --> 00:02:07.000]  我們中國人罵人
[00:02:07.000 --> 00:02:08.000]  通常我們怎樣罵人呢
[00:02:08.000 --> 00:02:10.000]  你整個飯桶
[00:02:10.000 --> 00:02:12.000]  沒有人叫你一個肉桶
[00:02:12.000 --> 00:02:13.000]  我們叫飯桶
[00:02:13.000 --> 00:02:15.000]  還有不單止是飯桶
[00:02:15.000 --> 00:02:18.000]  我們通常會說
[00:02:18.000 --> 00:02:22.000]  我吃鹽都比你吃米多
[00:02:22.000 --> 00:02:25.000]  我吃鹽都比你吃肉多
[00:02:25.000 --> 00:02:26.000]  不會這樣說
[00:02:26.000 --> 00:02:27.000]  我們呢
[00:02:27.000 --> 00:02:28.000]  如果斯文
[00:02:28.000 --> 00:02:29.000]  或者罵你
[00:02:29.000 --> 00:02:31.000]  你住米大蟲
[00:02:31.000 --> 00:02:33.000]  不會住豬肉大蟲
[00:02:33.000 --> 00:02:35.000]  還有如果我們罵人
[00:02:35.000 --> 00:02:36.000]  斯文一點
[00:02:36.000 --> 00:02:37.000]  我們說四體不勤
[00:02:37.000 --> 00:02:38.000]  五穀不分
[00:02:38.000 --> 00:02:40.000]  我們不會說四體不勤
[00:02:40.000 --> 00:02:42.000]  雞鴨不分
[00:02:42.000 --> 00:02:44.000]  我們不會這樣說
[00:02:44.000 --> 00:02:46.000]  中國人全都是這樣
[00:02:46.000 --> 00:02:47.000]  我們一見面的時候
[00:02:47.000 --> 00:02:48.000]  我們第一句就說
[00:02:48.000 --> 00:02:50.000]  吃飯了沒有
[00:02:50.000 --> 00:02:51.000]  我們不會說
[00:02:51.000 --> 00:02:52.000]  How are you
[00:02:52.000 --> 00:02:53.000]  What's up
[00:02:53.000 --> 00:02:54.000]  不會的
[00:02:54.000 --> 00:02:55.000]  我們會說吃飯了沒有
[00:02:55.000 --> 00:02:57.000]  有時候都很奇怪
[00:02:57.000 --> 00:03:00.000]  為什麼中國人這麼喜歡說吃飯
[00:03:00.000 --> 00:03:02.000]  所以我們中國人就叫米飯人
[00:03:02.000 --> 00:03:04.000]  所以呢
[00:03:04.000 --> 00:03:06.000]  我們時常都是用米飯的
[00:03:06.000 --> 00:03:08.000]  我們叫我們丈夫做什麼
[00:03:08.000 --> 00:03:09.000]  長期飯票
[00:03:09.000 --> 00:03:13.000]  或者叫我們丈夫叫米飯班主
[00:03:13.000 --> 00:03:15.000]  出街吃飯的時候
[00:03:15.000 --> 00:03:16.000]  通常我們叫
[00:03:16.000 --> 00:03:17.000]  夥計
[00:03:17.000 --> 00:03:19.000]  給個菜牌來看看
[00:03:19.000 --> 00:03:21.000]  其實菜包裡面很多都是肉
[00:03:21.000 --> 00:03:22.000]  雞、魚
[00:03:22.000 --> 00:03:24.000]  但是我們都叫菜牌
[00:03:24.000 --> 00:03:25.000]  我都不太明白
[00:03:25.000 --> 00:03:26.000]  為什麼叫菜牌呢
[00:03:26.000 --> 00:03:28.000]  還有我們中國人
[00:03:28.000 --> 00:03:29.000]  去
[00:03:29.000 --> 00:03:32.000]  每樣都習慣吃的
[00:03:32.000 --> 00:03:33.000]  初一又吃
[00:03:33.000 --> 00:03:34.000]  十五又吃
[00:03:34.000 --> 00:03:35.000]  有朋友來都有吃
[00:03:35.000 --> 00:03:36.000]  叫洗塵
[00:03:36.000 --> 00:03:37.000]  有朋友走又要吃
[00:03:37.000 --> 00:03:38.000]  叫送客
[00:03:38.000 --> 00:03:40.000]  總之生日又吃
[00:03:40.000 --> 00:03:41.000]  死又吃
[00:03:41.000 --> 00:03:42.000]  壽宴又吃
[00:03:42.000 --> 00:03:44.000]  什麼都喜歡吃
[00:03:44.000 --> 00:03:45.000]  吃到一會兒
[00:03:45.000 --> 00:03:46.000]  這個
[00:03:46.000 --> 00:03:48.000]  還叫我們去吃東西
[00:03:48.000 --> 00:03:50.000]  整個下午吃吃吃
[00:03:50.000 --> 00:03:51.000]  吃
[00:03:51.000 --> 00:03:53.000]  我們中國人最重要是吃
[00:03:53.000 --> 00:03:55.000]  吃是很重要的
[00:03:55.000 --> 00:03:57.000]  我們是吃的一族
[00:03:57.000 --> 00:03:58.000]  吃呢
[00:03:58.000 --> 00:04:00.000]  往往是什麼呢
[00:04:00.000 --> 00:04:02.000]  有個問題在這裡
