
[00:00:00.000 --> 00:00:04.800]  各位聽眾姐妹們 平安
[00:00:04.800 --> 00:00:08.000]  出埃及記
[00:00:08.000 --> 00:00:11.760]  我們今天就會跟大家分享
[00:00:11.760 --> 00:00:16.400]  在和亞馬利人的徵戰完結之後
[00:00:16.400 --> 00:00:20.000]  以色列人接著會怎麼樣呢?
[00:00:20.000 --> 00:00:22.880]  在我們看以色列之前
[00:00:22.880 --> 00:00:26.720]  我就想跟大家介紹一個國際
[00:00:26.720 --> 00:00:30.720]  這個國際人數很少
[00:00:30.720 --> 00:00:38.720]  但這個國際有非常長的歷史在我們當中
[00:00:38.720 --> 00:00:44.720]  起碼有數百年甚至千年的歷史
[00:00:44.720 --> 00:00:48.720]  先後經歷過幾個不同的王朝
[00:00:48.720 --> 00:00:50.720]  另一方面
[00:00:50.720 --> 00:00:57.720]  有人曾經提及尼泊爾這國家有一段時間
[00:00:57.720 --> 00:00:59.720]  好像是人間天堂一樣
[00:00:59.720 --> 00:01:01.720]  國家很窮
[00:01:01.720 --> 00:01:05.720]  市民的生活其實很簡單
[00:01:05.720 --> 00:01:13.720]  但他們寧願簡簡單單都選擇做尼泊爾的國民
[00:01:13.720 --> 00:01:15.720]  有這原因
[00:01:15.720 --> 00:01:23.720]  直到有些外游遊客到這地方參觀訪問過那些人之後
[00:01:23.720 --> 00:01:29.720]  他們發覺這個貧窮落後知識水平低的國家
[00:01:29.720 --> 00:01:35.720]  他們竟然說他寧願在這樣的環境繼續生活
[00:01:35.720 --> 00:01:37.720]  不過好景不常
[00:01:39.720 --> 00:01:47.720]  當尼泊爾這國王朝進入二百多年的時候
[00:01:47.720 --> 00:01:49.720]  就開始有些轉變
[00:01:49.720 --> 00:01:57.720]  二百多年前開始王朝的轉換都有一些震蕩在當中
[00:01:57.720 --> 00:02:02.720]  另一方面很多人都未必知道
[00:02:02.720 --> 00:02:08.720]  王朝自己本身都有很多的明爭暗鬥
[00:02:08.720 --> 00:02:11.720]  目的是什麼呢?是贊助國王
[00:02:11.720 --> 00:02:15.720]  是因為這些原因有些血腥的事情發生了
[00:02:15.720 --> 00:02:19.720]  都會帶來這個國家一些震蕩
[00:02:19.720 --> 00:02:24.720]  在2006年4月21日
[00:02:24.720 --> 00:02:35.720]  尼泊爾的國王是因為連續經過示威、牙工兩個多星期
[00:02:35.720 --> 00:02:40.720]  在美國和印度的施壓下
