
[00:00:00.000 --> 00:00:06.560]  在今天這個網絡世界裏面
[00:00:06.560 --> 00:00:13.600]  其實我們經常聽到在網絡上有很多閒雜人等
[00:00:13.600 --> 00:00:18.560]  參雜在互聯網當中
[00:00:18.560 --> 00:00:28.400]  其實說到這個參雜很多不同類型的人在一個世界裏面
[00:00:28.400 --> 00:00:30.400]  這不是一個新的事情
[00:00:30.400 --> 00:00:33.120]  如果大家去看舊約聖經的時候
[00:00:33.120 --> 00:00:34.720]  當看到出埃及記
[00:00:34.720 --> 00:00:39.120]  我們會看到原來和以色列一起出埃及的時候
[00:00:39.120 --> 00:00:44.400]  同樣在當中有很多閒雜人參雜在裏面
[00:00:44.400 --> 00:00:47.760]  參雜的人其實是想怎樣做呢
[00:00:47.760 --> 00:00:49.200]  他們有什麼目的呢
[00:00:49.200 --> 00:00:50.480]  其實無他的
[00:00:50.480 --> 00:00:54.640]  他希望藉著在參雜的過程裏面
[00:00:54.640 --> 00:00:59.120]  可以得到一些益處或者從中可以
[00:00:59.120 --> 00:01:04.720]  撈取到一些他自己想得到的目的
[00:01:04.720 --> 00:01:10.480]  教會也都很自然成為很多這些有心人進入到裏面
[00:01:10.480 --> 00:01:14.640]  希望撈取一些無論在屬靈上
[00:01:14.640 --> 00:01:22.160]  以至於在實質物質上的一些撈取機會的一個場地
[00:01:22.160 --> 00:01:26.400]  雖然我們看回網絡這個世界
[00:01:26.400 --> 00:01:30.480]  其實裏面有很多居心不良的人存在在當中
[00:01:30.480 --> 00:01:34.640]  我們將這些人有時稱他為黑客
[00:01:34.640 --> 00:01:39.840]  或者我們將他用一個字眼叫吸血鬼
[00:01:39.840 --> 00:01:44.320]  這些人他們存留在網絡裏面
[00:01:44.320 --> 00:01:48.400]  基本上從而索取不同的資訊
[00:01:48.400 --> 00:01:51.920]  索取資訊有什麼重要性
[00:01:51.920 --> 00:01:53.200]  就是由他拿
[00:01:53.200 --> 00:01:53.920]  不是的
[00:01:53.920 --> 00:01:57.120]  原來在這個世界未來的發展
[00:01:57.120 --> 00:02:03.760]  不是只是單純我們看的物質上的一些財富
[00:02:03.760 --> 00:02:06.160]  反而在資訊上
[00:02:06.160 --> 00:02:10.880]  反而是成為將來世界的主要財富的來源
[00:02:10.880 --> 00:02:13.440]  甚至是你掌握到資訊
[00:02:13.440 --> 00:02:17.840]  你就可以說是掌握在這個世界未來的發展
[00:02:17.840 --> 00:02:21.760]  故此不少的公司大企業
[00:02:21.760 --> 00:02:29.360]  他們為了保障他們的資訊能夠是準確傳遞給指定的人
[00:02:29.360 --> 00:02:33.200]  或者去防止他們公司的機密
[00:02:33.200 --> 00:02:38.960]  去流向在一些不需要知或者不應該知道的人的手上的話
[00:02:38.960 --> 00:02:42.800]  就發展出了一樣的技術
[00:02:42.800 --> 00:02:47.760]  我們叫VPN Virtual Private Network
[00:02:47.760 --> 00:02:52.000]  中文叫做虛擬網絡的設計
