
[00:00:00.000 --> 00:00:03.000]  回到九龍灣其實有些很親切的感覺
[00:00:03.000 --> 00:00:06.980]  我有好幾年時間在這裡上班
[00:00:06.980 --> 00:00:10.680]  在雲光道一號 星島報業
[00:00:10.680 --> 00:00:13.760]  我在1992年離開星島
[00:00:13.760 --> 00:00:16.980]  當時我是星島晚報的總編輯
[00:00:16.980 --> 00:00:23.020]  那就回想一下從事新聞工作呢
[00:00:23.020 --> 00:00:25.980]  42年了
[00:00:25.980 --> 00:00:30.980]  自以為經歷過香港很多大事
[00:00:30.980 --> 00:00:34.980]  年輕的朋友可能都不記得
[00:00:34.980 --> 00:00:36.980]  香港回歸97
[00:00:36.980 --> 00:00:38.980]  我們經過中英會談
[00:00:38.980 --> 00:00:42.980]  當年我是去北京採訪中英會談
[00:00:42.980 --> 00:00:44.980]  記者的領袖
[00:00:44.980 --> 00:00:46.980]  經歷過基本法的草擬
[00:00:46.980 --> 00:00:48.980]  經歷過香港回歸
[00:00:48.980 --> 00:00:50.980]  沙士 很多事情
[00:00:50.980 --> 00:00:54.980]  自以為自己經歷過很多大事
[00:00:54.980 --> 00:00:59.980]  自以為自己的經驗和各方面的判斷已經去到
[00:00:59.980 --> 00:01:02.980]  基本上沒有什麼能難倒我
[00:01:02.980 --> 00:01:04.980]  我通常的分析力很強
[00:01:04.980 --> 00:01:06.980]  我的事業很廣
[00:01:06.980 --> 00:01:08.980]  人脈關係很豐富
[00:01:08.980 --> 00:01:11.980]  所以多年來我對時局的分析
[00:01:11.980 --> 00:01:13.980]  其實相當客觀
[00:01:13.980 --> 00:01:16.980]  和經常都很盡
[00:01:16.980 --> 00:01:19.980]  不過近期的社會事件
[00:01:19.980 --> 00:01:23.980]  令我感到很迷惘
[00:01:23.980 --> 00:01:26.980]  有三個問題
[00:01:26.980 --> 00:01:30.980]  我無法掌握形式
[00:01:30.980 --> 00:01:35.980]  第一 究竟這場社會風暴背後
[00:01:35.980 --> 00:01:40.980]  那個政治角力去到多深 多闊
[00:01:40.980 --> 00:01:43.980]  第一個難解是中美關係
[00:01:43.980 --> 00:01:49.980]  整天美國副總統彭斯發表一篇很長的報告
[00:01:49.980 --> 00:01:53.980]  香港人沒有詳細留意 我看了三次
[00:01:53.980 --> 00:01:57.980]  是從尼克遜時代開始
[00:01:57.980 --> 00:02:01.980]  說美國當時為什麼和中國建交
[00:02:01.980 --> 00:02:06.980]  希望將他認為野蠻的古老帝國
[00:02:06.980 --> 00:02:09.980]  改成民主 現代化
[00:02:09.980 --> 00:02:13.980]  於是給很多方便 幫中共入世等等
[00:02:13.980 --> 00:02:17.980]  但到今時今日他發覺他們搞錯了
[00:02:17.980 --> 00:02:21.980]  因為中國基本上在政治上沒有改變
[00:02:21.980 --> 00:02:24.980]  並且一步步威脅美國
[00:02:24.980 --> 00:02:30.980]  所以這場風暴背後中美角力因素去到多深
[00:02:30.980 --> 00:02:34.980]  一般人無法認知 只有估計
[00:02:34.980 --> 00:02:37.980]  外國勢力怎樣怎樣
[00:02:37.980 --> 00:02:40.980]  那個複雜情況不是我們了解到
[00:02:40.980 --> 00:02:43.980]  另一個就是兩岸關係
[00:02:43.980 --> 00:02:47.980]  但最看的陳同佳案就看到複雜性在哪裡
[00:02:47.980 --> 00:02:50.980]  第三個其實更加難解
[00:02:50.980 --> 00:02:56.980]  就是中央政府可以忍香港
[00:02:56.980 --> 00:02:58.980]  忍了一百多天
