
[00:00:00.000 --> 00:00:05.640]  天父,我們感謝你,赤下你的話語
[00:00:05.640 --> 00:00:08.600]  赤下你的預言,透過先知的手
[00:00:08.600 --> 00:00:12.000]  在很久以前已經將你的預言寫下來
[00:00:12.000 --> 00:00:15.800]  也讓我們今天有機會能夠研讀你的預言
[00:00:15.800 --> 00:00:19.480]  雖然我們不是完全明白,但是求主
[00:00:19.480 --> 00:00:23.120]  你都在這裡,讓聖靈來做教導的工作
[00:00:23.120 --> 00:00:27.520]  求主你繼續用你的話語,透過二世傑先知
[00:00:27.520 --> 00:00:31.480]  來向我們講話,將以下的時間恭敬在你手中
[00:00:31.480 --> 00:00:34.480]  求主你大齡,祈禱鳳祖日數幾多命求
[00:00:34.480 --> 00:00:35.880]  阿門
[00:00:35.880 --> 00:00:39.560]  今晚我們要看完38和39張
[00:00:39.560 --> 00:00:43.560]  上一次我們已經開始了第38張
[00:00:43.560 --> 00:00:46.040]  我們今天會繼續看38張
[00:00:46.040 --> 00:00:47.800]  我給大家的記錄裡面
[00:00:47.800 --> 00:00:52.000]  是將上一次38張記錄放在這裡
[00:00:52.000 --> 00:00:55.840]  而且再加了一些東西上去
[00:00:55.840 --> 00:01:00.080]  到36、37張的時候,我們已經看到
[00:01:00.080 --> 00:01:05.520]  上帝已經透過二世傑告訴人們
[00:01:05.520 --> 00:01:08.520]  他們有一個非常美好的將來
[00:01:08.520 --> 00:01:13.760]  雖然他們要經過很長的災難和痛苦
[00:01:13.760 --> 00:01:15.840]  他們要經過亡國
[00:01:15.840 --> 00:01:19.160]  要經過四散世界各地
[00:01:19.160 --> 00:01:22.560]  但是神有一天會將他們招聚
[00:01:22.560 --> 00:01:30.120]  而且一定會回到原來神允許給阿巴拉罕的地方
[00:01:30.120 --> 00:01:33.320]  所以他們會歸回本地
[00:01:33.320 --> 00:01:37.440]  那個預言現在正在進行當中
[00:01:37.440 --> 00:01:42.960]  他預言是說每一個猶太人將來都會回到以色列那裡
[00:01:42.960 --> 00:01:46.800]  但是今天我們看到他們已經在以色列那裡
[00:01:46.800 --> 00:01:48.520]  有自己的國家
[00:01:48.520 --> 00:01:50.720]  也有很多人開始回去
[00:01:50.720 --> 00:01:54.040]  但是現在在海外的猶太人
[00:01:54.040 --> 00:01:56.520]  是比以色列的猶太人還要多
[00:01:56.520 --> 00:01:59.920]  所以現在這個預言還沒實現
[00:01:59.920 --> 00:02:04.160]  我們正在進行當中
[00:02:04.160 --> 00:02:06.320]  然後我們也看到
[00:02:06.320 --> 00:02:12.160]  神答應他們不單只是物體帶他們回到原來的地方
[00:02:12.160 --> 00:02:15.960]  神愛以色列人,神要結證他們
[00:02:15.960 --> 00:02:19.360]  結證他們是從內心裡面工作
[00:02:19.360 --> 00:02:21.360]  我們每一個人被神結證的
[00:02:21.360 --> 00:02:23.920]  都不是外表的,不是外面的
[00:02:23.920 --> 00:02:27.840]  不是說我們開始有什麼行為
[00:02:27.840 --> 00:02:30.320]  是首先要在內心裡面
[00:02:30.320 --> 00:02:33.200]  神說他要用清水來結證他們
[00:02:33.200 --> 00:02:36.120]  然後神說他要給他們一個新的心
[00:02:36.120 --> 00:02:39.160]  這個新的心是欲的心
[00:02:39.160 --> 00:02:40.480]  是柔軟的
[00:02:40.480 --> 00:02:42.960]  是願意聽神的聲音的
[00:02:42.960 --> 00:02:46.040]  是會被神的聲音來感動
[00:02:46.040 --> 00:02:49.640]  然後他們是會遵行神的旨意的
[00:02:49.640 --> 00:02:52.520]  神會這樣來代替他們
[00:02:52.520 --> 00:02:58.320]  由第38、39章開始
[00:02:58.320 --> 00:03:03.960]  神要給他們看到將來會有一場很大的戰爭
[00:03:03.960 --> 00:03:07.000]  這場戰爭是很厲害的
[00:03:07.000 --> 00:03:11.640]  這場戰爭是很多的國圍著以色列
[00:03:11.640 --> 00:03:14.640]  但是神會出手
[00:03:14.640 --> 00:03:16.480]  神會來幫助以色列
[00:03:16.480 --> 00:03:19.040]  以色列甚至不需要同一兵一卒
[00:03:19.040 --> 00:03:21.040]  就會打贏的了,這場戰爭
[00:03:21.040 --> 00:03:23.800]  所以我這裡第一段就有說
[00:03:23.800 --> 00:03:26.160]  到底這一場的戰爭
[00:03:26.160 --> 00:03:31.640]  這個我們叫做馬國地戰爭
[00:03:31.640 --> 00:03:34.280]  有個哥格這個人
[00:03:34.280 --> 00:03:37.600]  這場戰爭是第38、39章
[00:03:37.600 --> 00:03:39.360]  是不容易明白的
[00:03:39.360 --> 00:03:40.720]  這一場的戰爭
[00:03:40.720 --> 00:03:42.960]  即使是有兩章在說
[00:03:42.960 --> 00:03:44.480]  其實都不容易明白的
[00:03:44.480 --> 00:03:46.320]  第一個問題我們要問的
