
[00:00:00.000 --> 00:00:10.320]  今天跟大家分享的經文是馬太福音第5章第21至26節
[00:00:10.320 --> 00:00:15.840]  今天的講題是從破損到修復的屬靈關係
[00:00:15.840 --> 00:00:20.800]  今天講的經文是從馬太福音第5章第21至26節
[00:00:20.800 --> 00:00:27.520]  講的經文是從破損到修復的屬靈關係
[00:00:27.520 --> 00:00:32.640]  在解釋馬太福音這本福音書的時候
[00:00:32.640 --> 00:00:35.440]  其實我已經多次跟大家分享到
[00:00:35.440 --> 00:00:40.000]  其實馬太在寫馬太福音的時候
[00:00:40.000 --> 00:00:43.840]  他有一個很強烈的舊約背景
[00:00:43.840 --> 00:00:48.320]  在他自己的編寫過程當中
[00:00:48.320 --> 00:00:52.480]  所以如果當我們去特別留意到
[00:00:52.480 --> 00:00:54.480]  在馬太福音裡面
[00:00:54.480 --> 00:00:57.920]  其實很多聖經的內容
[00:00:57.920 --> 00:00:59.520]  或者馬太的陳述
[00:00:59.520 --> 00:01:01.360]  記載回耶穌的講述
[00:01:01.360 --> 00:01:06.240]  其實都和創世記有很緊密的關係
[00:01:06.240 --> 00:01:11.520]  例如在我們剛剛所看到的馬太福音第一章的時候
[00:01:11.520 --> 00:01:13.520]  我們就已經看到
[00:01:13.520 --> 00:01:17.360]  其實這個是直接與創世記
[00:01:17.360 --> 00:01:20.880]  這個背景有很直接的關係
[00:01:20.880 --> 00:01:24.720]  所以今天我們再次來看一下
[00:01:24.720 --> 00:01:26.720]  我們所看的這段經文
[00:01:26.720 --> 00:01:33.360]  耶穌又如何再次利用創世記的內容作為他的背景
[00:01:33.360 --> 00:01:36.240]  讓我們去了解一個很重要的題目
[00:01:36.240 --> 00:01:39.680]  在這段經文裡面就談及到有關於
[00:01:39.680 --> 00:01:47.120]  第十誡第六誡裡面所提到的不可殺人這條誡命
[00:01:47.120 --> 00:01:51.440]  耶穌又如何從不可殺人這條誡命
[00:01:51.440 --> 00:01:54.800]  引申至這段經文裡面所說的
[00:01:54.800 --> 00:01:59.600]  向弟兄動怒的屬靈討論課題呢?
[00:01:59.600 --> 00:02:05.520]  這正正是我們在這段聖經要集中去看的題目
[00:02:05.520 --> 00:02:09.520]  而最終其實不只是看人與人之間的關係
[00:02:09.520 --> 00:02:13.760]  更重要的是看到人與上帝的關係
[00:02:13.760 --> 00:02:15.760]  究竟狀態是如何
[00:02:15.760 --> 00:02:20.640]  讓我們再次回到這段聖經讀一次
[00:02:20.640 --> 00:02:23.440]  希望我們能夠熟悉一下這段經文的內容
[00:02:23.440 --> 00:02:26.480]  不過這段經文其實我相信很多弟兄姊妹
[00:02:26.480 --> 00:02:32.160]  甚至可能在你自己的屬靈成長過程當中也曾經背過
[00:02:32.160 --> 00:02:36.400]  不過聖經不嚴讀得多
[00:02:36.400 --> 00:02:38.400]  我們再次一起打開
[00:02:38.400 --> 00:02:42.240]  《馬太福音》第五章第21至26節
[00:02:42.240 --> 00:02:46.720]  這也可以說是在登山補訓裡面
[00:02:46.720 --> 00:02:52.240]  一個最重要最開頭耶穌要談及的教訓
[00:02:52.240 --> 00:02:54.560]  讓我們一起打開這段聖經
[00:02:54.560 --> 00:02:56.560]  我們一起去讀
[00:02:56.560 --> 00:03:00.320]  你們聽見有吩咐古人的話說
[00:03:00.320 --> 00:03:01.760]  不可殺人
[00:03:01.760 --> 00:03:05.760]  又說凡殺人的難免受審判
[00:03:05.760 --> 00:03:07.760]  只是我告訴你們
[00:03:07.760 --> 00:03:12.560]  凡向弟兄動怒的難免受審斷
[00:03:12.560 --> 00:03:18.400]  凡罵弟兄是拉迦的難免公會的審斷
[00:03:18.400 --> 00:03:23.520]  凡罵弟兄是摩利的難免地獄的火
[00:03:23.520 --> 00:03:27.680]  所以你在祭壇上獻禮物的時候
[00:03:27.680 --> 00:03:31.200]  若想起弟兄向你懷怨
[00:03:31.200 --> 00:03:37.360]  就把禮物留在壇前先去和弟兄和好
[00:03:37.360 --> 00:03:39.360]  然後來獻禮物
[00:03:39.360 --> 00:03:43.520]  你和告你的對頭還在路上
[00:03:43.520 --> 00:03:46.320]  就趕緊與他和息
[00:03:46.320 --> 00:03:49.760]  恐怕他把你送給審判官
[00:03:49.760 --> 00:03:52.240]  審判官交付牙役
[00:03:52.240 --> 00:03:55.120]  你就下在監裡了
