
[00:00:00.000 --> 00:00:07.000]  好 大家姐妹 讓我們在聆聽主的說話
[00:00:07.000 --> 00:00:10.360]  讓我們一起再次以禱告 將我們心思意念
[00:00:10.360 --> 00:00:12.360]  交給主在我們手上
[00:00:12.360 --> 00:00:15.560]  多謝你讓我們有生命有氣息
[00:00:15.560 --> 00:00:21.160]  能夠站立在地上 經歷上帝你的創造
[00:00:21.160 --> 00:00:25.760]  明白上主你的說話 一同以敬拜仰望在你當中
[00:00:25.760 --> 00:00:29.560]  為此一連串的事情都再次獻上感恩
[00:00:29.560 --> 00:00:38.560]  求主讓我們有感恩的心 同時也要懂得以行動將感恩活出來
[00:00:38.560 --> 00:00:42.560]  向上主你的心思意念努力
[00:00:42.560 --> 00:00:52.560]  一同將請求的福音能夠藉著多方多法展示 讓人明白
[00:00:52.560 --> 00:00:57.560]  我們求你的幫助 當我們在聆聽主的啟示過程當中
[00:00:57.560 --> 00:01:04.560]  也請求你的聖靈幫助我們 準確地拿捏當中的意思
[00:01:04.560 --> 00:01:06.560]  明白上主你的心願
[00:01:06.560 --> 00:01:14.560]  好想我們人生所走的道路 是一份能夠得夢主你所喜悅的人生道路
[00:01:14.560 --> 00:01:18.560]  禱告奉靠 主耶穌基督得勝的名字 阿們
[00:01:18.560 --> 00:01:32.560]  不知道大家心中有什麼人或什麼事 恆常地牽動著你的心思和意念呢
[00:01:32.560 --> 00:01:40.560]  我曾經和一個好朋友談話的時候 因為大家都一把年紀了
[00:01:40.560 --> 00:01:51.560]  有很多事情可以討論 不過討論的題目不單只是現在做什麼
[00:01:51.560 --> 00:02:00.560]  我們還要問我們靈性上有什麼東西影響我們
[00:02:00.560 --> 00:02:05.560]  我和這個好朋友談話的時候 他跟我分享了一件事
[00:02:05.560 --> 00:02:10.560]  很多年來都沒有想過 也對我來說沒有什麼需要去想
[00:02:10.560 --> 00:02:21.560]  就是原來這麼多年來 幾十年來 最影響他的一件事就是初戀
[00:02:21.560 --> 00:02:29.560]  我覺得很有趣 為什麼他突然提到初戀這個問題呢
[00:02:29.560 --> 00:02:34.560]  我邀請大家想想你的初戀是怎樣的
[00:02:34.560 --> 00:02:42.560]  原來對於他自己做了幾十年人之後 初戀是最令人不勝難忘的事情
[00:02:42.560 --> 00:02:56.560]  而這個經歷或初戀也影響了他在往後和很多人的關係上的那種建立的模式
[00:02:56.560 --> 00:03:10.560]  雖然事情已經過了幾十年 但是初戀對於他來說 對於感情的問題和人的友情都有很大的影響
[00:03:10.560 --> 00:03:16.560]  或許他已經已婚多年 他的配偶也非常好
[00:03:16.560 --> 00:03:28.560]  但是仍然令他很細微的就是當時初戀的經歷 令他有很多的懷念和後悔
[00:03:28.560 --> 00:03:36.560]  我相信人生當中不只是初戀才叫人懷念
