
[00:00:00.000 --> 00:00:05.200]  有些feedback有些看法
[00:00:05.200 --> 00:00:08.000]  或者有些跟進都可以先提出
[00:00:08.000 --> 00:00:10.000]  有沒有現在
[00:00:10.000 --> 00:00:12.000]  還未入局
[00:00:12.000 --> 00:00:14.000]  一路入去的時候可能有
[00:00:14.000 --> 00:00:17.000]  上次就是昨天
[00:00:17.000 --> 00:00:20.000]  看完第一第二張
[00:00:20.000 --> 00:00:22.000]  現在看第三張
[00:00:22.000 --> 00:00:24.000]  第三張我們會快一點
[00:00:24.000 --> 00:00:26.000]  第三張那張21節
[00:00:26.000 --> 00:00:29.000]  保羅自己說他坐牢的
[00:00:29.000 --> 00:00:31.000]  坐牢都好說
[00:00:31.000 --> 00:00:38.000]  昨天說一開始其中一個最大重點
[00:00:38.000 --> 00:00:40.000]  其實是說上帝的
[00:00:40.000 --> 00:00:42.000]  耶穌基督不是焦點
[00:00:42.000 --> 00:00:44.000]  有說耶穌基督當然是
[00:00:44.000 --> 00:00:46.000]  因為說上帝給我們恩典
[00:00:46.000 --> 00:00:48.000]  什麼都是在耶穌基督裡面給我們
[00:00:48.000 --> 00:00:50.000]  所以一定說基督的
[00:00:50.000 --> 00:00:51.000]  但是焦點不是基督
[00:00:51.000 --> 00:00:52.000]  焦點其實是上帝
[00:00:52.000 --> 00:00:54.000]  焦點肯定不是
[00:00:54.000 --> 00:00:55.000]  有說教會
[00:00:55.000 --> 00:00:57.000]  但是焦點肯定不是教會
[00:00:57.000 --> 00:00:59.000]  不是說教會
[00:00:59.000 --> 00:01:02.000]  但是在上帝給我們恩典當中
[00:01:02.000 --> 00:01:06.000]  你會發覺教會是領受恩典的
[00:01:06.000 --> 00:01:12.000]  接受恩典的單位
[00:01:12.000 --> 00:01:15.000]  除了個人也是教會
[00:01:15.000 --> 00:01:17.000]  所以也有提教會
[00:01:17.000 --> 00:01:19.000]  尤其是說到合一
[00:01:19.000 --> 00:01:21.000]  我們一會看合一的時候
[00:01:21.000 --> 00:01:24.000]  你會發覺焦點是有教會的
[00:01:24.000 --> 00:01:26.000]  向第四章那裡
[00:01:26.000 --> 00:01:29.000]  但也有很個人的向導
[00:01:29.000 --> 00:01:31.000]  教會不是唯一
[00:01:31.000 --> 00:01:35.000]  穿上全副軍裝是個別的人需要
[00:01:35.000 --> 00:01:38.000]  每個信徒是穿上全副軍裝
[00:01:38.000 --> 00:01:41.000]  焦點也不是放在教會那裡
[00:01:41.000 --> 00:01:43.000]  所以焦點是上帝
[00:01:43.000 --> 00:01:44.000]  你看《已不所書》
[00:01:44.000 --> 00:01:47.000]  你一直無論你在讀什麼經文
[00:01:47.000 --> 00:01:50.000]  你問這段經文或者這節經文
[00:01:50.000 --> 00:01:51.000]  在說上帝什麼
[00:01:51.000 --> 00:01:52.000]  上帝做了什麼
[00:01:52.000 --> 00:01:54.000]  上帝為我們做了什麼
[00:01:54.000 --> 00:01:58.000]  他這段經文給我們看了之後
