
[00:00:00.000 --> 00:00:09.360]  今天會和大家繼續透過馬太福音分享神的話
[00:00:09.360 --> 00:00:17.600]  也能更了解馬太福音如何將耶穌的救恩逐步啟明給我們明白
[00:00:17.600 --> 00:00:23.920]  從而使我們生命更貼近上帝原本的計劃
[00:00:23.920 --> 00:00:32.240]  在每一個人的生命當中 我相信我們背負著很多不同的身份
[00:00:32.240 --> 00:00:38.320]  可能你是父母 或同時是子女
[00:00:38.320 --> 00:00:43.600]  有時我們會做別人的老師或學生
[00:00:43.600 --> 00:00:50.880]  更普遍的就是成為別人的老闆或員工
[00:00:50.880 --> 00:00:54.880]  這些身份並非獨立存在
[00:00:54.880 --> 00:01:01.280]  而是因應著我們在不同的生命當中而附加在我們的生命當中
[00:01:01.280 --> 00:01:04.400]  有些身份是我們可以選擇
[00:01:04.400 --> 00:01:08.000]  但有些身份是我們無法選擇
[00:01:08.000 --> 00:01:11.920]  因為那些身份本來就從天而賦予給我們的生命
[00:01:11.920 --> 00:01:21.120]  究竟在這些不同的身份當中 我們如何能夠使每一個身份都能夠稱職呢?
[00:01:21.120 --> 00:01:24.720]  原來就是維繫在一個很重要的因素
[00:01:24.720 --> 00:01:27.280]  就是「二」這個因素上
[00:01:27.280 --> 00:01:36.240]  這也是今天我想藉著馬太福音計算耶穌的祝福的第一章1-17節之後
[00:01:36.240 --> 00:01:38.480]  第二個我們要思想的題目
[00:01:38.480 --> 00:01:46.160]  「二」如何能夠真正在我們的生命當中開始逐步的去生根建造
[00:01:46.160 --> 00:01:49.680]  在馬太福音的寫作上
[00:01:49.680 --> 00:01:56.640]  不單止在我們先前所看到的第一章1-17節當中
[00:01:56.640 --> 00:02:04.320]  透過耶穌的祝福讓我們返回到舊約的創世記當中
[00:02:04.320 --> 00:02:08.560]  馬太福音並且要告訴我們
[00:02:08.560 --> 00:02:18.160]  耶穌基督的身份原來是建基於一個君尊的族譜的延續上
[00:02:18.160 --> 00:02:26.640]  因此當我們仔細去比較第一章1-17節和創世記的時候
[00:02:26.640 --> 00:02:29.920]  這個族譜的關係主題就非常突出
[00:02:29.920 --> 00:02:34.480]  但原來單單在馬太福音裡面的字記
[00:02:34.480 --> 00:02:39.840]  也有類似的對應和延伸的陳述
[00:02:39.840 --> 00:02:47.200]  這就是我們今天所看的第一章18-25節的這段經文
[00:02:47.200 --> 00:02:56.560]  這段經文原來在第一章1-17節成為一個對應的結構
[00:02:56.560 --> 00:03:03.280]  同樣延續到關於耶穌基督族譜這個主題的身上
[00:03:03.280 --> 00:03:09.760]  尤其是當我們仔細去看原本希臘文版本的聖經的時候
[00:03:09.760 --> 00:03:19.280]  第一章第18節裡面談及到主耶穌基督的誕生事件
[00:03:19.280 --> 00:03:24.400]  談及到誕生或者降生這個字眼Birth
[00:03:24.400 --> 00:03:30.800]  其實和第一章第一節裡面談及到家譜的字眼
[00:03:30.800 --> 00:03:33.360]  是一模一樣的同一個字眼
[00:03:33.360 --> 00:03:39.760]  而上次我們也說過族譜這個字眼在希臘文裡面
[00:03:39.760 --> 00:03:48.000]  也同樣和創世記原本希臘文的串法是一模一樣的
[00:03:48.000 --> 00:03:49.040]  Genesis
[00:03:49.040 --> 00:03:54.160]  所以讓我們看到原來不單止馬太福音的作者
[00:03:54.160 --> 00:04:02.400]  要在第一章最開頭1-17節裡面要倒影或者連接在舊約的創世記
[00:04:02.400 --> 00:04:09.040]  單單在他自己裡面也有一個倒影和延續的介紹
[00:04:09.040 --> 00:04:10.640]  告訴我們知道
[00:04:10.640 --> 00:04:17.520]  明白到耶穌基督的出生其實不單止和一個家譜這麼簡單
[00:04:17.520 --> 00:04:23.600]  其實更重要的是告訴我們知道有一個連貫的延續性
[00:04:23.600 --> 00:04:26.400]  這是一個很重要的訊息
[00:04:26.400 --> 00:04:31.840]  這個連續的身份就是一個君尊族譜的身份
[00:04:31.840 --> 00:04:34.240]  耶穌在一出生的時候
[00:04:34.240 --> 00:04:39.680]  上帝已經為他預備了一個已經既定不是由他所選擇
[00:04:39.680 --> 00:04:42.320]  是由上帝為他選擇的身份
[00:04:42.320 --> 00:04:47.280]  那麼耶穌怎麼能夠在他的身份上能夠好好運用
[00:04:47.280 --> 00:04:54.240]  並且可以成為一個普世世界的人得到拯救的這個角色呢
[00:04:54.240 --> 00:04:57.360]  這個就是今天我們所要重要去看的
[00:04:57.360 --> 00:05:00.960]  當我們繼續去看這段聖經的時候
[00:05:00.960 --> 00:05:03.120]  我們剛才已經說過了
[00:05:03.120 --> 00:05:06.640]  作者有這個延續性的介紹
[00:05:06.640 --> 00:05:11.600]  但這個延續性不只是純粹說延續一個族譜這麼簡單
[00:05:11.600 --> 00:05:16.480]  或者耶穌基督的出生背景身份這麼簡單
[00:05:16.480 --> 00:05:20.960]  原來更加重要的是要提到義這個問題
[00:05:20.960 --> 00:05:23.360]  在今天我們所看的這段聖經
[00:05:23.360 --> 00:05:25.840]  從第18至第25節裡
[00:05:25.840 --> 00:05:29.280]  很快就將這個義
[00:05:29.280 --> 00:05:31.520]  righteous這個主題
[00:05:31.520 --> 00:05:34.400]  就藉著一個人物介紹給我們知道
[00:05:34.400 --> 00:05:36.320]  這個人物就叫做約瑟
[00:05:36.320 --> 00:05:40.400]  為了我們能夠更清楚如何了解這段聖經
[00:05:40.400 --> 00:05:41.120]  不如這樣吧
[00:05:41.120 --> 00:05:43.760]  我們又再次按照慣例
[00:05:43.760 --> 00:05:46.160]  我們先讀一下這段聖經
[00:05:46.160 --> 00:05:49.200]  我們首先會以和合本的版本
[00:05:49.200 --> 00:05:52.800]  讀《馬太福音》第1章18至第25節
[00:05:52.800 --> 00:05:58.880]  然後我會為大家讀出這個英文版本的版本
[00:05:58.880 --> 00:06:01.840]  讓我們去看一下在聖經裡面
[00:06:01.840 --> 00:06:07.280]  如何將這個身份和義的關係連繫起來
[00:06:07.280 --> 00:06:10.240]  我們首先一起打開這段聖經
[00:06:10.240 --> 00:06:14.480]  《馬太福音》第1章18至第25節
[00:06:14.480 --> 00:06:16.480]  找到之後我們一起讀
[00:06:16.560 --> 00:06:21.280]  耶穌基督降生的事記在下面
[00:06:21.280 --> 00:06:25.200]  他母親瑪利亞已經許配了約瑟
[00:06:25.200 --> 00:06:27.200]  還沒有迎娶
[00:06:27.200 --> 00:06:30.480]  瑪利亞就從聖靈懷了孕
[00:06:30.480 --> 00:06:33.280]  她丈夫約瑟是個義人
[00:06:33.280 --> 00:06:36.400]  不願意明明地羞辱她
[00:06:36.400 --> 00:06:39.440]  想要暗暗地把她幽了
[00:06:39.440 --> 00:06:41.840]  正思念者事的時候
