
[00:00:00.000 --> 00:00:05.000]  各位電影觀眾朋友你們好
[00:00:05.000 --> 00:00:07.300]  歡迎大家參加我們三藩市報道會
[00:00:07.300 --> 00:00:09.300]  網上五堂崇拜
[00:00:09.300 --> 00:00:13.800]  今天我們繼續思想論盡人生系列
[00:00:13.800 --> 00:00:15.800]  第27講
[00:00:15.800 --> 00:00:21.000]  題目叫《似乎一無所有,卻是樣樣都有》
[00:00:21.000 --> 00:00:26.300]  這文是記載在哥倫多後書第六章三至十節
[00:00:26.300 --> 00:00:28.500]  未開始思想這段聖經前
[00:00:28.500 --> 00:00:31.500]  請你同心低頭,同心禱告
[00:00:31.500 --> 00:00:35.500]  賜給人一天,我們滿心感謝你
[00:00:35.500 --> 00:00:37.500]  我們能夠有機會認識你
[00:00:37.500 --> 00:00:41.500]  接受你,是何等大的福氣
[00:00:41.500 --> 00:00:48.500]  雖然有時我們覺得好像甚麼都沒有
[00:00:48.500 --> 00:00:52.500]  但其實我們是樣樣都有
[00:00:52.500 --> 00:00:55.500]  我們活在一個很幸福
[00:00:55.500 --> 00:00:59.500]  你賜給我們一個很精彩的人生當中
[00:00:59.500 --> 00:01:04.500]  教導我們用你的眼鏡來看萬事萬物
[00:01:04.500 --> 00:01:10.500]  以至我們的生命充滿感恩和快樂
[00:01:10.500 --> 00:01:12.500]  祝福帶領我們
[00:01:12.500 --> 00:01:15.500]  祈禱奉耶穌基督名求,阿們
[00:01:15.500 --> 00:01:20.500]  我總覺得人生在世有兩種不同的心態
[00:01:20.500 --> 00:01:24.500]  第一種我稱之為If的心態
[00:01:24.500 --> 00:01:26.500]  如果的心態
[00:01:26.500 --> 00:01:28.500]  舉例子
[00:01:28.500 --> 00:01:30.500]  如果我不買樓
[00:01:30.500 --> 00:01:34.500]  我就不會搞成今天負資產的痛苦
[00:01:34.500 --> 00:01:36.500]  如果我對丈夫好一點
[00:01:36.500 --> 00:01:38.500]  他就不會有外遇
[00:01:38.500 --> 00:01:41.500]  如果我不移民來美國
[00:01:41.500 --> 00:01:44.500]  我在香港早就已經發達了
[00:01:44.500 --> 00:01:46.500]  如果今天沒有來教會
[00:01:46.500 --> 00:01:49.500]  我就可以多睡一覺
[00:01:49.500 --> 00:01:53.500]  這種If的人生觀是非常苦
[00:01:53.500 --> 00:01:59.500]  只會叫人活在一個後悔苦澀埋怨當中
[00:01:59.500 --> 00:02:03.500]  另一種人生觀我稱之為No,雖然的人生觀
[00:02:03.500 --> 00:02:05.500]  雖然我面臨負資產
[00:02:05.500 --> 00:02:07.500]  但我仍感謝神
[00:02:07.500 --> 00:02:09.500]  現在仍有妻身之所
[00:02:09.500 --> 00:02:11.500]  雖然丈夫離棄我
[00:02:11.500 --> 00:02:12.500]  我仍要感謝神
[00:02:12.500 --> 00:02:15.500]  因為神和我兒女沒有離開我
[00:02:15.500 --> 00:02:18.500]  雖然我在美國並沒有發達
[00:02:18.500 --> 00:02:21.500]  但感謝神我們一家可以安居樂業
[00:02:21.500 --> 00:02:24.500]  子女亦有受教育的機會
[00:02:24.500 --> 00:02:26.500]  雖然我有些累
[00:02:26.500 --> 00:02:28.500]  但感謝神我有機會
[00:02:28.500 --> 00:02:32.500]  亦有生命氣息和弟兄姊妹一場敬拜
[00:02:32.500 --> 00:02:34.500]  這種No的人生觀
[00:02:34.500 --> 00:02:36.500]  叫我們可以存著感恩的心
[00:02:36.500 --> 00:02:38.500]  享受神所賜的一切
[00:02:38.500 --> 00:02:41.500]  哥林多後書第六章三至十節
