
[00:00:00.000 --> 00:00:06.000]  各位網友 今天我們就來看看 今天是9月4日的星期五
[00:00:06.000 --> 00:00:14.180]  星期五的主題是 如何在靈裡面 能夠在教會裡面 團契裡面 拯救教會的信仰?
[00:00:14.180 --> 00:00:20.480]  今天我們就來看看 如何在靈裡面 能夠在教會裡面 團契裡面 拯救教會的信仰?
[00:00:20.480 --> 00:00:25.520]  今天我們就來看看 如何在靈裡面 能夠在教會裡面 團契裡面 拯救教會的信仰?
[00:00:25.520 --> 00:00:31.860]  能夠在教會、在團契、在小組裡面 有一個更深的相交
[00:00:31.860 --> 00:00:34.800]  所以今天我們的主題就是更深的相交
[00:00:34.800 --> 00:00:39.540]  當我們說到相交 英文就是 fellowship 原文是 colonial
[00:00:39.540 --> 00:00:42.720]  很多時候我們想到教會的團契或者小組
[00:00:42.720 --> 00:00:46.320]  但其實這個相交有一個很深的意義在裡面
[00:00:46.320 --> 00:00:48.760]  所以我們先從幾段的經文
[00:00:48.760 --> 00:00:55.640]  來一起明白了解究竟所謂相交 colonial 的意思是什麼
[00:00:55.640 --> 00:00:59.980]  其中一個就是使徒約翰在約翰一書一章三節
[00:00:59.980 --> 00:01:04.040]  他說「我們將所看見、所聽見的傳給你們
[00:01:04.040 --> 00:01:10.720]  使你們與我們相交,我們乃是與父,並他兒子耶穌基督相交的。」
[00:01:10.720 --> 00:01:15.260]  我將相交兩個字都highlight了 因為原文就是colonial
[00:01:15.260 --> 00:01:18.640]  什麼叫做團契、什麼叫做小組生活呢?
[00:01:18.640 --> 00:01:21.940]  不是我們走在一起 其中一個很重要的條件
[00:01:21.940 --> 00:01:24.140]  就是我們有共有的生命
[00:01:24.140 --> 00:01:28.740]  我們在神裡面、在耶穌基督裡面、在聖靈裡面
[00:01:28.740 --> 00:01:32.180]  是有共有的生命 我們都是屬於神的
[00:01:32.180 --> 00:01:36.200]  並且約翰說「將我們所看見的、我所聽見的
[00:01:36.200 --> 00:01:40.080]  我從聖靈、我從神、我從基督裡面所領受的
[00:01:40.080 --> 00:01:43.500]  我與你們去分享、去溝通」
[00:01:43.500 --> 00:01:47.380]  所以相交不只是走在一起吃喝玩樂
[00:01:47.380 --> 00:01:49.700]  而是我們真的在靈裡面
[00:01:49.700 --> 00:01:54.900]  我們有經歷的、我們有領受的、我們彼此的去分享
[00:01:54.900 --> 00:01:59.540]  第二 保羅在菲律賓書第一章的第五節
[00:01:59.540 --> 00:02:02.580]  保羅說「因為從頭一天直到如今」
[00:02:02.580 --> 00:02:04.440]  他講到菲律賓教會
[00:02:04.440 --> 00:02:08.540]  「你們都是同心合二的興旺福音」
[00:02:08.540 --> 00:02:12.520]  同心合二這幾個字的原文也是colonial
[00:02:12.520 --> 00:02:16.640]  所以一個真正的團契或者真正的小組
[00:02:16.640 --> 00:02:20.520]  它不只是走在一起有一個很親密的關係
[00:02:20.520 --> 00:02:23.280]  你好我好 這個不是不重要
[00:02:23.280 --> 00:02:25.400]  但其中一個很重要的功能
[00:02:25.400 --> 00:02:27.200]  當我們走在一起的時候
[00:02:27.200 --> 00:02:31.640]  不單止我們分享在神、在聖靈、在耶穌基督裡面領受
[00:02:31.640 --> 00:02:34.340]  我們更加是一個福音的火會
[00:02:34.340 --> 00:02:37.040]  我們不單止領受種種的生命
[00:02:37.040 --> 00:02:42.780]  我們更加希望別人同樣有機會來分享這種生命
[00:02:42.780 --> 00:02:46.800]  所以我們發覺如果一個教會它只是走在一起
[00:02:46.800 --> 00:02:49.020]  你好我好 而不傳福音
[00:02:49.020 --> 00:02:51.520]  沒有了這個福音的使命
[00:02:51.520 --> 00:02:53.560]  或者一個團契或者小組也好
[00:02:53.560 --> 00:02:56.880]  無論它當時是怎樣親密也好
[00:02:56.880 --> 00:03:02.280]  其實這個教會、這個團契、這個小組都是大型的
[00:03:02.280 --> 00:03:06.340]  因為它失去了走在一起的其中一個很重要的功用
[00:03:06.340 --> 00:03:09.380]  就是我們是福音的火盆
[00:03:09.380 --> 00:03:12.280]  第三方面 《使徒行傳》第二章42節
[00:03:12.280 --> 00:03:15.720]  是描寫初期教會的時候的情景
[00:03:15.720 --> 00:03:19.340]  這個聖經說 都恆心遵守使徒的教訓
[00:03:19.340 --> 00:03:22.780]  彼此交接 抹餅祈禱
[00:03:22.780 --> 00:03:25.920]  因為彼此交接 聯盟也是共同的
[00:03:25.920 --> 00:03:28.520]  所以一個真正的團契的生活
[00:03:28.520 --> 00:03:31.140]  一個小組的生活 應該有的生活
[00:03:31.140 --> 00:03:34.680]  是能夠在真理使徒的教訓
[00:03:34.680 --> 00:03:39.280]  靈性、情感各方面都有一個很深的
[00:03:39.280 --> 00:03:42.560]  一個的契合在裏面
[00:03:42.560 --> 00:03:45.280]  這個才是真正的團契
[00:03:45.280 --> 00:03:48.680]  最後一方面 也都包括了物質
[00:03:48.680 --> 00:03:51.180]  和生活所需的分享
[00:03:51.180 --> 00:03:53.600]  在《羅馬書》12章第13節
[00:03:53.600 --> 00:03:57.480]  聖徒缺乏要幫補 幫補自己的願望
[00:03:57.480 --> 00:04:00.900]  就是conigna 客要一味的款待
