
[00:00:00.000 --> 00:00:08.280]  我們繼續思想關於活著為耶穌這個系列
[00:00:08.280 --> 00:00:11.080]  如果你打開我們的情緒單
[00:00:11.080 --> 00:00:13.560]  你看見第三頁和第四頁
[00:00:13.560 --> 00:00:16.500]  就是我們今天講到的主題和大綱
[00:00:16.500 --> 00:00:18.400]  中間有個綠色的
[00:00:18.400 --> 00:00:22.200]  如果大家方便都可以把它撕出來
[00:00:22.200 --> 00:00:27.160]  就見到兩頁就是我們今天講到的主要的大綱
[00:00:27.160 --> 00:00:30.240]  而右下角就是剛才我們所讀的聖經
[00:00:30.240 --> 00:00:32.640]  也可以看著這十節的聖經
[00:00:32.640 --> 00:00:37.480]  我們一起來思想神自己的說話
[00:00:37.480 --> 00:00:39.440]  比利前書的第三章
[00:00:39.440 --> 00:00:41.840]  我們看這十節的聖經
[00:00:41.840 --> 00:00:43.240]  剛才我們一開始讀的時候
[00:00:43.240 --> 00:00:45.840]  可能大家心裏面已經有一種共鳴
[00:00:45.840 --> 00:00:49.440]  但也有些困難或者不明白的地方
[00:00:49.440 --> 00:00:50.760]  13至1開始就說
[00:00:50.760 --> 00:00:58.120]  如果我熱心行善 有誰能害你們呢?
[00:00:58.120 --> 00:01:03.400]  如果我熱心行善 沒人可以害到我
[00:01:03.400 --> 00:01:07.360]  有經驗的人心裏面有一個很大的反應說
[00:01:07.360 --> 00:01:09.520]  不對的
[00:01:09.520 --> 00:01:12.360]  我不知道做了多少好事
[00:01:12.360 --> 00:01:17.240]  但竟然被人誤會
[00:01:17.240 --> 00:01:20.040]  其實這節的聖經
[00:01:20.040 --> 00:01:24.520]  不是好像表面我們所了解的解釋
[00:01:24.520 --> 00:01:26.720]  如果你看原來的意思就是說
[00:01:26.720 --> 00:01:29.800]  如果你們熱心行善
[00:01:29.800 --> 00:01:34.000]  誰能夠真正的害到你們呢?
[00:01:34.000 --> 00:01:38.960]  這個就展開了比利前書一直跟著下去
[00:01:38.960 --> 00:01:42.080]  差不多有兩章聖經所討論的問題
[00:01:42.080 --> 00:01:46.760]  就是我們用一個什麼態度來看我們所受的苦
[00:01:46.760 --> 00:01:49.640]  比利前書當然它的讀者當時
[00:01:49.640 --> 00:01:51.640]  也都受了很多的苦
[00:01:51.640 --> 00:01:54.440]  作為基督徒在羅馬帝國裏面
[00:01:54.440 --> 00:01:56.160]  受到羅馬帝國的迫害
[00:01:56.160 --> 00:01:58.600]  大家知道有300年的時間
[00:01:58.600 --> 00:02:01.840]  是受到甚至死亡的恐嚇
[00:02:01.840 --> 00:02:05.200]  信主的為了信仰的緣故
[00:02:05.200 --> 00:02:08.600]  要受到很大的慘痛被殺
[00:02:08.600 --> 00:02:12.320]  甚至很殘酷的被殺
[00:02:12.320 --> 00:02:17.320]  在獅子的兜售場裏面被野獸咬死
[00:02:17.320 --> 00:02:20.240]  甚至因為信仰的緣故
[00:02:20.240 --> 00:02:22.840]  這些全部都是好的事情
[00:02:22.840 --> 00:02:28.560]  為了信仰行善竟然會受苦
[00:02:28.560 --> 00:02:30.120]  會不會呢? 會
[00:02:30.120 --> 00:02:33.520]  我們當然不會像他們當日那樣
[00:02:33.520 --> 00:02:35.760]  受到這麼大的痛苦
