
[00:00:00.000 --> 00:00:08.000]  今晚我們要查的是以西傑書的第四和第五章
[00:00:08.000 --> 00:00:12.720]  大家記得在上幾堂我們查過第一至第三章
[00:00:12.720 --> 00:00:16.640]  就是講到上帝呼召以西傑來做先知
[00:00:16.640 --> 00:00:21.360]  第一章我們看到上帝先是讓他看到一些異象
[00:00:21.360 --> 00:00:23.040]  是沒有跟他說話的
[00:00:23.040 --> 00:00:28.720]  先讓他看到魂啊 看到四活物啊 又看到四個輪子啊
[00:00:28.720 --> 00:00:32.160]  到最後的時候呢 神就開始跟他說話了
[00:00:32.160 --> 00:00:37.760]  到了第二章第三章的時候呢 就是神對他的呼召
[00:00:37.760 --> 00:00:44.480]  讓他出來做先知 那兩章是完全是上帝跟他說話的
[00:00:44.480 --> 00:00:48.400]  我們發覺以西傑一直都沒有出聲的
[00:00:48.400 --> 00:00:53.840]  現在我們來到第四章開始呢 就是以西傑開始做先知
[00:00:53.840 --> 00:00:56.560]  先知就是神的出口
[00:00:56.560 --> 00:01:02.640]  就是神給他話語 透過他來跟以色列人說話
[00:01:02.640 --> 00:01:06.960]  第四章和第五章呢 當我們一會查的時候
[00:01:06.960 --> 00:01:12.160]  你可能會有一個感覺就是 嘩 上帝為什麼這麼嚴厲的
[00:01:12.160 --> 00:01:19.520]  他對那些以色列人的審判 那個警告是這麼嚴厲的
[00:01:19.520 --> 00:01:29.920]  你可能會有一個感覺就是 嘩 神好像是對那些以色列人毫不留情的樣子
[00:01:29.920 --> 00:01:32.960]  但是我們一定要明白那個背景呢
[00:01:32.960 --> 00:01:39.280]  首先就是以色列人已經幾千年都是很活躍的
[00:01:39.280 --> 00:01:44.480]  所以是令到神很生氣的 如果所有的民族當中呢
[00:01:44.480 --> 00:01:53.440]  最認識神 最應該來感謝神 敬拜神 是應該是猶太的民族
[00:01:53.440 --> 00:01:57.840]  因為神是揀選了他 神是介入了猶太人的歷史
[00:01:57.840 --> 00:02:03.520]  神在過去一直帶領他們 去到埃及那裡又帶領他們出來埃及
[00:02:03.520 --> 00:02:08.480]  經過曠野 進到迦南地 專門將那個地賜給他們
[00:02:08.480 --> 00:02:14.080]  所以上帝在猶太人當中呢 是有很大的恩典在那裡
[00:02:14.080 --> 00:02:17.440]  但是猶太人是一個很頑固的民族
[00:02:17.440 --> 00:02:22.320]  我們有時候不知道為什麼神要揀選一個這麼頑固的民族
[00:02:22.320 --> 00:02:25.280]  我們會說不如揀選我們中國人吧
[00:02:25.280 --> 00:02:27.600]  不過我們中國人都是很頑固的
[00:02:27.600 --> 00:02:35.120]  猶太人就是一直是活躍神 一直都是不聽神的話
[00:02:35.120 --> 00:02:38.400]  一直都是迫害神所差拜來的才知道
[00:02:38.400 --> 00:02:40.400]  我們看他的歷史
[00:02:40.400 --> 00:02:44.960]  所羅門之後 以色列是分開北國和南國
[00:02:44.960 --> 00:02:52.400]  北國的特點就是他那二百多年 每一個皇帝都是惡的皇帝
[00:02:52.400 --> 00:02:57.440]  惡的意思就是他們都是離棄神 都是帶領人民拜偶像
[00:02:57.440 --> 00:03:03.840]  所以神就在主前七百二十二年滅了以色列國
[00:03:03.840 --> 00:03:11.280]  那十個支派被擄到亞述 之後四散在世界各地
[00:03:11.280 --> 00:03:14.320]  再沒有回到迦南地
[00:03:14.320 --> 00:03:19.200]  南國就是首都耶路撒冷
[00:03:19.200 --> 00:03:23.520]  南國當中是有一些好的皇帝
[00:03:23.520 --> 00:03:26.640]  所以神給多一百三十六年他
[00:03:26.640 --> 00:03:31.040]  但是他們都是活躍神的 一樣是離棄神的
[00:03:31.040 --> 00:03:38.960]  所以在主前五百八十六年 神是用巴比倫的手來滅了南國
[00:03:38.960 --> 00:03:42.880]  分三次把他們擄到巴比倫那裡
[00:03:42.880 --> 00:03:46.080]  第一次我們都知道是但爾里
[00:03:46.080 --> 00:03:50.880]  他們有少數的人先被擄到巴比倫
[00:03:50.880 --> 00:03:54.240]  然後第二批大概有一萬人左右
[00:03:54.240 --> 00:03:57.280]  以色列都是在他們當中
[00:03:57.520 --> 00:04:03.280]  而第三次就是第二次被擄之後大概十二年之後
[00:04:03.280 --> 00:04:11.040]  尼泊爾夾尼撒王親自出征到耶路撒冷圍攻
[00:04:11.040 --> 00:04:17.440]  然後滅了南國 把所有的人都擄到巴比倫那裡
[00:04:17.440 --> 00:04:24.320]  以色列先知早了十幾年就已經被擄到巴比倫
[00:04:24.320 --> 00:04:27.280]  然後他在那裡等了五年時間
[00:04:27.280 --> 00:04:29.840]  神呼召他做先知之後
[00:04:29.840 --> 00:04:35.200]  距離南國被滅還有大概六年七年左右的時間
[00:04:35.200 --> 00:04:39.440]  但是在那段時間有很多假先知在那裡
[00:04:39.440 --> 00:04:44.720]  假先知就告訴人們說沒事的了 你們快可以回去了
[00:04:44.720 --> 00:04:50.000]  神是不會令耶路撒冷被外邦人所滅的
[00:04:50.000 --> 00:04:54.640]  因為那裡有上帝的聖殿 是上帝所在的地方
[00:04:54.640 --> 00:04:59.520]  怎麼會出事呢 你們一定是沒事的 很快就會回去的了
[00:04:59.520 --> 00:05:05.040]  所以神要興起以西傑做先知來到全港神的話
[00:05:05.040 --> 00:05:09.600]  是告訴人們不是的
[00:05:09.600 --> 00:05:14.240]  你們的懲罰你們的審判就快要來到了
[00:05:14.240 --> 00:05:19.920]  如果你們再不悔改整個耶路撒冷會不僅被圍困
[00:05:19.920 --> 00:05:25.200]  而且會被消滅 連聖殿都不能保留
[00:05:25.200 --> 00:05:30.560]  這個信息是神要很清楚透過以前以塞亞
[00:05:30.560 --> 00:05:35.920]  現在透過以西傑來得很清楚的告訴以色列人
[00:05:35.920 --> 00:05:38.480]  就是他們必然會受到審判
[00:05:38.480 --> 00:05:42.880]  因為他們離棄耶和華和拜偶像
[00:05:42.880 --> 00:05:48.480]  他們不僅不是很快就可以回到耶路撒冷那裡
[00:05:48.480 --> 00:05:51.920]  而且整個耶路撒冷幾年之後就會失陷
[00:05:51.920 --> 00:05:56.000]  全部的國民都會被擄來巴比倫這裡
[00:05:56.000 --> 00:05:58.240]  聖殿也會被毀的
[00:05:58.240 --> 00:06:02.240]  所以以西傑書第四章一開始的時候
[00:06:02.240 --> 00:06:06.960]  神就吩咐以西傑要用四個行動
[00:06:06.960 --> 00:06:12.400]  我叫這些行動做有表徵性的行動
[00:06:12.400 --> 00:06:16.560]  神叫他好像演戲一樣做出來
[00:06:16.560 --> 00:06:20.720]  這四個行動都是公開給人看到的
[00:06:20.720 --> 00:06:26.000]  所以不是說他在房間裡關上門來做這些的
[00:06:26.000 --> 00:06:30.080]  而是很可能在他門口外面
[00:06:30.080 --> 00:06:32.960]  很多人走過很多人看到
[00:06:32.960 --> 00:06:40.240]  然後他們會明白以西傑在做這些行動的時候
[00:06:40.240 --> 00:06:43.360]  那個意思是他們會明白的
[00:06:43.360 --> 00:06:47.520]  所以我們來看一下第四章
[00:06:47.520 --> 00:06:52.720]  第四章一開始我們先看第一節到第三節
[00:06:52.720 --> 00:06:54.480]  我讀給大家聽
[00:06:54.480 --> 00:06:55.680]  第一節開始
[00:06:55.680 --> 00:06:57.040]  人子啊
[00:06:57.040 --> 00:06:59.520]  這個我們上兩次都有說
[00:06:59.520 --> 00:07:01.760]  以西傑書的一個特點就是
[00:07:01.760 --> 00:07:06.160]  神是稱呼以西傑做人子
[00:07:06.160 --> 00:07:11.840]  在舊約除了是但爾里有一次被稱呼為人子之外
[00:07:11.840 --> 00:07:16.960]  只有以西傑一直被神稱呼做人子
[00:07:16.960 --> 00:07:22.400]  然後到主耶穌在新約那裡自稱是人子
[00:07:22.400 --> 00:07:25.360]  所以以西傑書很特別的地方就是
[00:07:25.360 --> 00:07:28.320]  當神呼叫以西傑的時候
[00:07:28.320 --> 00:07:30.320]  是稱他做人子
[00:07:30.320 --> 00:07:32.320]  第一節說人子啊
[00:07:32.320 --> 00:07:36.800]  你要拿一塊磚擺在你面前
[00:07:36.800 --> 00:07:41.920]  將一座耶路撒冷的城劃在其上
[00:07:41.920 --> 00:07:46.560]  當時在巴比倫還沒有紙
[00:07:46.560 --> 00:07:49.920]  他們寫東西他們記錄他們畫東西
[00:07:49.920 --> 00:07:53.760]  就是用一些泥燒了它做一塊磚
[00:07:53.760 --> 00:07:58.560]  然後在那塊磚上面寫字或者是來畫畫的
[00:07:58.560 --> 00:08:03.200]  所以神在這裡叫以西傑要拿一塊磚
[00:08:03.200 --> 00:08:06.400]  然後將耶路撒冷城牆
[00:08:06.400 --> 00:08:09.600]  整個城劃在磚上面
[00:08:09.600 --> 00:08:13.360]  第二節說你畫的時候要怎樣呢?
[00:08:13.360 --> 00:08:15.360]  要圍困者城
[00:08:15.360 --> 00:08:17.360]  造台捉侶
[00:08:17.360 --> 00:08:19.360]  安營攻擊
[00:08:19.360 --> 00:08:22.960]  在四圍安設撞鎚攻城
[00:08:22.960 --> 00:08:26.720]  所以叫他畫耶路撒冷那幅圖畫
[00:08:26.720 --> 00:08:29.200]  就是他們在這裡被圍困
[00:08:29.200 --> 00:08:31.200]  被敵人攻擊
[00:08:31.200 --> 00:08:34.640]  在撞他的城牆
[00:08:34.640 --> 00:08:36.640]  在攻擊他
[00:08:36.640 --> 00:08:38.640]  第三節
[00:08:38.640 --> 00:08:42.480]  第三節說又要拿鐵鵝
[00:08:42.480 --> 00:08:44.480]  這個字是讀鵝
[00:08:44.480 --> 00:08:46.480]  好像叫鵝的鵝
[00:08:46.480 --> 00:08:48.480]  放在你和城的中間
[00:08:48.480 --> 00:08:50.480]  作為一個鐵牆
[00:08:50.480 --> 00:08:54.880]  你要對面攻擊這城
[00:08:54.880 --> 00:08:56.880]  使城被困
[00:08:56.880 --> 00:09:01.920]  這樣很叫以色列家的預兆
[00:09:01.920 --> 00:09:03.920]  很作以色列家的預兆
[00:09:03.920 --> 00:09:10.000]  這三節就是神吩咐以色列家要做的第一件事
[00:09:10.000 --> 00:09:18.640]  就是先將這些磚塊畫了耶路撒冷四面被敵人攻擊的情況
[00:09:18.640 --> 00:09:23.120]  然後神要以色列家拿一個鐵鵝
[00:09:23.120 --> 00:09:25.120]  這個鐵鵝是什麼呢?
[00:09:25.120 --> 00:09:28.880]  這個鐵鵝其實就是一個平底的鑊
[00:09:28.880 --> 00:09:33.360]  這個鑊以色列家應該很熟悉
[00:09:33.360 --> 00:09:37.520]  因為以色列從小被訓練做祭司
[00:09:37.520 --> 00:09:41.520]  而這個鐵鵝平底的鑊
[00:09:41.520 --> 00:09:46.160]  就是在聖殿裏做一個工具
[00:09:46.160 --> 00:09:50.800]  請大家看我給大家的講義第25頁
[00:09:50.800 --> 00:09:56.080]  有講到三節的經文都是在利美記裏出來的
[00:09:56.080 --> 00:09:57.520]  我讀給大家聽
[00:09:57.520 --> 00:10:01.200]  利美記第二章第五節說
[00:10:01.200 --> 00:10:06.320]  若用鐵鵝上作的物為素製
[00:10:06.320 --> 00:10:10.160]  就要用調油的模烤細面
