
[00:00:00.000 --> 00:00:06.160]  我曾經說過我會用兩次的崇拜
[00:00:06.160 --> 00:00:11.840]  和大家一起檢討一下你和神的關係
[00:00:11.840 --> 00:00:16.640]  看看我們和神的關係在什麼狀態當中
[00:00:16.640 --> 00:00:20.640]  當我們檢討我們和神的關係的時候
[00:00:20.640 --> 00:00:24.080]  我們記住這個關係不是抽象的
[00:00:24.080 --> 00:00:26.080]  也不是只有理論的
[00:00:26.080 --> 00:00:28.720]  因為神是一位很真很活的神
[00:00:28.720 --> 00:00:33.680]  所以我們和神的關係不是單單在頭腦裡明白的
[00:00:33.680 --> 00:00:35.680]  而是我們真的經驗得到
[00:00:35.680 --> 00:00:40.880]  這種關係當然和我們人與人之間的關係有少許不同
[00:00:40.880 --> 00:00:43.280]  因為我們肉眼看不到神
[00:00:43.280 --> 00:00:49.200]  但是絕對不會只是一個抽象的不真實的關係
[00:00:49.200 --> 00:00:53.360]  所以我們要了解我們要體會的時候
[00:00:53.360 --> 00:00:56.080]  我們需要多一點想像
[00:00:56.080 --> 00:00:58.080]  想像不是幻想
[00:00:58.080 --> 00:01:00.880]  我們怎麼想像呢
[00:01:00.880 --> 00:01:02.880]  我們的神真的很好
[00:01:02.880 --> 00:01:06.800]  我們的神在聖經裡知道我們有限制人
[00:01:06.800 --> 00:01:09.440]  得得那麼多明白那麼多
[00:01:09.440 --> 00:01:15.120]  所以他在我們人生我們能夠認識的關係裡
[00:01:15.120 --> 00:01:21.040]  我覺得他特別找了四種最親切的關係
[00:01:21.040 --> 00:01:23.600]  那些關係我們都經驗過我們都知道
[00:01:23.600 --> 00:01:28.960]  又用這些關係讓我們可以類比和神建立同樣的關係
[00:01:28.960 --> 00:01:30.960]  是不是很好 他真的很好
[00:01:30.960 --> 00:01:34.800]  我們上一次和大家影像其中兩種
[00:01:34.800 --> 00:01:37.520]  和大家講過在聖經裡
[00:01:37.520 --> 00:01:40.720]  在思想的就是神說我是你的父親
[00:01:40.720 --> 00:01:45.200]  神說我也可以成為你最親切的情人
[00:01:45.200 --> 00:01:48.640]  今天我們再講多兩個聖經裡
[00:01:48.640 --> 00:01:56.960]  特意選擇讓我們能夠和神建立一個很親切的人際關係裡的類比
[00:01:56.960 --> 00:02:01.440]  一個就是神說我是你的知己朋友
[00:02:01.440 --> 00:02:08.480]  第二個神說我是你人生的導師或者人生的師父
[00:02:08.480 --> 00:02:12.320]  我們一起來思想一下這兩種的關係
[00:02:12.320 --> 00:02:16.800]  用聖經的說話成為我們的挑戰提醒
[00:02:16.800 --> 00:02:21.600]  也檢討一下你和神的關係在什麼狀態當中
[00:02:21.600 --> 00:02:23.600]  我們打開我們的心思想
[00:02:23.600 --> 00:02:28.080]  神說我是你的知己朋友
[00:02:28.080 --> 00:02:31.680]  當神說我是你的知己朋友的時候
[00:02:31.680 --> 00:02:35.520]  其實還有一個跟著要告訴我們的
[00:02:35.520 --> 00:02:40.320]  就是神說我也期待你成為我的知己朋友
[00:02:40.320 --> 00:02:42.320]  不單止我是你的知己朋友
[00:02:42.320 --> 00:02:44.320]  剛才那段聖經我們讀過
[00:02:44.320 --> 00:02:46.320]  你就會留意得到
[00:02:46.320 --> 00:02:49.280]  在約翰福音第十三章那裡
[00:02:49.280 --> 00:02:53.680]  其實記載了耶穌基督要離開門徒了
[00:02:53.680 --> 00:02:54.800]  要上十字架了
[00:02:54.800 --> 00:02:57.840]  在最後要講的最珍貴的說話裡
[00:02:57.840 --> 00:03:02.960]  祂突然間提出了一種新的期待和新的關係
[00:03:02.960 --> 00:03:05.440]  這個關係耶穌用了一個字來表達
[00:03:05.440 --> 00:03:07.440]  就是朋友
[00:03:07.440 --> 00:03:12.000]  耶穌說我不再稱你們為僕人
[00:03:12.000 --> 00:03:14.800]  因為僕人不知道主人所作的事
[00:03:14.800 --> 00:03:18.960]  然後祂說我已經稱你們為朋友
[00:03:18.960 --> 00:03:22.480]  因為我從我父那裡所聽到的一切
[00:03:22.480 --> 00:03:24.480]  都已經告訴你們了
[00:03:24.480 --> 00:03:30.960]  耶穌說我現在是你們的朋友
[00:03:30.960 --> 00:03:33.680]  我不知道你有什麼感覺
[00:03:33.680 --> 00:03:37.200]  我拿著這段聖經思想預備的時候
[00:03:37.200 --> 00:03:40.000]  我心裡越想越感動
[00:03:40.000 --> 00:03:43.040]  我想到這位天地的主宰
[00:03:43.040 --> 00:03:45.600]  那位偉大的宇宙的主宰
[00:03:45.600 --> 00:03:48.000]  竟然願意和我做朋友
[00:03:48.000 --> 00:03:50.000]  我真的是誰啊
[00:03:50.000 --> 00:03:51.520]  但就是如此
[00:03:51.520 --> 00:03:53.040]  就是這樣的事實
[00:03:53.040 --> 00:03:54.400]  我們真的不配
[00:03:54.400 --> 00:03:56.720]  但他就是這樣去苦咒我們
[00:03:56.720 --> 00:03:58.480]  願意來我降卑
[00:03:58.480 --> 00:04:00.080]  和我們做平輩
[00:04:00.080 --> 00:04:01.680]  做我
[00:04:01.680 --> 00:04:03.520]  做你的朋友
[00:04:03.520 --> 00:04:04.720]  這個耶穌親口說的
[00:04:04.720 --> 00:04:05.920]  如果不是他親口說的
[00:04:05.920 --> 00:04:07.280]  我們都不會相信
[00:04:07.280 --> 00:04:08.480]  我們都不敢說
[00:04:08.480 --> 00:04:09.680]  都不敢想
[00:04:09.680 --> 00:04:11.680]  但事實上就是這樣
[00:04:11.680 --> 00:04:14.480]  不過在這裡我們再看下去的時候
[00:04:14.480 --> 00:04:18.080]  這段話還加深了更深刻的意思
[00:04:18.080 --> 00:04:20.320]  我和大家一起畫下去
[00:04:20.320 --> 00:04:22.880]  當主耶穌說
[00:04:22.880 --> 00:04:25.600]  人為朋友寫明
[00:04:25.600 --> 00:04:28.720]  人的愛心沒有比這個更大
[00:04:28.720 --> 00:04:29.760]  最偉大的愛
[00:04:29.760 --> 00:04:31.200]  是犧牲的愛
[00:04:31.200 --> 00:04:33.520]  就是像我一樣
[00:04:33.520 --> 00:04:34.880]  當你們是朋友
[00:04:34.880 --> 00:04:36.480]  甚至為你們寫明
[00:04:36.480 --> 00:04:40.000]  明眼人或者讀聖經熟悉的
[00:04:40.000 --> 00:04:42.800]  你馬上會想起其實耶穌有另外一個地方
[00:04:42.800 --> 00:04:44.400]  像樣的說了這樣的話
[00:04:44.400 --> 00:04:47.040]  不過有了不同的說法和角色
[00:04:47.040 --> 00:04:49.600]  就是他前面的第十章說
[00:04:49.600 --> 00:04:51.760]  我是好木人
[00:04:51.760 --> 00:04:52.800]  跟著什麼
[00:04:52.800 --> 00:04:55.360]  好木人為羊寫明
[00:04:55.360 --> 00:04:56.640]  一樣
[00:04:56.640 --> 00:04:58.240]  耶穌說我為你寫明
[00:04:58.240 --> 00:05:00.880]  就好像木羊人為羊寫明
[00:05:00.880 --> 00:05:03.040]  現在我又將一個新的方向
[00:05:03.040 --> 00:05:03.840]  告訴你
[00:05:03.840 --> 00:05:06.000]  我好像當你是朋友
[00:05:06.000 --> 00:05:07.200]  兩脅插刀
[00:05:07.200 --> 00:05:09.120]  我為你犧牲我生命
[00:05:09.120 --> 00:05:11.440]  這樣的朋友為你寫明
[00:05:11.440 --> 00:05:13.840]  不過當我們比較這兩個的時候
[00:05:13.840 --> 00:05:16.160]  其實有一個不同的層次
