
[00:00:00.000 --> 00:00:05.440]  好 第一節讓我們在聆聽主的說話
[00:00:05.440 --> 00:00:08.200]  以至於我們再次同心 低頭 禱告
[00:00:08.200 --> 00:00:09.400]  讓我主愛的神
[00:00:09.400 --> 00:00:14.680]  護神多謝你讓我們能夠再次回到你的啟示當中
[00:00:14.680 --> 00:00:18.080]  去明白上主你的作為
[00:00:18.080 --> 00:00:21.680]  並且能夠透過你的作為
[00:00:21.680 --> 00:00:25.880]  讓我們看到上帝對人的心思
[00:00:25.880 --> 00:00:27.480]  特別是你的選民
[00:00:27.480 --> 00:00:31.800]  他們如何在上帝當中看顧保守
[00:00:31.800 --> 00:00:33.280]  求你的帶領
[00:00:33.280 --> 00:00:36.680]  讓我們在今天的訊息當中
[00:00:36.680 --> 00:00:38.680]  在你經文裏面
[00:00:38.680 --> 00:00:45.480]  再次好好在信徒上建立得更加穩固
[00:00:45.480 --> 00:00:48.880]  能夠讓我們看到上帝對我們的看顧
[00:00:48.880 --> 00:00:52.080]  是何等的無微不至
[00:00:52.080 --> 00:00:53.680]  問題的是
[00:00:53.680 --> 00:00:57.680]  我們對上主你有否同樣的心思意念
[00:00:57.680 --> 00:00:59.680]  求你的帶領
[00:00:59.680 --> 00:01:01.680]  幫助我們每一個
[00:01:01.680 --> 00:01:06.680]  無論先上的先下的每一個弟兄姊妹
[00:01:06.680 --> 00:01:09.080]  都能夠在上主你的當中
[00:01:09.080 --> 00:01:14.680]  能夠明白建立一個永恆與主你親密的關係
[00:01:14.680 --> 00:01:18.280]  禱告奉靠主耶穌基督得勝靈至求
[00:01:18.280 --> 00:01:19.280]  阿們
[00:01:21.280 --> 00:01:26.280]  當一個人進入了一個頭痕至散的狀態
[00:01:26.280 --> 00:01:29.880]  而加上忽然之間有一些
[00:01:29.880 --> 00:01:32.880]  真的讓我們覺得很費解
[00:01:32.880 --> 00:01:35.480]  亦都好像落入一個
[00:01:35.480 --> 00:01:39.280]  完全是出了我們自己能力
[00:01:39.280 --> 00:01:43.280]  能夠去掌握的未來的境況之下
[00:01:43.280 --> 00:01:47.480]  我們的選擇是會怎樣呢
[00:01:47.480 --> 00:01:50.880]  最近有一句說話
[00:01:50.880 --> 00:01:54.280]  我經常聽到不少人說
[00:01:54.280 --> 00:01:55.880]  就是說
[00:01:55.880 --> 00:02:00.280]  如果當你看到有些人
[00:02:00.280 --> 00:02:06.280]  你不能糾正他的錯誤的話
[00:02:06.280 --> 00:02:11.880]  而他的錯誤也會伸延到你的生命生活的時候
[00:02:11.880 --> 00:02:16.280]  你不如參與他們一份子
[00:02:16.280 --> 00:02:18.480]  英文就是說
[00:02:18.480 --> 00:02:21.480]  If you cannot defeat him
[00:02:21.480 --> 00:02:24.480]  then you join him
[00:02:24.480 --> 00:02:29.080]  但以你來到他這個時間
[00:02:29.080 --> 00:02:33.680]  活在白沙薩王的時期
[00:02:33.680 --> 00:02:39.280]  他正處於一個頭痕至散的狀態
[00:02:39.280 --> 00:02:41.080]  他有沒有同樣
[00:02:41.080 --> 00:02:44.080]  好像今天很多人這種思維
[00:02:44.080 --> 00:02:47.080]  既然我都不能夠抗拒
[00:02:47.080 --> 00:02:52.080]  我所面對一個這麼可怕的世界
[00:02:52.080 --> 00:02:54.480]  我不如就join他們一起
[00:02:54.480 --> 00:02:56.880]  參與他們其中一份子
[00:02:56.880 --> 00:02:59.080]  在這個世界裏面打滾
[00:02:59.080 --> 00:03:01.480]  或許這樣我的生命生活
[00:03:01.480 --> 00:03:06.280]  就會過得更加輕鬆和順暢呢
[00:03:06.280 --> 00:03:08.680]  這個正正就是今天
[00:03:08.680 --> 00:03:10.880]  為什麼我會用這個題目
[00:03:10.880 --> 00:03:14.280]  來命名這一堂訊息
[00:03:14.280 --> 00:03:17.480]  真是時不我與嗎
[00:03:17.480 --> 00:03:21.280]  是不是真的我們活在一個時代
[00:03:21.280 --> 00:03:26.680]  已經不是支持我們在這個世界裏面生活
[00:03:26.680 --> 00:03:28.480]  而是反過來
[00:03:28.480 --> 00:03:31.480]  這個世界的發展已經進入了一個
[00:03:31.480 --> 00:03:34.280]  反人性反道德
[00:03:34.280 --> 00:03:35.680]  甚至最重要的是
[00:03:35.680 --> 00:03:38.880]  反上帝的道理的世界裏面
[00:03:38.880 --> 00:03:42.280]  我們既然不能夠改變這個世界
[00:03:42.280 --> 00:03:47.480]  我們就不如跟隨這個世界這樣走
[00:03:47.480 --> 00:03:50.480]  所以讓我們今天透過這段聖經
[00:03:50.480 --> 00:03:52.280]  我們一起戴上一對
[00:03:52.280 --> 00:03:54.680]  和但以利一樣的眼睛
[00:03:54.680 --> 00:03:58.480]  以及他同樣的一個靈性
[00:03:58.480 --> 00:04:01.480]  來看看他怎樣去體驗到
[00:04:01.480 --> 00:04:03.680]  看到一連串的異象
[00:04:03.680 --> 00:04:08.480]  為他帶來一些大堆的震撼的經驗
[00:04:08.480 --> 00:04:12.880]  他在當中仍然抱持一個什麼的態度
[00:04:12.880 --> 00:04:15.080]  讓我們一起再回到這段聖經
[00:04:15.080 --> 00:04:17.080]  我們一起去讀一次好嗎
[00:04:17.080 --> 00:04:19.280]  但以利書第七章
[00:04:19.280 --> 00:04:22.480]  從第九節至到第十四節
[00:04:22.480 --> 00:04:24.280]  讓我們一起先了解一下
[00:04:24.280 --> 00:04:25.680]  這段經文的內容
[00:04:25.680 --> 00:04:27.280]  說些什麼好嗎
[00:04:27.280 --> 00:04:29.880]  找到之後我們一起讀
[00:04:29.880 --> 00:04:32.280]  我觀看
[00:04:32.280 --> 00:04:34.880]  見有寶座設立
[00:04:34.880 --> 00:04:38.880]  上後坐著耿鼓常在者
[00:04:38.880 --> 00:04:42.280]  他的衣服潔白如雪
[00:04:42.280 --> 00:04:45.680]  頭髮如純淨的羊毛
[00:04:45.680 --> 00:04:47.880]  寶座乃火焰
[00:04:47.880 --> 00:04:50.480]  麒麟乃烈火
[00:04:50.480 --> 00:04:52.880]  從他面前有火
[00:04:52.880 --> 00:04:54.880]  將火發出
[00:04:54.880 --> 00:04:57.680]  侍奉他的有千千
[00:04:57.680 --> 00:05:01.080]  在他面前設立的有萬萬
[00:05:01.080 --> 00:05:04.280]  他坐著要行審判
[00:05:04.280 --> 00:05:07.080]  案卷都展開了
[00:05:07.080 --> 00:05:09.080]  那時我觀看
[00:05:09.080 --> 00:05:14.680]  見那獸有小個說誇大話的聲音被殺
[00:05:14.680 --> 00:05:16.880]  身體損壞
[00:05:16.880 --> 00:05:19.880]  仍在火中焚燒
[00:05:19.880 --> 00:05:23.880]  其餘的獸權並都被奪去
[00:05:23.880 --> 00:05:26.680]  生命卻仍存留
[00:05:26.680 --> 00:05:29.880]  直到鎖定的時候和日期
[00:05:29.880 --> 00:05:33.680]  我在夜間的異象中觀看
[00:05:33.680 --> 00:05:36.480]  見有一位匠人子的
[00:05:36.480 --> 00:05:38.880]  駕著天雲而來
