
[00:00:00.000 --> 00:00:07.200]  各位政協姐妹 平安 新年快樂
[00:00:07.200 --> 00:00:11.860]  新年的時候 人家恭喜你什麼呢?
[00:00:11.860 --> 00:00:16.420]  我想今天在香港 人人都會聽到
[00:00:16.420 --> 00:00:23.360]  恭喜發財 九馬亨通 生意興隆 龍精虎猛
[00:00:23.360 --> 00:00:27.960]  樣樣的東西離不開身體的健康
[00:00:27.960 --> 00:00:35.080]  財富的繼續不斷增加 一切的東西順利
[00:00:35.080 --> 00:00:41.960]  我今天會繼續和大家分享 人家國的GPS
[00:00:41.960 --> 00:00:47.040]  十屆裡面 我們已經完成了七屆
[00:00:47.040 --> 00:00:51.560]  讓大家看到 到底我們今天活在這個世界上
[00:00:51.560 --> 00:00:56.480]  一個國家的存在 家族的存在 人的存在
[00:00:56.480 --> 00:01:00.760]  最重要的是什麼呢? 就是到底我們生下來
[00:01:00.760 --> 00:01:06.520]  最終我們的GPS 人生的路線圖
[00:01:06.520 --> 00:01:09.800]  人生的目的到底是什麼?
[00:01:09.800 --> 00:01:14.080]  到底什麼路是對的路 什麼路是錯的路
[00:01:14.080 --> 00:01:17.040]  走錯的路帶來的結果會怎樣?
[00:01:17.040 --> 00:01:20.960]  走對的路帶來的結果又會怎樣?
[00:01:20.960 --> 00:01:27.680]  今天我們會去到最後一講 就是去到十屆裡最後的三屆
[00:01:27.680 --> 00:01:31.960]  它的主題就是「最由心生」
[00:01:31.960 --> 00:01:36.160]  我們今天來看看文明法治的社會
[00:01:36.160 --> 00:01:40.840]  我相信在過去裡面 是從未發生過的事
[00:01:40.840 --> 00:01:46.840]  在香港 去年香港網上投資受騙的案件
[00:01:46.840 --> 00:01:55.200]  有5135宗 涉款是35.8億
[00:01:55.200 --> 00:02:00.120]  是上升了58.4%
[00:02:00.120 --> 00:02:06.400]  人類越是進步 網上的理財越是普及
[00:02:06.400 --> 00:02:11.440]  大家騙案就是越多 你不知不覺的當中
[00:02:11.440 --> 00:02:17.720]  原來銀行的錢可以沒了 蒸發了的 是被人調走了的 為什麼?
[00:02:17.720 --> 00:02:25.560]  一不小心 人類就會沒了你自己的銀行戶口
[00:02:25.560 --> 00:02:33.520]  強行的把你的八達通也好 各方面的東西也好
[00:02:33.520 --> 00:02:37.200]  好像是當是他自己的一樣
[00:02:37.200 --> 00:02:45.400]  所以你的MasterCard 各方面的信用卡隨時都可以冒認
[00:02:45.400 --> 00:02:53.240]  然後那些錢就源源不絕地去了他們要去的地方
[00:02:53.240 --> 00:02:59.600]  而這個地方一拿了錢之後 戶口就馬上消失
[00:02:59.600 --> 00:03:09.360]  我們回顧去年一年 平均每宗的騙案損失58萬港幣
[00:03:09.360 --> 00:03:12.840]  我們看這個叫做小毛
[00:03:12.840 --> 00:03:19.400]  接著我們去看一個比較大的毛 緬甸的KK源
[00:03:19.400 --> 00:03:27.240]  緬甸的KK源已經運作了幾年的時間 都是網上的
[00:03:27.240 --> 00:03:32.680]  然後他的招來就是用各種不同的方法廣告
[00:03:32.680 --> 00:03:40.040]  是高薪聘用東南亞上班 年薪可以超過100萬
[00:03:40.040 --> 00:03:44.880]  網上投資的生意找人來幫你投資
[00:03:44.880 --> 00:03:48.920]  告訴你最少可以賺到多少
[00:03:48.920 --> 00:03:53.680]  另一方面也是找人來介紹一些少女
[00:03:53.680 --> 00:03:58.480]  去到那個地方有一些筍工來給他們
[00:03:58.480 --> 00:04:05.120]  他們入了局之後 少男少女或者他們很想發達的這些人
[00:04:05.120 --> 00:04:11.080]  去到那個地方做什麼呢 就是要幫忙參與他們的騙局
[00:04:11.080 --> 00:04:17.080]  是網上來招一些他們熟的人 不熟不做 是熟的人才做
[00:04:17.080 --> 00:04:26.200]  告訴他們現在想投資入股在這些地方 你會有好處的
[00:04:26.200 --> 00:04:31.400]  開始的時候可能會有兩次好處 突然間有這麼高的訊息
[00:04:31.400 --> 00:04:38.600]  然後接下來那些錢逐步逐步就全部去到這個地方
[00:04:38.600 --> 00:04:45.880]  參與裡面工作的這些受騙者 如果他們賺到錢
[00:04:45.880 --> 00:04:50.600]  就繼續不斷去做下去 賺不到錢的時候
[00:04:50.600 --> 00:04:55.480]  他就逐日計你每日的開支是一萬元美金
[00:04:55.480 --> 00:04:58.600]  你的住你的食是一萬元美金
[00:04:58.600 --> 00:05:01.600]  是因為這樣的緣故有些人做著做著不想做了
[00:05:01.600 --> 00:05:07.280]  你就要還債 如果不是的時候你就要買新
[00:05:07.280 --> 00:05:18.480]  熟你自己出來 而這個熟你出來大大話話幾十萬 甚至一百萬 百幾萬
[00:05:18.480 --> 00:05:23.480]  另一方面就是那些女孩子去到那個地方來工作的時候
[00:05:23.480 --> 00:05:29.680]  如果他們網騙的方面不是他們的專才 不是他們的所長
[00:05:29.680 --> 00:05:36.280]  他們就要找一些人去到這個地方做什麼呢 賣淫
[00:05:36.280 --> 00:05:45.080]  有生意他就讓你繼續做下去 沒有生意他就有各種不同的方法來處置你
[00:05:45.080 --> 00:05:50.080]  所以對著那個地方來打工的人 你賺不到錢給過他們的時候
[00:05:50.080 --> 00:05:56.680]  隨時會被虐打到死 死了之後將你的器官賣掉
[00:05:56.680 --> 00:06:01.880]  他們是用這樣的方法來發財
[00:06:01.880 --> 00:06:09.480]  另一方面來說打死了賣器官 沒死就出錢贖身
[00:06:09.480 --> 00:06:15.680]  直到後來幾個國家聯合起來一起對付
[00:06:15.680 --> 00:06:20.480]  那為什麼會這樣呢 原來緬甸這個KK園
[00:06:20.480 --> 00:06:27.280]  不只是一些商人在做一些騙人的工作
[00:06:27.280 --> 00:06:33.080]  原來有軍政府 在緬甸方面有軍隊的人
[00:06:33.080 --> 00:06:39.080]  泰國也有參與 柬埔寨也有參與 打通了整個打聾通
[00:06:39.080 --> 00:06:44.880]  那些人介紹去那個地方的時候 想脫身都脫不了
[00:06:44.880 --> 00:06:51.680]  是因為這樣的緣故 他們的財富被捆綑而來
[00:06:51.680 --> 00:07:00.480]  我們看到到底這個KK園在過去藉著一些這樣犯法的行徑
[00:07:00.480 --> 00:07:07.480]  到底賺了騙了多少錢呢 大大話話審他的官
[00:07:07.480 --> 00:07:15.680]  加起來就控他們是騙了各國的百姓 特別是中國人為主
[00:07:15.680 --> 00:07:21.280]  是十二兆六千億六千三百億
[00:07:21.280 --> 00:07:29.880]  換句話說是十二萬萬六千三百億 這麼多的人民幣
[00:07:29.880 --> 00:07:32.680]  所以因為這樣的緣故 我們乍言
[00:07:32.680 --> 00:07:38.080]  我們整個人都感覺到到底這些人是什麼人
[00:07:38.080 --> 00:07:43.080]  主謀是透過幾個國家的聯合行動
[00:07:43.080 --> 00:07:53.080]  中國 緬甸 泰國 一切的行動就拘捕了這個主謀
[00:07:53.080 --> 00:07:59.280]  他的名字叫做蛇治國 現在就在審問當中
[00:07:59.280 --> 00:08:03.280]  而最近審出來的結果是被判死刑
[00:08:03.280 --> 00:08:06.680]  我們看得見是非常嚴重
[00:08:06.680 --> 00:08:12.080]  但另一方面 原來這個都不是最嚴重
[00:08:12.080 --> 00:08:16.480]  那個比較上都是叫做小謀
[00:08:16.480 --> 00:08:21.680]  我們今天要介紹一個是大謀 給大家認識一下
[00:08:21.680 --> 00:08:28.480]  這個大謀是美國人 這個人真是厲害
[00:08:28.480 --> 00:08:34.480]  他的騙局是騙到全球各地的政要
[00:08:34.480 --> 00:08:40.480]  甚至總統 所有國家的外交人員
[00:08:40.480 --> 00:08:46.480]  他們的首相等等 還有那些名人有錢的人
[00:08:46.480 --> 00:08:51.080]  天天都被騙入局
[00:08:51.080 --> 00:08:57.880]  令人震驚的是這個人擁有好幾個不同地方的度假村
[00:08:57.880 --> 00:09:05.880]  六星級的酒店 在這個酒店裡招待各個不同的政要
[00:09:05.880 --> 00:09:11.280]  那些有錢的客人 你可以這樣說
[00:09:11.280 --> 00:09:18.880]  意想不到的英國的王子入局 柏林頓總統入局
[00:09:18.880 --> 00:09:24.880]  然後美國的現任總統 同樣另上關係
[00:09:24.880 --> 00:09:33.880]  而其他歐洲各國的總領事 大使館人員
[00:09:33.880 --> 00:09:40.880]  和一些有錢的人員 一一上當
[00:09:40.880 --> 00:09:44.880]  這種案已經審了幾年
[00:09:44.880 --> 00:09:50.880]  他的審是因為一班媽媽 他們的女兒
[00:09:50.880 --> 00:09:55.880]  甚至有些受害人 是因為被騙到那些地方
[00:09:55.880 --> 00:09:59.880]  甚至是未成年的時候被騙到那些地方
[00:09:59.880 --> 00:10:08.880]  去被逼 去被強姦 來做這個淫亂的生意
[00:10:08.880 --> 00:10:16.880]  過了幾年 審的人越來越多加入這個賤圈
[00:10:16.880 --> 00:10:22.880]  告訴他們 這種案一定要為他們平反
[00:10:22.880 --> 00:10:40.880]  接著我們去到現任的總統 他終於願意將這個淫蟲叫做Epstein
[00:10:40.880 --> 00:10:51.880]  他願意將他那些案件 所有得著的那些東西 去暴露出來 曝光
