
[00:00:00.000 --> 00:00:06.840]  我們翠玉視團今天晚上舉行這個講座
[00:00:06.840 --> 00:00:12.360]  是屬於我們「講清講楚」系列裡面其中一個講座
[00:00:12.360 --> 00:00:15.040]  顧名思義「講清講楚」
[00:00:15.040 --> 00:00:18.200]  就是我們希望能夠透過這個講座
[00:00:18.200 --> 00:00:23.720]  我們盡量去尋求究竟這方面的真理是怎麼回事的
[00:00:23.720 --> 00:00:27.400]  所以我們希望藉著今天晚上的講完
[00:00:27.400 --> 00:00:31.240]  和大家的提問我們彼此來交流
[00:00:31.240 --> 00:00:35.160]  讓我們對這個問題有更加深的認識
[00:00:35.160 --> 00:00:37.880]  我們開始今晚的講座之前
[00:00:37.880 --> 00:00:40.560]  當然第一件事很歡迎大家來
[00:00:40.560 --> 00:00:43.040]  外面大風大雨
[00:00:43.040 --> 00:00:46.000]  但是大家都很有心很想追求
[00:00:46.000 --> 00:00:48.440]  來到這裡參加這個講座
[00:00:48.440 --> 00:00:52.520]  又要大家很辛苦地排隊排一大輪
[00:00:52.520 --> 00:00:54.400]  我們其實都非常抱歉
[00:00:54.400 --> 00:00:58.360]  不過場地始終都是7點鐘才可以交給我們
[00:00:58.360 --> 00:01:00.520]  這裡就沒有辦法的
[00:01:00.520 --> 00:01:02.640]  我們開始之前第二件事
[00:01:02.640 --> 00:01:07.480]  我想我們先請我們兩位的講員量一量尚
[00:01:07.480 --> 00:01:09.760]  首先我們請溫偉業博士
[00:01:09.760 --> 00:01:11.720]  都是大家很熟悉的
[00:01:11.720 --> 00:01:17.320]  另外一位是鄺振權博士
[00:01:17.320 --> 00:01:18.320]  我們請鄺博士
[00:01:22.840 --> 00:01:25.360]  我們都非常多謝我們兩位的講員
[00:01:25.360 --> 00:01:27.560]  溫博士大家都非常熟悉
[00:01:27.560 --> 00:01:30.480]  他是我們視團的團長
[00:01:30.480 --> 00:01:35.880]  而鄺博士是我們這次特別請他來幫我們回應的
[00:01:35.880 --> 00:01:38.640]  鄺博士是哈佛大學的理學士
[00:01:38.640 --> 00:01:41.800]  現在是城市大學出版社的總編輯
[00:01:41.800 --> 00:01:45.400]  非常高興他們在我們當中和我們分享
[00:01:45.400 --> 00:01:48.600]  我們一起首先有一個禱告
[00:01:48.600 --> 00:01:51.840]  陳偉晨我們感謝你給我們一個追求的心
[00:01:51.840 --> 00:01:53.920]  我們的內心可能有很多的問題
[00:01:53.920 --> 00:01:57.520]  但這些問題都不成為我們來信仰你
[00:01:57.520 --> 00:01:59.000]  來敬拜你
[00:01:59.000 --> 00:02:01.960]  來跟隨你的一個一個的攔阻
[00:02:01.960 --> 00:02:04.360]  這些問題成為我們生命的動力
[00:02:04.360 --> 00:02:06.360]  來希望更加了解你
[00:02:06.360 --> 00:02:08.080]  更加接近你
[00:02:08.080 --> 00:02:09.680]  求主你恩待我們
[00:02:09.680 --> 00:02:11.560]  今天晚上藉著我們的講員
[00:02:11.560 --> 00:02:13.360]  藉著我們彼此的思考
[00:02:13.360 --> 00:02:14.760]  彼此的交流
[00:02:14.760 --> 00:02:16.680]  彼此來學習
[00:02:16.680 --> 00:02:19.520]  一同來明白聖經裏面的真理
[00:02:19.520 --> 00:02:23.080]  明白亞當是不是原始人這個問題
[00:02:23.080 --> 00:02:24.560]  求你真是來恩待我們
[00:02:24.560 --> 00:02:25.680]  帶領我們
[00:02:25.680 --> 00:02:27.040]  讓我們有一個
[00:02:27.040 --> 00:02:28.920]  各人有這個謙卑的心
[00:02:28.920 --> 00:02:31.080]  來一同在你面前去領受
[00:02:31.080 --> 00:02:33.520]  願主你真是與我們眾人來同在
[00:02:33.520 --> 00:02:36.160]  奉耶穌基督的名求
[00:02:36.160 --> 00:02:39.040]  我們首先請鄺博士
[00:02:39.040 --> 00:02:41.000]  我們今天會用一些聖經
[00:02:41.000 --> 00:02:44.080]  所以如果你有聖經就可以拿出來
[00:02:44.080 --> 00:02:46.600]  尤其是舊約
[00:02:46.600 --> 00:02:49.120]  我們會查一些舊約的經文
[00:02:49.120 --> 00:02:50.840]  尤其是創世紀
[00:02:50.840 --> 00:02:52.240]  如果你沒有聖經
[00:02:52.240 --> 00:02:53.680]  不要緊與旁邊的人一同看
[00:02:53.680 --> 00:02:54.200]  好嗎
[00:02:54.200 --> 00:02:57.760]  或者前面教會的桌子裏面有的
[00:02:57.760 --> 00:03:00.120]  我們可以一同拿出來看
[00:03:00.120 --> 00:03:02.800]  基本上就著我所寫出來的
[00:03:02.800 --> 00:03:04.320]  這個講義的大綱
[00:03:04.320 --> 00:03:07.440]  一路和大家分享和思想
[00:03:07.440 --> 00:03:09.600]  其他的程序的編排
[00:03:09.600 --> 00:03:10.760]  大家都可以看到
[00:03:10.760 --> 00:03:12.320]  我們不會再解釋了
[00:03:12.320 --> 00:03:13.960]  講清講楚系列
[00:03:13.960 --> 00:03:17.360]  主要是我們都很感覺到
[00:03:17.360 --> 00:03:22.240]  我們基督徒要有勇氣去面對一些真理
