
[00:00:00.000 --> 00:00:06.440]  今天我們的題目是當孝敬父母
[00:00:06.440 --> 00:00:09.400]  我看都不用背了 每個人都很熟悉
[00:00:09.400 --> 00:00:11.720]  生命記五章第十六節
[00:00:11.720 --> 00:00:14.480]  實際出埃及的二十章都有一個版本
[00:00:14.480 --> 00:00:17.320]  兩個都是說當孝敬父母
[00:00:17.320 --> 00:00:20.520]  開始說一個故事
[00:00:20.520 --> 00:00:23.920]  話說有一個猶太婆婆
[00:00:23.920 --> 00:00:29.080]  她差不多年紀了 快離世了
[00:00:29.080 --> 00:00:32.160]  叫一個拉比來見她
[00:00:32.160 --> 00:00:34.680]  拉比來到就問婆婆
[00:00:34.680 --> 00:00:39.080]  你有沒有遺囑或你想做的事
[00:00:39.080 --> 00:00:42.320]  婆婆說我想兩件事
[00:00:42.320 --> 00:00:44.320]  第一件事我要火葬
[00:00:44.320 --> 00:00:47.840]  拉比實際猶太人不是經常火葬
[00:00:47.840 --> 00:00:51.040]  很奇怪 火葬就火葬
[00:00:51.040 --> 00:00:54.840]  第二件事我想拿骨灰
[00:00:54.840 --> 00:00:58.000]  火葬之後放在Bloomingdale
[00:00:58.000 --> 00:01:02.120]  Bloomingdale是一個購物中心
[00:01:02.120 --> 00:01:05.080]  拉比就很奇怪 為什麼要放在那裡
[00:01:05.080 --> 00:01:10.400]  她說這樣的話 女兒最低限度一年會有兩次來探望我
[00:01:10.400 --> 00:01:13.320]  大家這樣聽都知道
[00:01:13.320 --> 00:01:14.920]  不用聽這個道理都知道
[00:01:14.920 --> 00:01:16.920]  這個不是孝敬父母
[00:01:16.920 --> 00:01:18.920]  這個不是孝敬父母
[00:01:18.920 --> 00:01:21.960]  那不是孝敬父母 什麼叫孝敬父母呢
[00:01:21.960 --> 00:01:22.960]  今天就說一下
[00:01:22.960 --> 00:01:27.760]  雖然我是用生命記五章十六節來說
[00:01:27.760 --> 00:01:29.040]  當孝敬父母
[00:01:29.040 --> 00:01:32.680]  但那裡不夠讓我們明白什麼叫孝敬父母
[00:01:32.680 --> 00:01:34.680]  所以我會說一下其他經文
[00:01:34.680 --> 00:01:37.560]  第一個經文我會說的是
[00:01:37.560 --> 00:01:39.560]  《針研一章第八節》
[00:01:39.560 --> 00:01:40.840]  這裡說得很清楚
[00:01:40.840 --> 00:01:47.920]  針研一章第八節我們需要聽從父母的教導
[00:01:47.920 --> 00:01:53.840]  在猶太人的文獻裡
[00:01:53.840 --> 00:01:56.360]  父母是有責任的
[00:01:56.360 --> 00:01:59.400]  他們有責任教導子女
[00:01:59.400 --> 00:02:01.720]  第一件事要教導他們的就是托拉
[00:02:01.720 --> 00:02:03.720]  我們說的聖經
[00:02:03.720 --> 00:02:05.160]  他們有責任要教導的
[00:02:05.160 --> 00:02:11.400]  第二件事就是帶領兒女進入信仰群體
[00:02:11.400 --> 00:02:13.400]  如果是我們就說來教會
[00:02:13.400 --> 00:02:14.600]  帶他們來教會
[00:02:14.600 --> 00:02:17.600]  他們信仰群體就是他們的會堂
[00:02:17.600 --> 00:02:22.480]  第三 幫助他們得到經濟的獨立
[00:02:22.480 --> 00:02:24.480]  如果我們今天來說
[00:02:24.480 --> 00:02:26.480]  就是供書教學
[00:02:26.480 --> 00:02:29.120]  讓他們以後可以找工作
[00:02:29.120 --> 00:02:33.320]  還有教他們生存的技巧
[00:02:33.320 --> 00:02:35.320]  你猜到嗎
[00:02:35.320 --> 00:02:37.320]  我相信你不會猜到我在想什麼
[00:02:37.320 --> 00:02:39.320]  例如游泳
[00:02:39.320 --> 00:02:41.320]  學游泳
[00:02:41.320 --> 00:02:43.320]  下水要游泳
[00:02:43.320 --> 00:02:46.240]  生存技巧簡單到可以學游泳
[00:02:46.240 --> 00:02:50.960]  最後教他們如何融入社群裡
[00:02:50.960 --> 00:02:52.960]  和別人相處
[00:02:52.960 --> 00:02:54.960]  所以從猶太人的角度來看
[00:02:54.960 --> 00:02:58.640]  一個父母是真的有責任的
[00:02:58.640 --> 00:03:00.640]  責任是教導
[00:03:00.640 --> 00:03:02.640]  剛才你們聽到的就是不同的教導
[00:03:02.640 --> 00:03:04.640]  他們很嚴格說真的要聽的
[00:03:04.640 --> 00:03:06.640]  因為摩西律法
[00:03:06.640 --> 00:03:10.640]  生命紀21章18到21節說
[00:03:10.640 --> 00:03:16.640]  如果一個不聽話的兒子叛逆
[00:03:16.640 --> 00:03:21.640]  父母可以帶他去城門口
[00:03:21.640 --> 00:03:24.640]  叫長老把他處死
[00:03:24.640 --> 00:03:26.640]  聽到是不是覺得很嚴格呢
[00:03:26.640 --> 00:03:28.640]  是很嚴格的
[00:03:28.640 --> 00:03:30.640]  不過你記住
[00:03:30.640 --> 00:03:35.640]  同一時間父母是沒有生死權柄的
[00:03:35.640 --> 00:03:37.640]  有時候我們可能會想
[00:03:37.640 --> 00:03:39.640]  我生你出
[00:03:39.640 --> 00:03:41.640]  你是我兒子
[00:03:41.640 --> 00:03:43.640]  或者你是我女兒
[00:03:43.640 --> 00:03:47.640]  你的生命實在在我手裡
[00:03:47.640 --> 00:03:48.640]  實際不是的
[00:03:48.640 --> 00:03:50.640]  根據聖經說是不行的
[00:03:50.640 --> 00:03:52.640]  因為生命紀21章18到21節
[00:03:52.640 --> 00:03:56.640]  父母明顯覺得兒子是叛逆的
[00:03:56.640 --> 00:03:58.640]  他也不可以處死兒子
[00:03:58.640 --> 00:04:01.640]  他要帶他去城門口或村門口
[00:04:01.640 --> 00:04:02.640]  一群長老
[00:04:02.640 --> 00:04:04.640]  即是老一些的人
[00:04:04.640 --> 00:04:06.640]  有些經驗的
