
[00:00:00.000 --> 00:00:06.000]  我們又會繼續講《雅歌》
[00:00:06.000 --> 00:00:10.000]  我曾經以前都和大家講過
[00:00:10.000 --> 00:00:12.000]  我講到每講一部書
[00:00:12.000 --> 00:00:16.000]  講完之後我都會深深地愛上這部書
[00:00:16.000 --> 00:00:18.000]  《雅歌》亦都不例外
[00:00:18.000 --> 00:00:22.000]  我發覺我自己真的愛上了這部書
[00:00:22.000 --> 00:00:25.000]  今日要和大家講的題目就是
[00:00:25.000 --> 00:00:28.000]  從聖經看婚姻的情趣
[00:00:28.000 --> 00:00:35.000]  這是聖經教導我們婚姻應該有什麼樣的情趣
[00:00:35.000 --> 00:00:39.000]  很多人都會覺得神是很古板
[00:00:39.000 --> 00:00:41.000]  古賣拋篩
[00:00:41.000 --> 00:00:44.000]  見到人開心見到人快樂
[00:00:44.000 --> 00:00:48.000]  他就不值得要去禁止要去阻止
[00:00:48.000 --> 00:00:52.000]  但其實是神是很希望我們是開心快樂
[00:00:52.000 --> 00:00:58.000]  神是很希望在婚姻的生活裏面
[00:00:58.000 --> 00:01:03.000]  開心的時候有情趣在婚姻裏面
[00:01:03.000 --> 00:01:05.000]  如果大家記得的話
[00:01:05.000 --> 00:01:09.000]  上次和大家講了所羅門王和舒拉蜜
[00:01:09.000 --> 00:01:13.000]  在他們的婚姻裏面出現了問題
[00:01:13.000 --> 00:01:16.000]  他們兩個開始吵架
[00:01:16.000 --> 00:01:20.000]  而所羅門王就因為這樣不辭而別
[00:01:20.000 --> 00:01:22.000]  走了出去
[00:01:22.000 --> 00:01:27.000]  舒拉蜜因為這樣瘋狂地去找所羅門王
[00:01:27.000 --> 00:01:32.000]  最後她想起所羅門王會在哪裏
[00:01:32.000 --> 00:01:36.000]  就是在她自己的原址裏面牧羊群羊
[00:01:36.000 --> 00:01:39.000]  所以她就去原址找所羅門王
[00:01:39.000 --> 00:01:41.000]  就真的被她找到了
[00:01:41.000 --> 00:01:43.000]  她很熟悉所羅門王
[00:01:43.000 --> 00:01:46.000]  找到了之後
[00:01:46.000 --> 00:01:51.000]  所羅門王立刻歡迎舒拉蜜向她表示愛意
