
[00:00:00.000 --> 00:00:05.260]  其實在大學的制度 我比較喜歡中大多一點的
[00:00:05.260 --> 00:00:08.540]  中大的方式就是叫做Self-Directed Studies (自我主導學習)
[00:00:08.540 --> 00:00:16.360]  Self-Directed就是你自己的導向 你自己想學的東西 你發展你學下去
[00:00:16.360 --> 00:00:22.820]  這次我們試一下 頭20分鐘是用自己的思想去做的
[00:00:22.820 --> 00:00:30.460]  他們今天聽到今天的主題 紛亂的城市裏面的模樣
[00:00:30.460 --> 00:00:33.820]  你會問什麼呢?我首先搜集一下
[00:00:33.820 --> 00:00:37.060]  一來你有一個目的 聽下去
[00:00:37.060 --> 00:00:39.580]  第二就是你看一下其他參加者
[00:00:39.580 --> 00:00:43.980]  為什麼他問的那些東西 我沒有想過可以這樣想
[00:00:43.980 --> 00:00:47.020]  這樣問也好 有沒有人想過這樣問
[00:00:47.020 --> 00:00:53.060]  有沒有人想試一下?歡迎 歡迎
[00:00:53.060 --> 00:00:56.060]  兩個都要拍手掌
[00:00:56.060 --> 00:01:00.100]  我不回答了 還有沒有其他人想問的東西呢?
[00:01:00.100 --> 00:01:04.900]  沒有重複想問的 你很快 一分鐘想了兩條
[00:01:04.900 --> 00:01:08.540]  有沒有呢?有 有 有 這邊 好
[00:01:08.540 --> 00:01:12.580]  好 謝謝 謝謝
[00:01:12.580 --> 00:01:15.780]  好 謝謝 謝謝
[00:01:15.780 --> 00:01:21.280]  十個了 夠了沒有呢?
[00:01:21.280 --> 00:01:25.380]  如果將來有班房 每個人問完之後
[00:01:25.380 --> 00:01:30.820]  節目主持人會抽一個同學的名字 你回答他
[00:01:30.820 --> 00:01:37.500]  沒有人會睡的 其實很好的 為什麼呢?
[00:01:37.500 --> 00:01:42.260]  每個人都擁有答案的部分 每個人都有的
[00:01:42.260 --> 00:01:44.820]  你不會沒有的 不過你不知道全部
[00:01:44.820 --> 00:01:48.820]  我也不知道全部 但是當你從一點開始
[00:01:48.820 --> 00:01:51.900]  你突然間會刺激到 最重要是什麼呢?
[00:01:51.900 --> 00:01:55.540]  就是剛才回答的裡面 你最欣賞哪個同學呢?
[00:01:55.540 --> 00:01:58.740]  然後大家學什麼呢?就是你怎麼想出來的呢?
[00:01:58.740 --> 00:02:01.020]  最有興趣的就是一件事
[00:02:01.020 --> 00:02:04.100]  為什麼答案在你說的時候
[00:02:04.100 --> 00:02:06.820]  可以考慮到這麼多東西呢?
[00:02:06.820 --> 00:02:10.540]  甚至到真的出其不意 組織得這麼好
[00:02:10.540 --> 00:02:12.540]  你剛才我又坐在這裡 你又坐在那裡
[00:02:12.540 --> 00:02:15.220]  你怎麼想出來的呢?找這些是重要的
[00:02:15.220 --> 00:02:18.220]  找這些是重要的 就是說戲中有戲
[00:02:18.220 --> 00:02:20.460]  除了今天回答這個主題之外
[00:02:20.460 --> 00:02:23.900]  那個學生的學習者 他知道怎麼學的
[00:02:23.900 --> 00:02:26.300]  就是他懂得怎麼學 是吧?
[00:02:26.300 --> 00:02:28.980]  因為問題是全世界講完都講不完的
[00:02:28.980 --> 00:02:32.940]  但是要訓練一個青年人 他懂得怎麼想
[00:02:32.940 --> 00:02:34.980]  從起步開始 那是很好的
[00:02:34.980 --> 00:02:38.860]  不如你問我 我聽完之後
[00:02:38.860 --> 00:02:42.660]  我一定會覺得可以回答你的部分
[00:02:42.660 --> 00:02:44.660]  但是問題是我的構思就是
[00:02:44.660 --> 00:02:48.580]  我一定不可以馬上 我自己都滿意的
[00:02:48.580 --> 00:02:50.380]  但是當然我會先回答你
[00:02:50.380 --> 00:02:53.460]  但是可能我刺激了你 接著來了
[00:02:53.460 --> 00:02:55.660]  你可能會告訴我
[00:02:55.660 --> 00:02:59.220]  不是的 我有一次是這樣 那就很精彩了
[00:02:59.220 --> 00:03:01.900]  因為如果做一個深入的討論
[00:03:01.900 --> 00:03:04.620]  這個是現在這個時代的人需要的
[00:03:04.620 --> 00:03:07.780]  所以你會懷疑 為什麼教會很少青年人
[00:03:07.780 --> 00:03:10.020]  斷層不回來呢?
