
[00:00:00.000 --> 00:00:04.000]  因為最近一些恐襲的事件
[00:00:04.000 --> 00:00:08.000]  有些人都提起
[00:00:08.000 --> 00:00:14.000]  如果這個世界全部的人都是同一個宗教
[00:00:14.000 --> 00:00:18.000]  全部的人都是同一個種族
[00:00:18.000 --> 00:00:24.000]  會不會是世界太平呢?
[00:00:24.000 --> 00:00:27.000]  我想問大家
[00:00:28.000 --> 00:00:30.000]  有多少人認為
[00:00:30.000 --> 00:00:35.000]  如果全人類全部只有一個種族
[00:00:35.000 --> 00:00:37.000]  一種膚色
[00:00:37.000 --> 00:00:39.000]  這個世界就會太平
[00:00:39.000 --> 00:00:42.000]  有多少人認為是對的?
[00:00:42.000 --> 00:00:45.000]  一個都沒有
[00:00:45.000 --> 00:00:47.000]  有多少人認為
[00:00:47.000 --> 00:00:50.000]  如果全部的人都是信同一個宗教
[00:00:50.000 --> 00:00:52.000]  舉個例子
[00:00:52.000 --> 00:00:54.000]  全世界的人都是基督徒
[00:00:54.000 --> 00:00:56.000]  這個世界就沒有紛爭了
[00:00:56.000 --> 00:00:58.000]  有多少人同意的?
[00:00:58.000 --> 00:01:00.000]  舉手
[00:01:00.000 --> 00:01:02.000]  有些
[00:01:02.000 --> 00:01:04.000]  很少而已
[00:01:04.000 --> 00:01:07.000]  我就是想問一個問題
[00:01:07.000 --> 00:01:12.000]  同一個種族的人
[00:01:12.000 --> 00:01:14.000]  有沒有衝突?
[00:01:14.000 --> 00:01:16.000]  第二
[00:01:16.000 --> 00:01:20.000]  同一宗教信仰的人與人之間
[00:01:20.000 --> 00:01:22.000]  有沒有衝突?
[00:01:22.000 --> 00:01:24.000]  同一個家庭裏面
[00:01:24.000 --> 00:01:26.000]  我們去到家裏
[00:01:26.000 --> 00:01:28.000]  有沒有衝突?
[00:01:28.000 --> 00:01:29.000]  是
[00:01:29.000 --> 00:01:31.000]  全部都說有
[00:01:31.000 --> 00:01:32.000]  那就是說
[00:01:32.000 --> 00:01:34.000]  那句話
[00:01:34.000 --> 00:01:36.000]  是很容易回答的
[00:01:36.000 --> 00:01:38.000]  我都問這個朋友
[00:01:38.000 --> 00:01:42.000]  你真的認為同一個宗教信仰的人
[00:01:42.000 --> 00:01:44.000]  就沒有衝突?
[00:01:44.000 --> 00:01:46.000]  我接著問他
[00:01:46.000 --> 00:01:48.000]  你知不知道
[00:01:48.000 --> 00:01:49.000]  伊拉克也好
[00:01:49.000 --> 00:01:51.000]  其他的地方也好
[00:01:51.000 --> 00:01:53.000]  那些的戰爭
[00:01:53.000 --> 00:01:57.000]  不是不同的宗教人在打
[00:01:57.000 --> 00:01:59.000]  伊朗和伊拉克
[00:01:59.000 --> 00:02:01.000]  十年的戰爭
[00:02:01.000 --> 00:02:05.000]  不是不同宗教信仰的人在打
[00:02:05.000 --> 00:02:09.000]  是不同宗派裏面的解經
[00:02:09.000 --> 00:02:10.000]  你可以這樣說
[00:02:10.000 --> 00:02:12.000]  的立場
[00:02:12.000 --> 00:02:13.000]  在打
[00:02:13.000 --> 00:02:16.000]  是回教和回教在打
[00:02:16.000 --> 00:02:18.000]  另一方面
[00:02:18.000 --> 00:02:20.000]  我們也看見在今天
[00:02:20.000 --> 00:02:22.000]  無數的地區
[00:02:22.000 --> 00:02:25.000]  是同一種族的人
[00:02:25.000 --> 00:02:28.000]  其實都是因為各種不同的利益的衝突
[00:02:28.000 --> 00:02:32.000]  都在繼續不斷地在打
[00:02:32.000 --> 00:02:34.000]  今天
[00:02:34.000 --> 00:02:36.000]  我們也需要和大家
[00:02:36.000 --> 00:02:38.000]  去回創世紀來看看
[00:02:38.000 --> 00:02:40.000]  到底種族
[00:02:40.000 --> 00:02:42.000]  人種
[00:02:42.000 --> 00:02:44.000]  從何來呢?
[00:02:44.000 --> 00:02:46.000]  那裏有很多種
[00:02:46.000 --> 00:02:49.000]  有人用了一個故事
[00:02:49.000 --> 00:02:51.000]  來講人種的起源
[00:02:51.000 --> 00:02:53.000]  他說上帝造人
[00:02:53.000 --> 00:02:55.000]  就用泥來搓好人
[00:02:55.000 --> 00:02:57.000]  搓好之後
[00:02:57.000 --> 00:03:00.000]  就弄到火爐來燒
[00:03:00.000 --> 00:03:03.000]  誰知道燒焦了
[00:03:03.000 --> 00:03:06.000]  是因為燒焦了
[00:03:06.000 --> 00:03:08.000]  他就變成了黑人
[00:03:08.000 --> 00:03:11.000]  上帝看見黑漆漆
[00:03:11.000 --> 00:03:15.000]  就覺得不是很理想
[00:03:15.000 --> 00:03:16.000]  就再造一個
[00:03:16.000 --> 00:03:18.000]  又再弄一個
[00:03:18.000 --> 00:03:20.000]  搓完之後
[00:03:20.000 --> 00:03:22.000]  又去那裏燒
[00:03:22.000 --> 00:03:24.000]  但是這次他太小心了
[00:03:24.000 --> 00:03:27.000]  火候不夠
[00:03:27.000 --> 00:03:29.000]  燒出來的結果
[00:03:29.000 --> 00:03:30.000]  就變成了白人
[00:03:30.000 --> 00:03:32.000]  白種人
