
[00:00:00.000 --> 00:00:05.000]  各位大型姐妹平安
[00:00:05.000 --> 00:00:10.000]  記不記得這次是第幾次我們分享大衛啊?
[00:00:10.000 --> 00:00:13.000]  不記得了?
[00:00:13.000 --> 00:00:19.000]  這次是第五次分享大衛
[00:00:19.000 --> 00:00:20.000]  一年五次
[00:00:20.000 --> 00:00:24.000]  我們來到此曾相識的大衛
[00:00:24.000 --> 00:00:27.000]  如詩如畫的人生
[00:00:27.000 --> 00:00:32.000]  大家最熟悉大衛是哪一首詩篇呢?
[00:00:32.000 --> 00:00:35.000]  詩篇二十三篇
[00:00:35.000 --> 00:00:37.000]  我相信是最熟悉的
[00:00:37.000 --> 00:00:40.000]  目者說詩篇二十三篇
[00:00:40.000 --> 00:00:44.000]  已經可以說出大衛的一生
[00:00:44.000 --> 00:00:47.000]  由他小時候開始說起
[00:00:47.000 --> 00:00:49.000]  他小時候,如果你記得
[00:00:49.000 --> 00:00:52.000]  他躺臥在青草地上
[00:00:52.000 --> 00:00:55.000]  他負責去牧放羊群
[00:00:55.000 --> 00:00:58.000]  然後他的靈魂蘇醒
[00:00:58.000 --> 00:00:59.000]  為什麼要蘇醒呢?
[00:00:59.000 --> 00:01:01.000]  因為他犯錯
[00:01:01.000 --> 00:01:02.000]  因為他犯罪
[00:01:02.000 --> 00:01:05.000]  上帝說要帶他走回兒路
[00:01:05.000 --> 00:01:10.000]  然後說要行過死刃的幼禁
[00:01:10.000 --> 00:01:13.000]  因為他被追殺到狂野
[00:01:13.000 --> 00:01:15.000]  然後他說在敵人面前
[00:01:15.000 --> 00:01:19.000]  上帝為他擺設筵席
[00:01:19.000 --> 00:01:22.000]  然後到了晚年的時候
[00:01:22.000 --> 00:01:28.000]  他就說很想一生一世都可以住在耶和華的殿中
[00:01:28.000 --> 00:01:31.000]  大衛自己寫過很多詩篇
[00:01:31.000 --> 00:01:33.000]  他開心的時候會寫詩
[00:01:33.000 --> 00:01:36.000]  他不開心的時候又會寫詩
[00:01:36.000 --> 00:01:38.000]  他讚美上帝的時候會寫詩
[00:01:38.000 --> 00:01:43.000]  他犯了大錯又會寫詩
[00:01:43.000 --> 00:01:44.000]  之前四次的時候
[00:01:44.000 --> 00:01:46.000]  我們思考大衛
[00:01:46.000 --> 00:01:49.000]  不知道你喜不喜歡大衛這個人物呢?
[00:01:49.000 --> 00:01:51.000]  你了解多了他
[00:01:51.000 --> 00:01:52.000]  有些人點頭
[00:01:52.000 --> 00:01:53.000]  有些人搖頭
[00:01:53.000 --> 00:01:55.000]  但無論怎樣
[00:01:55.000 --> 00:01:57.000]  當我們一開始認識大衛的時候
[00:01:57.000 --> 00:02:00.000]  我們知道他是合神的心意
[00:02:00.000 --> 00:02:02.000]  如果你看上帝說
[00:02:02.000 --> 00:02:04.000]  「素羅 我不要你了」
[00:02:04.000 --> 00:02:07.000]  我已經找了一個合我心意的人
[00:02:07.000 --> 00:02:11.000]  在我們還沒有認識大衛之前
[00:02:11.000 --> 00:02:15.000]  原來上帝已經給了一個這樣的評語他
[00:02:15.000 --> 00:02:17.000]  而當去到新約的時候
[00:02:17.000 --> 00:02:19.000]  不知道你記不記得有這節經文
[00:02:19.000 --> 00:02:22.000]  在《使徒行傳》13章36節
[00:02:22.000 --> 00:02:25.000]  他說「大衛在世的時候
[00:02:25.000 --> 00:02:31.000]  遵行了神的旨意就睡了」
[00:02:31.000 --> 00:02:34.000]  或者說「大衛按著神的旨意
[00:02:34.000 --> 00:02:37.000]  服侍了他那一世的人就睡了」
[00:02:37.000 --> 00:02:39.000]  一個犯了大罪的人
[00:02:39.000 --> 00:02:42.000]  竟然有一個這麼高的評價
[00:02:42.000 --> 00:02:45.000]  可見大衛真是一個合神心意的人
[00:02:45.000 --> 00:02:48.000]  大家想不想有這樣的評價?
[00:02:48.000 --> 00:02:50.000]  想不想?想吧
[00:02:50.000 --> 00:02:53.000]  我也很想如果我睡了之後
[00:02:53.000 --> 00:02:55.000]  回到天家之後
[00:02:55.000 --> 00:02:58.000]  天使有這個評語
[00:02:58.000 --> 00:03:01.000]  他說「呂宇津按神的旨意
[00:03:01.000 --> 00:03:05.000]  服侍了他那一世的人就睡了」
[00:03:05.000 --> 00:03:09.000]  我想這是一個很美麗的圖畫
[00:03:09.000 --> 00:03:11.000]  不如讓大家猜猜
[00:03:11.000 --> 00:03:13.000]  另一首詩篇
[00:03:13.000 --> 00:03:16.000]  是記載在《撒慕爾記》下22章
[00:03:16.000 --> 00:03:19.000]  整篇有51節這麼多
[00:03:19.000 --> 00:03:20.000]  我讀幾節
[00:03:20.000 --> 00:03:23.000]  你猜猜他在什麼時段
[00:03:23.000 --> 00:03:27.000]  人生大衛在什麼時段寫這首詩的?
