
[00:00:00.000 --> 00:00:07.000]  高興見到大家 特別高興第三堂
[00:00:07.000 --> 00:00:12.000]  我經常說斯班是屬於一種危險動物
[00:00:12.000 --> 00:00:15.000]  是瀕臨絕種動物 斯班是
[00:00:15.000 --> 00:00:19.000]  所以第三堂很好 如果我在你們教會會有
[00:00:19.000 --> 00:00:24.000]  我都會選擇加入斯班 特別見到弟兄一呼當關
[00:00:24.000 --> 00:00:29.000]  所以都很同情他 希望弟兄一起加入
[00:00:29.000 --> 00:00:35.000]  今天講教會面對一些困難
[00:00:35.000 --> 00:00:40.000]  我通常用讀經開始 因為這段經文比較長
[00:00:40.000 --> 00:00:45.000]  我們一邊分享講道一邊看經文
[00:00:45.000 --> 00:00:48.000]  開始時我們先做一個禱告
[00:00:48.000 --> 00:00:53.000]  我們感謝耶穌 因為祢是教會的根基
[00:00:53.000 --> 00:00:56.000]  祢是一個不會動搖的根基
[00:00:56.000 --> 00:00:59.000]  讓我們在世上無論遇到什麼事情
[00:00:59.000 --> 00:01:04.000]  讓我們不需要怕 讓我們也不需要膽怯
[00:01:04.000 --> 00:01:08.000]  因為我們知道祢的恩典是足夠
[00:01:08.000 --> 00:01:15.000]  在世上雖然我們有傷心有焦急的時間
[00:01:15.000 --> 00:01:17.000]  但是這些都會過去
[00:01:17.000 --> 00:01:21.000]  今天讓求祢就藉著祢的話語
[00:01:21.000 --> 00:01:24.000]  鼓勵我們每一個我們的兒女
[00:01:24.000 --> 00:01:27.000]  時間交託 禱告奉耶穌基督的名
[00:01:27.000 --> 00:01:33.000]  我們就由 如果你有盡量打開聖經
[00:01:33.000 --> 00:01:37.000]  因為我會一邊看第六章一邊看第七章
[00:01:37.000 --> 00:01:41.000]  總共有六十幾至七十節的經文
[00:01:41.000 --> 00:01:46.000]  第六章就像剛才詩歌所講
[00:01:46.000 --> 00:01:51.000]  剛剛唱完那首 內憎分裂了他身體
[00:01:51.000 --> 00:01:56.000]  外面遭受人的羈抹 羈笑 毀謗
[00:01:56.000 --> 00:02:02.000]  第六章第七章都是講當年教會面對類似的困難
[00:02:02.000 --> 00:02:05.000]  第六章一到七節不會講了
[00:02:05.000 --> 00:02:09.000]  其實就是講所謂裡面吵架的事情
[00:02:09.000 --> 00:02:13.000]  那些人在那裡孤兒寡婦誰來照顧
[00:02:13.000 --> 00:02:18.000]  那些使徒 當時的教會領袖
[00:02:18.000 --> 00:02:20.000]  好像只顧著讀經禱告 講道
[00:02:20.000 --> 00:02:22.000]  他們不處理實務的事情
[00:02:22.000 --> 00:02:27.000]  於是他們就選了另一批當時叫執事
[00:02:27.000 --> 00:02:31.000]  負責處理一些照顧孤兒寡婦的實務
[00:02:31.000 --> 00:02:35.000]  所以內憎的問題就暫時解決
[00:02:35.000 --> 00:02:38.000]  不過如果大家看保羅書信會知道
[00:02:38.000 --> 00:02:42.000]  其實內憎的問題一直都是不斷的
[00:02:42.000 --> 00:02:43.000]  在這個史道時代
[00:02:43.000 --> 00:02:45.000]  今天我們就不是看內憎
[00:02:45.000 --> 00:02:49.000]  我們看這個所謂外患的一個問題
[00:02:49.000 --> 00:02:53.000]  第六章第八節開始
[00:02:53.000 --> 00:02:56.000]  就講到史提反
[00:02:56.000 --> 00:03:01.000]  其中一個所謂的Deacon 執事
[00:03:01.000 --> 00:03:03.000]  史提反就沒有因為能力
[00:03:03.000 --> 00:03:06.000]  在民間行了很多大歧視和神蹟
[00:03:06.000 --> 00:03:08.000]  當時有稱為自由人的會堂
[00:03:08.000 --> 00:03:09.000]  有幾個人就不要理他了
[00:03:09.000 --> 00:03:12.000]  就跟史提反辯論
[00:03:12.000 --> 00:03:14.000]  結果不夠他爭論第十節
[00:03:14.000 --> 00:03:17.000]  史提反是以智慧和聖靈說話
[00:03:17.000 --> 00:03:19.000]  眾人抵擋不住
[00:03:19.000 --> 00:03:23.000]  這個辯論隊金牌的史提反
[00:03:23.000 --> 00:03:27.000]  於是第十一節那些人就出矛招
[00:03:27.000 --> 00:03:29.000]  就收買人來說
[00:03:29.000 --> 00:03:33.000]  我們聽見他說褻瀆摩西和上帝的話
[00:03:33.000 --> 00:03:38.000]  史提反說了甚麼褻瀆的話呢?
[00:03:38.000 --> 00:03:40.000]  第十二節就說
[00:03:40.000 --> 00:03:42.000]  設下假見證
[00:03:42.000 --> 00:03:45.000]  說這個人不斷地說話
[00:03:45.000 --> 00:03:49.000]  侮辱神聖的地方和律法
[00:03:49.000 --> 00:03:51.000]  我們曾聽見他說
[00:03:51.000 --> 00:03:55.000]  這拿撒勒人要毀壞這個地方
[00:03:55.000 --> 00:03:57.000]  耶穌要毀壞這個地方
[00:03:57.000 --> 00:04:01.000]  又要改變摩西所教給我們的規矩
[00:04:01.000 --> 00:04:05.000]  議會裏的人見到他的面貌像天使一樣
[00:04:05.000 --> 00:04:06.000]  很厲害
[00:04:06.000 --> 00:04:08.000]  他不但辯才厲害
[00:04:08.000 --> 00:04:10.000]  而且容光煥發
[00:04:10.000 --> 00:04:13.000]  我們先看一看控詞
[00:04:13.000 --> 00:04:16.000]  你想像今天整段經文
[00:04:16.000 --> 00:04:18.000]  史提反太厲害
[00:04:18.000 --> 00:04:22.000]  所以猶太人就很喜歡他
[00:04:22.000 --> 00:04:24.000]  喜歡他
[00:04:24.000 --> 00:04:27.000]  就拉他去議會的面前
[00:04:27.000 --> 00:04:34.000]  這是第十二節有說到的
[00:04:34.000 --> 00:04:35.000]  去到議會
[00:04:35.000 --> 00:04:37.000]  議會在哪裏呢?
[00:04:37.000 --> 00:04:43.000]  猶太人的議會應該在聖殿旁邊
[00:04:43.000 --> 00:04:45.000]  就是猶太人的民事
[00:04:45.000 --> 00:04:48.000]  或者法利賽人住的地方
[00:04:48.000 --> 00:04:50.000]  在當年的聖殿
[00:04:50.000 --> 00:04:52.000]  耶穌的年代還有聖殿
[00:04:52.000 --> 00:04:54.000]  這個所謂第二聖殿
[00:04:54.000 --> 00:04:58.000]  在那裏舉行法庭
[00:04:58.000 --> 00:05:00.000]  其實是一個法庭的案件
[00:05:00.000 --> 00:05:02.000]  在審這個史提反
[00:05:02.000 --> 00:05:07.000]  所以第十一節十三節
[00:05:07.000 --> 00:05:10.000]  你可以說是主控官
[00:05:10.000 --> 00:05:11.000]  用今天的說法
[00:05:11.000 --> 00:05:15.000]  主控官列出他們的控訴
[00:05:15.000 --> 00:05:17.000]  史提反犯了甚麼罪呢?
[00:05:17.000 --> 00:05:20.000]  他們基本上提了兩個罪名
[00:05:20.000 --> 00:05:24.000]  第十四節說得清楚了
[00:05:24.000 --> 00:05:27.000]  華沙那人要毀壞這個地方
[00:05:27.000 --> 00:05:30.000]  這個地方是一個神聖的地方
[00:05:30.000 --> 00:05:32.000]  在十三節裏說
[00:05:32.000 --> 00:05:34.000]  侮辱神聖的地方
